area,rentdate,rentcnt
그룹명 없음,2016-01-01,0
광진구,2016-01-01,7
광진구,2016-01-01,0
광진구,2016-01-01,9
광진구,2016-01-01,8
광진구,2016-01-01,1
광진구,2016-01-01,4
광진구,2016-01-01,2
광진구,2016-01-01,2
마포구,2016-01-01,3
마포구,2016-01-01,13
마포구,2016-01-01,2
마포구,2016-01-01,3
마포구,2016-01-01,4
마포구,2016-01-01,6
마포구,2016-01-01,2
마포구,2016-01-01,7
마포구,2016-01-01,8
마포구,2016-01-01,4
마포구,2016-01-01,10
마포구,2016-01-01,3
마포구,2016-01-01,10
마포구,2016-01-01,1
마포구,2016-01-01,6
마포구,2016-01-01,2
마포구,2016-01-01,10
마포구,2016-01-01,9
마포구,2016-01-01,2
마포구,2016-01-01,3
마포구,2016-01-01,5
마포구,2016-01-01,6
마포구,2016-01-01,4
마포구,2016-01-01,2
마포구,2016-01-01,3
마포구,2016-01-01,3
마포구,2016-01-01,2
마포구,2016-01-01,4
마포구,2016-01-01,3
마포구,2016-01-01,2
마포구,2016-01-01,3
마포구,2016-01-01,3
마포구,2016-01-01,1
마포구,2016-01-01,1
마포구,2016-01-01,5
마포구,2016-01-01,1
마포구,2016-01-01,0
마포구,2016-01-01,5
마포구,2016-01-01,1
마포구,2016-01-01,2
마포구,2016-01-01,6
마포구,2016-01-01,14
마포구,2016-01-01,8
마포구,2016-01-01,5
서대문구,2016-01-01,3
서대문구,2016-01-01,3
서대문구,2016-01-01,5
서대문구,2016-01-01,3
서대문구,2016-01-01,2
서대문구,2016-01-01,1
서대문구,2016-01-01,1
서대문구,2016-01-01,5
서대문구,2016-01-01,5
서대문구,2016-01-01,2
서대문구,2016-01-01,8
서대문구,2016-01-01,3
성동구,2016-01-01,2
성동구,2016-01-01,5
성동구,2016-01-01,3
성동구,2016-01-01,3
성동구,2016-01-01,14
성동구,2016-01-01,8
성동구,2016-01-01,2
성동구,2016-01-01,3
영등포구,2016-01-01,1
영등포구,2016-01-01,4
영등포구,2016-01-01,0
영등포구,2016-01-01,2
영등포구,2016-01-01,7
영등포구,2016-01-01,5
영등포구,2016-01-01,3
영등포구,2016-01-01,2
영등포구,2016-01-01,2
영등포구,2016-01-01,7
영등포구,2016-01-01,1
영등포구,2016-01-01,4
영등포구,2016-01-01,8
영등포구,2016-01-01,5
영등포구,2016-01-01,2
영등포구,2016-01-01,1
영등포구,2016-01-01,2
영등포구,2016-01-01,9
영등포구,2016-01-01,7
영등포구,2016-01-01,3
영등포구,2016-01-01,1
영등포구,2016-01-01,3
영등포구,2016-01-01,1
종로구,2016-01-01,0
종로구,2016-01-01,2
종로구,2016-01-01,2
종로구,2016-01-01,3
종로구,2016-01-01,2
종로구,2016-01-01,0
종로구,2016-01-01,0
종로구,2016-01-01,5
종로구,2016-01-01,2
종로구,2016-01-01,4
종로구,2016-01-01,4
종로구,2016-01-01,1
종로구,2016-01-01,9
종로구,2016-01-01,1
종로구,2016-01-01,5
종로구,2016-01-01,5
종로구,2016-01-01,3
종로구,2016-01-01,0
종로구,2016-01-01,6
종로구,2016-01-01,2
종로구,2016-01-01,10
종로구,2016-01-01,10
종로구,2016-01-01,2
종로구,2016-01-01,12
종로구,2016-01-01,3
중구,2016-01-01,1
중구,2016-01-01,5
중구,2016-01-01,7
중구,2016-01-01,3
중구,2016-01-01,3
중구,2016-01-01,4
중구,2016-01-01,0
중구,2016-01-01,2
중구,2016-01-01,2
중구,2016-01-01,3
중구,2016-01-01,5
중구,2016-01-01,4
그룹명 없음,2016-01-02,0
광진구,2016-01-02,1
광진구,2016-01-02,0
광진구,2016-01-02,9
광진구,2016-01-02,3
광진구,2016-01-02,5
광진구,2016-01-02,1
광진구,2016-01-02,3
마포구,2016-01-02,6
마포구,2016-01-02,4
마포구,2016-01-02,8
마포구,2016-01-02,8
마포구,2016-01-02,6
마포구,2016-01-02,6
마포구,2016-01-02,11
마포구,2016-01-02,7
마포구,2016-01-02,9
마포구,2016-01-02,5
마포구,2016-01-02,17
마포구,2016-01-02,7
마포구,2016-01-02,9
마포구,2016-01-02,6
마포구,2016-01-02,11
마포구,2016-01-02,0
마포구,2016-01-02,11
마포구,2016-01-02,11
마포구,2016-01-02,8
마포구,2016-01-02,7
마포구,2016-01-02,6
마포구,2016-01-02,1
마포구,2016-01-02,2
마포구,2016-01-02,3
마포구,2016-01-02,4
마포구,2016-01-02,6
마포구,2016-01-02,2
마포구,2016-01-02,4
마포구,2016-01-02,2
마포구,2016-01-02,20
마포구,2016-01-02,2
마포구,2016-01-02,7
마포구,2016-01-02,2
마포구,2016-01-02,3
마포구,2016-01-02,2
마포구,2016-01-02,3
마포구,2016-01-02,10
마포구,2016-01-02,5
마포구,2016-01-02,13
마포구,2016-01-02,17
마포구,2016-01-02,10
마포구,2016-01-02,5
서대문구,2016-01-02,4
서대문구,2016-01-02,2
서대문구,2016-01-02,13
서대문구,2016-01-02,12
서대문구,2016-01-02,4
서대문구,2016-01-02,0
서대문구,2016-01-02,4
서대문구,2016-01-02,3
서대문구,2016-01-02,6
서대문구,2016-01-02,5
서대문구,2016-01-02,3
서대문구,2016-01-02,5
서대문구,2016-01-02,8
성동구,2016-01-02,0
성동구,2016-01-02,5
성동구,2016-01-02,7
성동구,2016-01-02,7
성동구,2016-01-02,2
성동구,2016-01-02,2
성동구,2016-01-02,2
영등포구,2016-01-02,1
영등포구,2016-01-02,15
영등포구,2016-01-02,2
영등포구,2016-01-02,12
영등포구,2016-01-02,14
영등포구,2016-01-02,24
영등포구,2016-01-02,5
영등포구,2016-01-02,5
영등포구,2016-01-02,8
영등포구,2016-01-02,8
영등포구,2016-01-02,5
영등포구,2016-01-02,2
영등포구,2016-01-02,8
영등포구,2016-01-02,15
영등포구,2016-01-02,3
영등포구,2016-01-02,1
영등포구,2016-01-02,5
영등포구,2016-01-02,9
영등포구,2016-01-02,5
영등포구,2016-01-02,6
영등포구,2016-01-02,10
영등포구,2016-01-02,6
영등포구,2016-01-02,4
종로구,2016-01-02,2
종로구,2016-01-02,1
종로구,2016-01-02,1
종로구,2016-01-02,1
종로구,2016-01-02,4
종로구,2016-01-02,3
종로구,2016-01-02,2
종로구,2016-01-02,6
종로구,2016-01-02,8
종로구,2016-01-02,7
종로구,2016-01-02,4
종로구,2016-01-02,5
종로구,2016-01-02,5
종로구,2016-01-02,12
종로구,2016-01-02,6
종로구,2016-01-02,7
종로구,2016-01-02,8
종로구,2016-01-02,3
종로구,2016-01-02,2
종로구,2016-01-02,5
종로구,2016-01-02,2
종로구,2016-01-02,15
종로구,2016-01-02,9
종로구,2016-01-02,1
종로구,2016-01-02,4
종로구,2016-01-02,2
중구,2016-01-02,5
중구,2016-01-02,2
중구,2016-01-02,13
중구,2016-01-02,4
중구,2016-01-02,4
중구,2016-01-02,6
중구,2016-01-02,4
중구,2016-01-02,0
중구,2016-01-02,0
중구,2016-01-02,1
중구,2016-01-02,1
중구,2016-01-02,2
중구,2016-01-02,4
중구,2016-01-02,4
그룹명 없음,2016-01-03,0
광진구,2016-01-03,4
광진구,2016-01-03,4
광진구,2016-01-03,14
광진구,2016-01-03,2
광진구,2016-01-03,5
광진구,2016-01-03,5
광진구,2016-01-03,1
마포구,2016-01-03,5
마포구,2016-01-03,7
마포구,2016-01-03,3
마포구,2016-01-03,7
마포구,2016-01-03,8
마포구,2016-01-03,12
마포구,2016-01-03,5
마포구,2016-01-03,4
마포구,2016-01-03,8
마포구,2016-01-03,7
마포구,2016-01-03,15
마포구,2016-01-03,6
마포구,2016-01-03,5
마포구,2016-01-03,8
마포구,2016-01-03,5
마포구,2016-01-03,5
마포구,2016-01-03,5
마포구,2016-01-03,3
마포구,2016-01-03,8
마포구,2016-01-03,6
마포구,2016-01-03,5
마포구,2016-01-03,4
마포구,2016-01-03,0
마포구,2016-01-03,6
마포구,2016-01-03,1
마포구,2016-01-03,4
마포구,2016-01-03,1
마포구,2016-01-03,1
마포구,2016-01-03,6
마포구,2016-01-03,2
마포구,2016-01-03,2
마포구,2016-01-03,6
마포구,2016-01-03,4
마포구,2016-01-03,4
마포구,2016-01-03,3
마포구,2016-01-03,2
마포구,2016-01-03,1
마포구,2016-01-03,5
마포구,2016-01-03,5
마포구,2016-01-03,3
마포구,2016-01-03,4
마포구,2016-01-03,15
