날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,강동구,77,45,0.002,0.043,0.9,0.004
2016-01-01,종로구,68,51,0.005,0.047,0.7,0.006
2016-01-01,중구,61,35,0.005,0.065,0.8,0.007
2016-01-01,용산구,59,46,0.005,0.046,0.7,0.005
2016-01-01,성동구,77,39,0.004,0.047,1,0.005
2016-01-01,광진구,85,64,0.004,0.046,0.9,0.006
2016-01-01,동대문구,66,44,0.005,0.047,1,0.006
2016-01-01,중랑구,66,41,0.004,0.052,1.1,0.006
2016-01-01,성북구,71,45,0.005,0.056,1.3,0.007
2016-01-01,강북구,77,52,0.004,0.047,1.1,0.004
2016-01-01,도봉구,67,41,0.005,0.053,1,0.006
2016-01-01,노원구,68,49,0.003,0.049,1.1,0.007
2016-01-01,송파구,64,39,0.004,0.046,1.1,0.006
2016-01-01,서대문구,69,39,0.007,0.06,0.9,0.005
2016-01-01,강남구,73,44,0.006,0.047,0.8,0.006
2016-01-01,서초구,76,42,0.006,0.038,0.8,0.006
2016-01-01,관악구,66,44,0.009,0.052,1.1,0.005
2016-01-01,동작구,54,39,0.009,0.049,0.8,0.005
2016-01-01,영등포구,80,40,0.006,0.035,1.1,0.006
2016-01-01,은평구,58,35,0.01,0.039,0.7,0.007
2016-01-01,구로구,56,41,0.007,0.038,1.1,0.007
2016-01-01,강서구,66,38,0.005,0.048,0.9,0.006
2016-01-01,양천구,82,65,0.008,0.049,1.1,0.005
2016-01-01,마포구,59,49,0.008,0.042,1,0.006
2016-01-01,금천구,64,49,0.01,0.043,1,0.005
2016-01-02,강북구,71,44,0.005,0.047,0.9,0.005
2016-01-02,성북구,54,29,0.005,0.056,1.1,0.007
2016-01-02,중랑구,51,29,0.007,0.052,0.9,0.007
2016-01-02,동대문구,55,33,0.007,0.05,0.9,0.007
2016-01-02,광진구,58,41,0.007,0.043,0.6,0.005
2016-01-02,용산구,43,30,0.008,0.042,0.4,0.005
2016-01-02,중구,47,25,0.007,0.064,0.6,0.007
2016-01-02,종로구,53,37,0.007,0.044,0.5,0.006
2016-01-02,도봉구,54,31,0.004,0.059,0.9,0.005
2016-01-02,성동구,44,27,0.005,0.046,0.7,0.005
2016-01-02,노원구,52,36,0.004,0.049,0.8,0.008
2016-01-02,은평구,45,24,0.016,0.037,0.6,0.007
2016-01-02,서대문구,55,26,0.013,0.05,0.7,0.005
2016-01-02,송파구,41,25,0.012,0.04,0.6,0.005
2016-01-02,강남구,50,29,0.012,0.039,0.5,0.006
2016-01-02,서초구,53,26,0.013,0.03,0.5,0.006
2016-01-02,관악구,54,35,0.013,0.047,0.8,0.005
2016-01-02,동작구,48,34,0.015,0.041,0.6,0.005
2016-01-02,강동구,56,31,0.002,0.046,0.8,0.004
2016-01-02,금천구,52,36,0.018,0.034,0.7,0.005
2016-01-02,구로구,41,27,0.012,0.032,0.7,0.006
2016-01-02,강서구,42,26,0.01,0.036,0.5,0.006
2016-01-02,양천구,59,40,0.014,0.035,0.7,0.005
2016-01-02,마포구,45,35,0.011,0.037,0.7,0.006
2016-01-02,영등포구,62,28,0.009,0.032,0.9,0.006
2016-01-03,강북구,109,68,0.016,0.047,1.1,0.007
2016-01-03,성북구,80,50,0.013,0.055,1.1,0.006
2016-01-03,중랑구,92,54,0.008,0.061,1.2,0.008
2016-01-03,동대문구,94,59,0.013,0.05,1.1,0.008
2016-01-03,광진구,111,80,0.009,0.051,1,0.005
2016-01-03,중구,86,50,0.016,0.064,0.5,0.009
2016-01-03,용산구,85,62,0.01,0.049,0.7,0.006
2016-01-03,종로구,98,68,0.015,0.044,0.6,0.007
2016-01-03,도봉구,83,48,0.02,0.052,1,0.007
2016-01-03,성동구,,50,0.008,0.053,1.1,0.005
2016-01-03,노원구,87,60,0.011,0.051,1.1,0.01
2016-01-03,강동구,97,56,0.002,0.057,1.1,0.005
2016-01-03,서대문구,109,53,0.017,0.059,0.8,0.006
2016-01-03,은평구,96,49,0.017,0.04,0.8,0.007
2016-01-03,송파구,76,44,0.011,0.047,1.2,0.006
2016-01-03,강남구,101,60,0.012,0.052,0.8,0.007
2016-01-03,서초구,114,52,0.01,0.042,0.8,0.007
2016-01-03,동작구,94,61,0.016,0.05,0.8,0.006
2016-01-03,관악구,96,60,0.019,0.052,0.9,0.007
2016-01-03,금천구,96,67,0.014,0.05,0.9,0.008
2016-01-03,구로구,83,51,0.017,0.037,0.9,0.008
2016-01-03,강서구,,50,0.011,0.043,0.7,0.007
2016-01-03,양천구,116,80,0.017,0.044,0.9,0.007
2016-01-03,마포구,88,68,0.017,0.04,0.8,0.007
2016-01-03,영등포구,119,53,0.012,0.033,0.9,0.006
2016-01-04,동대문구,76,46,0.025,0.02,0.7,0.007
2016-01-04,강북구,78,48,0.03,0.021,0.7,0.005
2016-01-04,성북구,64,38,0.029,0.022,0.6,0.006
2016-01-04,중랑구,80,45,0.024,0.031,0.7,0.007
2016-01-04,광진구,85,61,0.026,0.024,0.8,0.005
2016-01-04,도봉구,68,41,0.041,0.018,0.5,0.006
2016-01-04,용산구,66,49,0.022,0.029,0.5,0.006
2016-01-04,중구,70,38,0.026,0.032,0.4,0.007
2016-01-04,종로구,84,58,0.02,0.022,0.4,0.006
2016-01-04,성동구,33,48,0.023,0.026,0.6,0.005
2016-01-04,노원구,72,46,0.03,0.019,0.6,0.008
2016-01-04,은평구,82,46,0.029,0.027,0.7,0.007
2016-01-04,서대문구,89,43,0.027,0.029,0.6,0.006
2016-01-04,송파구,61,35,0.03,0.025,0.6,0.006
2016-01-04,강남구,83,47,0.03,0.028,0.6,0.006
2016-01-04,서초구,106,43,0.021,0.023,0.5,0.006
2016-01-04,관악구,66,45,0.027,0.033,0.7,0.005
2016-01-04,동작구,70,51,0.028,0.028,0.5,0.005
2016-01-04,강동구,77,38,0.003,0.024,0.6,0.004
2016-01-04,금천구,86,60,0.025,0.03,0.7,0.007
2016-01-04,구로구,77,42,0.025,0.021,0.7,0.007
