날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2016-01,94.5,95.2,93.8,94.6,94.0,95.2,97.1,95.3,96.7,95.4,94.0,94.1,94.2,93.4,93.0,91.3,93.8,93.8,92.7,92.8,92.2,93.4,89.7,92.1,92.3
2016-02,94.5,95.3,93.9,94.7,94.1,95.3,97.2,95.3,96.7,95.5,94.0,94.2,94.3,93.6,93.1,91.4,93.6,93.9,92.7,92.9,92.3,93.4,89.5,92.1,92.1
2016-03,94.5,95.3,93.9,94.7,94.1,95.3,97.3,95.3,96.7,95.5,94.0,94.2,94.3,93.6,93.0,91.5,93.6,94.0,92.7,92.9,92.4,93.3,89.5,92.0,92.0
2016-04,94.6,95.3,94.0,94.8,94.1,95.4,97.3,95.3,96.7,95.6,94.1,94.2,94.4,93.7,92.9,91.6,93.7,94.1,92.8,93.0,92.6,93.4,89.8,92.1,92.1
2016-05,94.7,95.4,94.2,94.9,94.2,95.5,97.4,95.4,96.8,95.7,94.1,94.5,94.6,93.9,93.0,91.8,93.8,94.3,93.0,93.2,92.9,93.7,90.4,92.2,92.4
2016-06,94.9,95.6,94.4,95.0,94.3,95.6,97.4,95.7,96.9,95.9,94.2,94.7,95.0,94.2,93.4,92.1,94.1,94.5,93.2,93.4,93.3,94.4,91.4,92.5,92.6
2016-07,95.2,95.8,94.7,95.0,94.4,95.8,97.5,96.0,97.1,96.0,94.4,95.0,95.2,94.6,93.9,92.5,94.4,94.7,93.6,93.7,93.7,94.9,92.1,92.7,92.9
2016-08,95.5,96.1,95.0,95.2,94.6,96.1,97.6,96.4,97.5,96.2,94.7,95.3,95.7,95.0,94.4,92.9,94.8,95.0,93.8,94.1,94.1,95.3,92.8,92.9,93.5
2016-09,95.7,96.3,95.3,95.5,94.9,96.3,97.7,96.8,97.7,96.4,95.0,95.6,96.1,95.2,95.0,93.4,95.1,95.3,94.2,94.5,94.4,95.6,93.7,93.1,94.1
2016-10,96.0,96.5,95.8,96.0,95.3,96.9,97.9,97.3,97.9,96.7,95.7,96.0,96.5,95.6,95.9,94.1,95.6,95.8,94.6,95.0,94.9,96.5,95.2,93.7,95.3
2016-11,96.4,96.7,96.2,96.4,95.8,97.3,98.3,97.7,98.3,97.2,96.5,96.5,97.0,96.0,96.6,94.9,96.1,96.2,95.2,95.6,95.7,97.0,95.6,94.2,95.8
2016-12,96.5,96.8,96.4,96.6,96.1,97.5,98.3,98.0,98.4,97.4,96.7,96.8,97.2,96.3,96.7,95.3,96.4,96.4,95.5,95.7,95.9,96.8,95.4,94.1,95.7
2017-01,96.7,96.9,96.6,96.5,96.1,97.5,98.3,98.2,98.4,97.4,96.7,96.9,97.4,96.5,96.8,95.5,96.5,96.5,95.6,95.8,96.1,96.7,95.2,94.0,95.6
2017-02,96.8,96.9,96.6,96.5,96.1,97.5,98.3,98.2,98.4,97.4,96.7,97.2,97.5,96.6,96.7,95.7,96.6,96.7,95.7,95.9,96.2,96.8,95.2,94.1,95.8
2017-03,97.0,97.0,96.9,96.5,96.1,97.5,98.4,98.2,98.4,97.4,96.7,97.4,97.7,96.8,96.7,96.0,96.9,97.0,95.9,96.2,96.4,97.0,95.6,94.3,95.9
2017-04,97.3,97.2,97.2,96.8,96.2,97.8,98.5,98.2,98.4,97.6,96.9,97.7,98.0,97.2,96.8,96.5,97.3,97.5,96.4,96.5,97.0,97.4,95.9,94.6,95.9
2017-05,97.5,97.4,97.6,97.4,96.7,98.3,98.8,98.2,98.5,98.0,97.3,98.1,98.3,97.6,97.1,97.0,97.7,98.0,97.1,97.0,97.6,97.8,96.4,94.9,96.6
2017-06,98.0,98.0,98.3,98.4,97.5,98.9,99.1,98.5,98.9,98.7,98.3,98.7,98.8,98.3,98.3,97.9,98.3,98.7,98.0,97.7,98.4,99.0,98.0,96.5,98.5
2017-07,98.5,98.5,98.9,99.2,98.2,99.3,99.4,98.7,99.2,99.2,99.5,99.1,99.2,98.9,98.6,98.5,98.7,99.0,98.7,98.1,98.9,99.5,98.3,96.9,98.7
2017-08,99.2,99.1,99.6,99.6,98.8,99.5,99.7,99.2,99.5,99.6,100.1,99.5,99.4,99.4,99.4,99.3,99.2,99.8,99.2,99.1,99.4,99.7,99.1,97.8,99.5
2017-09,99.3,99.2,99.6,99.2,98.9,99.7,99.7,99.5,99.6,99.7,99.8,99.6,99.6,99.5,99.2,99.3,99.3,99.8,99.3,99.1,99.5,99.5,98.9,98.0,99.3
2017-10,99.6,99.5,99.8,99.3,99.4,99.8,99.8,99.7,99.8,99.8,99.9,99.8,99.8,99.7,99.3,99.4,99.6,99.9,99.6,99.2,99.7,99.6,99.3,99.2,99.7
2017-11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2017-12,100.2,100.6,100.2,101.6,101.6,100.2,100.1,100.3,100.4,100.1,100.1,100.2,100.3,100.3,102.0,100.4,100.3,100.1,101.0,100.6,100.2,101.5,101.7,102.3,101.2
