날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,66,44,0.005,0.047,1,0.006
2016-01-02,55,33,0.007,0.05,0.9,0.007
2016-01-03,94,59,0.013,0.05,1.1,0.008
2016-01-04,76,46,0.025,0.02,0.7,0.007
2016-01-05,28,14,0.017,0.024,0.6,0.006
2016-01-06,56,28,0.007,0.042,0.8,0.008
2016-01-07,39,19,0.017,0.022,0.6,0.007
2016-01-08,36,18,0.013,0.032,0.7,0.007
2016-01-09,36,18,0.015,0.03,0.7,0.007
2016-01-10,31,17,0.022,0.023,0.7,0.007
2016-01-11,38,18,0.018,0.027,0.7,0.007
2016-01-12,51,22,0.013,0.035,0.8,0.006
2016-01-13,39,19,0.012,0.032,0.8,0.006
2016-01-14,46,20,0.012,0.036,0.8,0.007
2016-01-15,57,28,0.006,0.054,1.1,0.008
2016-01-16,75,39,0.004,0.054,1.2,0.007
2016-01-17,77,48,0.005,0.052,1.3,0.007
2016-01-18,59,29,0.02,0.021,0.9,0.006
2016-01-19,35,12,0.023,0.012,0.6,0.005
2016-01-20,40,22,0.012,0.031,0.8,0.006
2016-01-21,59,30,0.008,0.043,1,0.007
2016-01-22,57,27,0.013,0.036,0.9,0.007
2016-01-23,33,12,0.024,0.013,0.6,0.006
2016-01-24,40,19,0.022,0.013,0.6,0.006
2016-01-25,54,16,0.015,0.03,0.7,0.006
2016-01-26,84,35,0.005,0.059,1.2,0.009
2016-01-27,65,27,0.012,0.05,1,0.009
2016-01-28,59,28,0.005,0.063,1.2,0.008
2016-01-29,54,23,0.006,0.055,1,0.009
2016-01-30,41,23,0.009,0.048,1,0.007
2016-01-31,40,19,0.026,0.02,0.7,0.006
2016-02-01,40,17,0.02,0.027,0.7,0.006
2016-02-02,46,20,0.015,0.041,0.8,0.007
2016-02-03,59,28,0.009,0.061,1.1,0.008
2016-02-04,57,27,0.016,0.047,1.1,0.008
2016-02-05,44,17,0.018,0.038,0.8,0.007
2016-02-06,52,21,0.025,0.022,0.7,0.008
2016-02-07,52,21,0.013,0.04,0.9,0.007
2016-02-08,78,38,0.019,0.039,1,0.008
2016-02-09,53,22,0.024,0.02,0.7,0.008
2016-02-10,40,21,0.01,0.057,1.1,0.008
2016-02-11,50,23,0.006,0.07,1.3,0.009
2016-02-12,37,21,0.005,0.056,1,0.006
2016-02-13,18,11,0.003,0.04,0.7,0.006
2016-02-14,29,15,0.021,0.013,0.4,0.005
2016-02-15,36,10,0.025,0.016,0.4,0.004
2016-02-16,29,14,0.016,0.029,0.5,0.005
2016-02-17,42,16,0.015,0.037,0.6,0.006
2016-02-18,47,22,0.017,0.041,0.6,0.007
2016-02-19,85,37,0.008,0.046,1,0.008
2016-02-20,47,16,0.02,0.031,0.6,0.007
2016-02-21,27,11,0.026,0.018,0.4,0.005
2016-02-22,47,17,0.009,0.046,0.6,0.006
2016-02-23,56,24,0.007,0.043,0.7,0.006
2016-02-24,33,16,0.026,0.024,0.4,0.007
2016-02-25,53,25,0.02,0.037,0.7,0.008
2016-02-26,52,26,0.022,0.038,0.6,0.009
2016-02-27,68,35,0.019,0.04,0.6,0.008
2016-02-28,47,24,0.014,0.044,0.7,0.007
2016-02-29,58,25,0.028,0.017,0.5,0.006
2016-03-01,34,17,0.026,0.023,0.5,0.006
2016-03-02,38,19,0.019,0.036,0.5,0.007
2016-03-03,59,29,0.016,0.048,0.7,0.008
2016-03-04,73,34,0.016,0.049,0.7,0.008
2016-03-05,22,13,0.01,0.036,0.6,0.006
2016-03-06,89,18,0.026,0.024,0.5,0.006
2016-03-07,117,24,0.007,0.054,0.7,0.007
2016-03-08,73,16,0.028,0.023,0.5,0.005
2016-03-09,49,14,0.028,0.019,0.5,0.006
2016-03-10,36,13,0.025,0.017,0.5,0.006
2016-03-11,36,15,0.03,0.025,0.5,0.006
2016-03-12,46,19,0.024,0.032,0.6,0.007
2016-03-13,61,32,0.028,0.033,0.7,0.007
2016-03-14,62,36,0.034,0.026,0.7,0.006
2016-03-15,57,24,0.026,0.044,0.8,0.007
2016-03-16,64,27,0.025,0.052,0.8,0.01
2016-03-17,78,36,0.01,0.081,1.2,0.009
2016-03-18,66,31,0.023,0.06,1,0.009
2016-03-19,73,37,0.033,0.037,0.7,0.007
2016-03-20,78,40,0.029,0.041,0.8,0.009
2016-03-21,87,47,0.025,0.056,0.9,0.009
2016-03-22,73,41,0.029,0.047,0.7,0.008
2016-03-23,83,43,0.034,0.033,0.6,0.007
2016-03-24,39,20,0.032,0.029,0.5,0.005
2016-03-25,70,33,0.026,0.045,0.6,0.007
2016-03-26,66,37,0.028,0.043,0.6,0.007
2016-03-27,67,37,0.04,0.036,0.7,0.008
2016-03-28,71,35,0.033,0.05,0.7,0.009
2016-03-29,99,46,0.047,0.038,0.6,0.009
2016-03-30,94,43,0.035,0.037,0.5,0.008
2016-03-31,51,18,0.02,0.06,0.5,0.008
2016-04-01,72,27,0.027,0.065,0.6,0.009
2016-04-02,80,36,0.038,0.056,0.6,0.01
2016-04-03,48,25,0.029,0.029,0.4,0.006
2016-04-04,30,12,0.022,0.037,0.4,0.006
2016-04-05,60,20,0.032,0.04,0.5,0.009
2016-04-06,75,32,0.03,0.053,0.6,0.01
2016-04-07,39,20,0.033,0.033,0.5,0.006
2016-04-08,85,40,0.029,0.037,0.5,0.007
2016-04-09,138,61,0.02,0.043,0.7,0.008
2016-04-10,161,75,0.043,0.033,0.8,0.008
2016-04-11,49,19,0.035,0.033,0.4,0.005
