날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,58,35,0.01,0.039,0.7,0.007
2016-01-02,45,24,0.016,0.037,0.6,0.007
2016-01-03,96,49,0.017,0.04,0.8,0.007
2016-01-04,82,46,0.029,0.027,0.7,0.007
2016-01-05,34,15,0.017,0.025,0.5,0.007
2016-01-06,51,26,0.01,0.039,0.6,0.008
2016-01-07,40,19,0.017,0.028,0.5,0.008
2016-01-08,35,16,0.017,0.03,0.4,0.007
2016-01-09,33,19,0.009,0.036,0.4,0.006
2016-01-10,32,17,0.022,0.029,0.5,0.007
2016-01-11,40,22,0.021,0.026,0.5,0.007
2016-01-12,46,23,0.014,0.032,0.5,0.007
2016-01-13,35,20,0.016,0.031,0.4,0.007
2016-01-14,37,18,0.015,0.033,0.5,0.007
2016-01-15,42,26,0.012,0.04,0.6,0.007
2016-01-16,58,38,0.018,0.036,0.6,0.007
2016-01-17,60,40,0.016,0.033,0.6,0.007
2016-01-18,49,29,0.023,0.024,0.5,0.007
2016-01-19,30,11,0.023,0.018,0.3,0.007
2016-01-20,39,23,0.017,0.027,0.3,0.007
2016-01-21,45,29,0.017,0.033,0.4,0.007
2016-01-22,49,28,0.019,0.031,0.5,0.007
2016-01-23,31,15,0.027,0.019,0.4,0.008
2016-01-24,38,20,0.026,0.019,0.3,0.008
2016-01-25,50,17,0.016,0.03,0.4,0.007
2016-01-26,77,35,0.01,0.047,0.7,0.009
2016-01-27,59,30,0.015,0.041,0.7,0.008
2016-01-28,50,24,0.012,0.037,0.8,0.007
2016-01-29,43,22,0.012,0.021,0.7,0.007
2016-01-30,37,23,0.014,0.019,0.6,0.007
2016-01-31,37,20,0.027,0.011,0.5,0.007
2016-02-01,38,19,0.026,0.013,0.4,0.007
2016-02-02,43,21,0.018,0.017,0.4,0.007
2016-02-03,49,26,0.015,0.024,0.6,0.008
2016-02-04,50,24,0.018,0.025,0.6,0.008
2016-02-05,44,19,0.022,0.021,0.5,0.008
2016-02-06,50,25,0.027,0.015,0.5,0.008
2016-02-07,41,21,0.019,0.018,0.4,0.007
2016-02-08,70,39,0.026,0.019,0.5,0.009
2016-02-09,48,25,0.03,0.013,0.5,0.008
2016-02-10,31,17,0.016,0.022,0.5,0.007
2016-02-11,38,18,0.037,0.016,0.4,0.007
2016-02-12,28,17,0.025,0.032,0.5,0.007
2016-02-13,9,6,0.019,0.028,0.4,0.006
2016-02-14,29,16,0.027,0.026,0.4,0.006
2016-02-15,31,11,0.033,0.029,0.2,0.006
2016-02-16,26,15,0.022,0.038,0.3,0.006
2016-02-17,36,14,0.019,0.044,0.5,0.006
2016-02-18,41,20,0.026,0.043,0.5,0.008
2016-02-19,73,39,0.012,0.046,0.9,0.007
2016-02-20,28,15,0.021,0.038,0.4,0.005
2016-02-21,27,12,0.028,0.033,0.4,0.006
2016-02-22,43,19,0.018,0.045,0.5,0.007
2016-02-23,54,28,0.025,0.037,0.5,0.007
2016-02-24,32,17,0.028,0.034,0.4,0.007
2016-02-25,52,29,0.025,0.042,0.5,0.008
2016-02-26,52,30,0.024,0.046,0.5,0.008
2016-02-27,71,40,0.023,0.046,0.6,0.007
2016-02-28,38,25,0.028,0.04,0.5,0.006
2016-02-29,56,29,0.032,0.033,0.4,0.006
2016-03-01,31,19,0.028,0.037,0.4,0.006
2016-03-02,35,20,0.025,0.044,0.4,0.007
2016-03-03,55,28,0.027,0.044,0.5,0.006
2016-03-04,60,32,0.04,0.034,0.4,0.006
2016-03-05,23,16,0.02,0.034,0.4,0.006
2016-03-06,100,25,0.031,0.029,0.4,0.006
2016-03-07,105,28,0.017,0.047,0.5,0.006
2016-03-08,83,25,0.03,0.034,0.4,0.006
2016-03-09,44,16,0.033,0.028,0.4,0.007
2016-03-10,35,16,0.033,0.029,0.4,0.007
2016-03-11,37,18,0.03,0.035,0.4,0.007
2016-03-12,41,18,0.027,0.04,0.4,0.007
2016-03-13,60,33,0.03,0.042,0.5,0.007
2016-03-14,65,38,0.04,0.037,0.5,0.006
2016-03-15,55,24,0.035,0.043,0.5,0.008
2016-03-16,60,27,0.029,0.049,0.5,0.008
2016-03-17,65,30,0.019,0.062,0.6,0.008
2016-03-18,54,28,0.031,0.05,0.6,0.007
2016-03-19,76,38,0.036,0.04,0.5,0.007
2016-03-20,81,41,0.031,0.043,0.7,0.008
2016-03-21,88,45,0.033,0.048,0.7,0.008
2016-03-22,75,46,0.03,0.051,0.6,0.007
2016-03-23,79,41,0.037,0.037,0.5,0.006
2016-03-24,44,23,0.036,0.035,0.4,0.006
2016-03-25,71,34,0.029,0.045,0.5,0.007
2016-03-26,67,39,0.026,0.049,0.6,0.007
2016-03-27,67,38,0.041,0.04,0.5,0.008
2016-03-28,64,34,0.029,0.054,0.6,0.008
2016-03-29,99,47,0.061,0.039,0.6,0.008
2016-03-30,90,39,0.038,0.043,0.5,0.007
2016-03-31,49,18,0.024,0.057,0.5,0.007
2016-04-01,66,24,0.033,0.059,0.6,0.008
2016-04-02,79,38,0.046,0.051,0.6,0.008
2016-04-03,47,28,0.031,0.033,0.5,0.006
2016-04-04,31,13,0.026,0.039,0.4,0.006
2016-04-05,61,21,0.027,0.05,0.5,0.008
2016-04-06,73,31,0.029,0.056,0.6,0.008
2016-04-07,40,22,0.042,0.036,0.5,0.006
2016-04-08,77,37,0.033,0.043,0.5,0.007
2016-04-09,113,45,0.021,0.046,0.7,0.007
2016-04-10,123,55,0.041,0.036,0.8,0.007
2016-04-11,48,20,0.031,0.04,0.3,0.006
2016-04-12,57,24,0.033,0.043,0.4,0.007
2016-04-13,56,28,0.028,0.044,0.5,0.006
2016-04-14,55,27,0.021,0.044,0.5,0.006
2016-04-15,54,26,0.035,0.044,0.5,0.006
2016-04-16,46,21,0.037,0.039,0.4,0.006
2016-04-17,49,16,0.045,0.028,0.4,0.006
2016-04-18,60,22,0.037,0.037,0.4,0.006
2016-04-19,44,18,0.036,0.036,0.4,0.006
2016-04-20,60,27,0.026,0.047,0.5,0.007
2016-04-21,28,16,0.037,0.032,0.4,0.006
2016-04-22,81,40,0.031,0.041,0.6,0.006
2016-04-23,192,33,0.028,0.039,0.4,0.006
2016-04-24,123,20,0.036,0.035,0.3,0.006
2016-04-25,74,21,0.03,0.051,0.5,0.006
2016-04-26,78,27,0.039,0.044,0.5,0.006
2016-04-27,51,17,0.05,0.029,0.3,0.006
2016-04-28,58,19,0.033,0.044,0.4,0.006
2016-04-29,65,26,0.041,0.044,0.4,0.007
2016-04-30,71,33,0.06,0.038,0.5,0.008
2016-05-01,44,19,0.059,0.031,0.4,0.007
2016-05-02,50,24,0.035,0.032,0.4,0.006
2016-05-03,20,9,0.033,0.025,0.3,0.006
2016-05-04,50,13,0.043,0.029,0.3,0.006
2016-05-05,54,19,0.026,0.041,0.5,0.006
2016-05-06,43,18,0.024,0.036,0.5,0.005
2016-05-07,108,18,0.026,0.036,0.4,0.006
2016-05-08,50,17,0.036,0.036,0.4,0.006
2016-05-09,60,20,0.042,0.036,0.4,0.006
2016-05-10,32,14,0.034,0.031,0.3,0.005
2016-05-11,29,12,0.031,0.034,0.3,0.006
2016-05-12,30,15,0.034,0.04,0.4,0.006
2016-05-13,41,22,0.043,0.034,0.4,0.006
2016-05-14,34,18,0.042,0.037,0.4,0.006
2016-05-15,30,17,0.039,0.029,0.4,0.006
2016-05-16,19,9,0.039,0.034,0.4,0.006
2016-05-17,59,28,0.041,0.046,0.5,0.007
2016-05-18,41,20,0.039,0.045,0.3,0.006
2016-05-19,38,19,0.04,0.043,0.3,0.005
2016-05-20,54,25,0.043,0.052,0.3,0.006
2016-05-21,38,24,0.051,0.04,0.2,0.004
2016-05-22,57,37,0.062,0.04,0.3,0.005
2016-05-23,69,39,0.056,0.044,0.4,0.006
2016-05-24,35,22,0.04,0.038,0.3,0.005
2016-05-25,92,55,0.055,0.037,0.4,0.005
2016-05-26,99,58,0.034,0.058,0.5,0.006
2016-05-27,78,40,0.036,0.043,0.4,0.005
2016-05-28,77,34,0.037,0.035,0.4,0.006
