날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,85,64,0.004,0.046,0.9,0.006
2016-01-02,58,41,0.007,0.043,0.6,0.005
2016-01-03,111,80,0.009,0.051,1,0.005
2016-01-04,85,61,0.026,0.024,0.8,0.005
2016-01-05,29,19,0.018,0.021,0.3,0.006
2016-01-06,59,37,0.007,0.039,0.7,0.006
2016-01-07,37,23,0.017,0.023,0.3,0.005
2016-01-08,36,22,0.014,0.029,0.5,0.006
2016-01-09,39,25,0.015,0.03,0.5,0.004
2016-01-10,33,24,0.022,0.022,0.5,0.004
2016-01-11,43,29,0.016,0.03,0.6,0.005
2016-01-12,55,34,0.012,0.036,0.6,0.005
2016-01-13,45,30,0.011,0.034,0.7,0.005
2016-01-14,47,28,0.012,0.036,0.6,0.005
2016-01-15,58,41,0.005,0.05,0.8,0.005
2016-01-16,65,49,0.01,0.037,0.7,0.005
2016-01-17,64,52,0.014,0.035,0.7,0.004
2016-01-18,59,41,0.02,0.023,0.7,0.005
2016-01-19,36,17,0.024,0.014,0.4,0.005
2016-01-20,44,31,0.012,0.034,0.6,0.005
2016-01-21,60,43,0.009,0.039,0.7,0.006
2016-01-22,64,43,0.01,0.04,0.7,0.006
2016-01-23,32,20,0.026,0.013,0.4,0.005
2016-01-24,42,27,0.025,0.014,0.5,0.005
2016-01-25,49,23,0.014,0.034,0.6,0.005
2016-01-26,82,48,0.005,0.055,0.9,0.007
2016-01-27,68,42,0.01,0.051,0.9,0.007
2016-01-28,61,40,0.006,0.051,0.9,0.006
2016-01-29,42,28,0.014,0.035,0.5,0.005
2016-01-30,38,28,0.01,0.043,0.7,0.005
2016-01-31,42,27,0.023,0.022,0.5,0.005
2016-02-01,42,24,0.02,0.027,0.5,0.005
2016-02-02,53,32,0.012,0.043,0.7,0.006
2016-02-03,65,42,0.008,0.058,1,0.006
2016-02-04,67,45,0.014,0.052,1,0.008
2016-02-05,45,27,0.013,0.038,0.7,0.005
2016-02-06,54,31,0.016,0.026,0.6,0.005
2016-02-07,54,32,0.01,0.037,0.7,0.005
2016-02-08,77,50,0.017,0.034,0.8,0.006
2016-02-09,52,32,0.02,0.019,0.5,0.005
2016-02-10,45,29,0.007,0.041,0.6,0.005
2016-02-11,45,28,0.008,0.042,0.7,0.005
2016-02-12,31,23,0.008,0.037,0.6,0.004
2016-02-13,14,10,0.004,0.033,0.6,0.004
