날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,61,35,0.005,0.065,0.8,0.007
2016-01-02,47,25,0.007,0.064,0.6,0.007
2016-01-03,86,50,0.016,0.064,0.5,0.009
2016-01-04,70,38,0.026,0.032,0.4,0.007
2016-01-05,30,13,0.02,0.028,0.2,0.007
2016-01-06,63,24,0.008,0.046,0.5,0.008
2016-01-07,39,19,0.016,0.027,0.3,0.007
2016-01-08,32,14,0.017,0.027,0.3,0.007
2016-01-09,34,17,0.016,0.031,0.4,0.007
2016-01-10,30,16,0.023,0.024,0.4,0.007
2016-01-11,40,20,0.019,0.027,0.4,0.007
2016-01-12,47,20,0.011,0.038,0.5,0.007
2016-01-13,35,16,0.015,0.032,0.4,0.007
2016-01-14,42,18,0.013,0.038,0.5,0.008
2016-01-15,47,24,0.008,0.051,0.7,0.008
2016-01-16,67,35,0.004,0.055,0.9,0.007
2016-01-17,71,42,0.005,0.055,0.9,0.007
2016-01-18,57,27,0.021,0.024,0.6,0.006
2016-01-19,41,12,0.024,0.016,0.3,0.006
2016-01-20,35,18,0.018,0.026,0.4,0.006
2016-01-21,45,23,0.013,0.037,0.6,0.007
2016-01-22,49,25,0.016,0.031,0.6,0.007
2016-01-23,32,11,0.026,0.014,0.4,0.007
2016-01-24,39,18,0.024,0.015,0.4,0.007
2016-01-25,50,16,0.016,0.03,0.5,0.007
2016-01-26,78,34,0.004,0.061,1.2,0.009
2016-01-27,59,27,0.012,0.046,0.9,0.009
2016-01-28,52,24,0.005,0.056,1.1,0.007
2016-01-29,44,22,0.01,0.044,0.9,0.008
2016-01-30,41,22,0.01,0.046,1.1,0.007
2016-01-31,38,19,0.026,0.019,0.6,0.007
2016-02-01,37,17,0.023,0.023,0.7,0.007
2016-02-02,42,14,0.016,0.038,0.7,0.008
2016-02-03,54,24,0.009,0.063,1.1,0.009
2016-02-04,50,25,0.016,0.045,0.9,0.008
2016-02-05,39,16,0.02,0.036,0.7,0.008
2016-02-06,49,22,0.026,0.023,0.7,0.008
2016-02-07,46,20,0.014,0.04,0.8,0.007
2016-02-08,76,37,0.021,0.042,0.9,0.009
2016-02-09,52,24,0.027,0.022,0.7,0.008
2016-02-10,40,19,0.007,0.056,1,0.007
2016-02-11,46,23,0.004,0.065,1.1,0.008
2016-02-12,34,17,0.005,0.056,1.1,0.006
2016-02-13,14,9,0.003,0.042,1,0.006
2016-02-14,28,14,0.023,0.015,0.7,0.005
2016-02-15,34,9,0.027,0.018,1,0.005
2016-02-16,28,14,0.017,0.032,0.9,0.006
2016-02-17,39,13,0.014,0.035,0.5,0.007
2016-02-18,47,20,0.016,0.043,0.6,0.008
2016-02-19,77,35,0.008,0.047,0.9,0.008
2016-02-20,42,13,0.021,0.03,0.4,0.007
2016-02-21,26,10,0.029,0.019,0.4,0.006
2016-02-22,45,15,0.012,0.043,0.6,0.007
2016-02-23,66,30,0.007,0.042,0.6,0.007
2016-02-24,,,,,,
2016-02-25,80,34,0.018,0.039,0.8,0.009
2016-02-26,49,24,0.021,0.038,0.7,0.008
2016-02-27,63,34,0.019,0.04,0.6,0.008
2016-02-28,39,21,0.015,0.044,0.6,0.007
2016-02-29,55,23,0.029,0.021,0.6,0.007
2016-03-01,32,16,0.026,0.026,0.7,0.006
2016-03-02,29,15,0.009,0.046,0.8,0.007
2016-03-03,86,36,0.009,0.071,0.5,0.007
2016-03-04,67,30,0.012,0.058,0.5,0.007
2016-03-05,26,16,0.009,0.035,0.3,0.006
2016-03-06,,,,,,
2016-03-07,117,26,0.007,0.056,0.4,0.007
2016-03-08,78,19,0.028,0.021,0.2,0.006
2016-03-09,45,12,0.029,0.015,0.4,0.006
2016-03-10,33,12,0.026,0.016,0.5,0.007
2016-03-11,32,14,0.031,0.027,0.4,0.004
2016-03-12,40,16,0.024,0.039,0.6,0.005
2016-03-13,53,28,0.034,0.035,0.6,0.006
2016-03-14,53,33,0.04,0.027,0.6,0.004
2016-03-15,48,21,0.027,0.046,0.6,0.006
2016-03-16,53,24,0.024,0.058,0.7,0.01
2016-03-17,64,31,0.009,0.089,1,0.007
2016-03-18,53,29,0.024,0.065,0.9,0.006
2016-03-19,64,34,0.032,0.039,0.7,0.005
2016-03-20,74,37,0.025,0.051,0.8,0.008
2016-03-21,75,40,0.022,0.063,0.9,0.007
2016-03-22,62,37,0.027,0.053,0.7,0.006
2016-03-23,67,35,0.034,0.034,0.6,0.005
2016-03-24,35,18,0.033,0.03,0.5,0.004
2016-03-25,63,30,0.026,0.047,0.7,0.005
2016-03-26,58,34,0.03,0.045,0.7,0.005
2016-03-27,56,33,0.041,0.039,0.7,0.007
2016-03-28,57,32,0.034,0.057,0.8,0.008
2016-03-29,81,43,0.046,0.048,0.9,0.008
2016-03-30,77,37,0.032,0.046,0.8,0.006
2016-03-31,44,17,0.018,0.067,0.9,0.007
2016-04-01,60,24,0.025,0.07,0.9,0.007
2016-04-02,67,32,0.038,0.06,0.9,0.007
2016-04-03,40,24,0.028,0.037,0.7,0.004
2016-04-04,26,11,0.021,0.042,0.7,0.004
2016-04-05,52,18,0.03,0.045,0.7,0.007
2016-04-06,66,30,0.02,0.066,0.9,0.007
2016-04-07,34,20,0.033,0.034,0.5,0.004
2016-04-08,70,36,0.028,0.039,0.5,0.004
2016-04-09,109,53,0.018,0.047,0.8,0.005
2016-04-10,125,67,0.036,0.038,0.9,0.005
2016-04-11,49,21,0.028,0.039,0.4,0.003
2016-04-12,59,27,0.028,0.041,0.5,0.004
2016-04-13,57,30,0.019,0.054,0.7,0.004
2016-04-14,59,31,0.014,0.049,0.6,0.004
2016-04-15,55,26,0.031,0.044,0.6,0.004
2016-04-16,54,25,0.017,0.06,0.6,0.004
2016-04-17,48,16,0.038,0.02,0.5,0.003
2016-04-18,67,23,0.029,0.035,0.5,0.004
2016-04-19,46,20,0.031,0.032,0.5,0.003
2016-04-20,65,30,0.017,0.056,0.7,0.004
2016-04-21,26,16,0.026,0.036,0.5,0.003
2016-04-22,81,47,0.024,0.04,0.7,0.003
2016-04-23,210,43,0.024,0.036,0.6,0.003
2016-04-24,153,28,0.029,0.035,0.5,0.003
2016-04-25,78,24,0.021,0.055,0.7,0.004
2016-04-26,81,31,0.033,0.045,0.7,0.004
2016-04-27,54,19,0.037,0.032,0.5,0.003
2016-04-28,59,20,0.032,0.036,0.5,0.003
2016-04-29,64,27,0.035,0.039,0.6,0.004
2016-04-30,76,34,0.054,0.034,0.7,0.007
2016-05-01,45,20,0.045,0.032,0.6,0.005
2016-05-02,48,25,0.023,0.041,0.7,0.003
2016-05-03,20,10,0.026,0.023,0.5,0.002
2016-05-04,51,13,0.037,0.023,0.4,0.003
2016-05-05,59,23,0.025,0.048,0.7,0.004
2016-05-06,47,23,0.02,0.039,0.6,0.002
2016-05-07,112,23,0.028,0.03,0.5,0.004
2016-05-08,56,17,0.037,0.032,0.6,0.003
2016-05-09,61,22,0.043,0.033,0.6,0.004
2016-05-10,33,16,0.033,0.029,0.5,0.002
2016-05-11,28,12,0.032,0.031,0.5,0.003
2016-05-12,30,16,0.03,0.039,0.6,0.003
2016-05-13,40,22,0.041,0.03,0.6,0.003
2016-05-14,36,19,0.033,0.041,0.7,0.003
2016-05-15,32,18,0.039,0.026,0.6,0.004
2016-05-16,37,18,0.04,0.024,0.6,0.004
2016-05-17,66,33,0.041,0.046,0.8,0.007
2016-05-18,47,25,0.036,0.045,0.7,0.005
2016-05-19,39,20,0.031,0.048,0.7,0.003
2016-05-20,53,28,0.035,0.059,0.7,0.004
2016-05-21,40,26,0.032,0.053,0.6,0.003
2016-05-22,57,37,0.05,0.042,0.7,0.004
2016-05-23,68,43,0.043,0.049,0.7,0.005
2016-05-24,31,23,0.04,0.029,0.6,0.003
2016-05-25,91,58,0.052,0.033,0.8,0.004
2016-05-26,101,63,0.036,0.045,0.9,0.006
2016-05-27,83,43,0.038,0.039,0.8,0.004
2016-05-28,79,38,0.042,0.037,0.7,0.005
2016-05-29,89,45,0.045,0.038,0.8,0.006
2016-05-30,94,55,0.054,0.036,0.8,0.004
2016-05-31,75,42,0.046,0.03,0.7,0.005
2016-06-01,43,22,0.036,0.033,0.6,0.002
2016-06-02,37,17,0.038,0.037,0.5,0.003
2016-06-03,48,24,0.042,0.039,0.6,0.004
2016-06-04,52,26,0.038,0.037,0.6,0.003
2016-06-05,55,27,0.046,0.034,0.6,0.003
2016-06-06,23,13,0.039,0.029,0.5,0.002
2016-06-07,40,24,0.033,0.03,0.7,0.003
2016-06-08,38,23,0.024,0.031,0.6,0.003
2016-06-09,52,28,0.028,0.04,0.4,0.003
2016-06-10,61,35,0.032,0.048,0.5,0.004
2016-06-11,46,28,0.024,0.032,0.4,0.003
2016-06-12,29,19,0.024,0.021,0.3,0.002
2016-06-13,61,33,0.032,0.03,0.5,0.002
2016-06-14,52,28,0.031,0.045,0.5,0.003
2016-06-15,36,21,0.023,0.037,0.3,0.001
2016-06-16,29,17,0.042,0.024,0.3,0.001
2016-06-17,54,35,0.048,0.037,0.5,0.003
2016-06-18,64,41,0.046,0.039,0.5,0.003
2016-06-19,39,26,0.034,0.03,0.4,0.002
2016-06-20,51,33,0.046,0.035,0.4,0.002
2016-06-21,62,41,0.043,0.05,0.5,0.003
2016-06-22,63,46,0.03,0.052,0.5,0.004
2016-06-23,45,34,0.037,0.038,0.4,0.004
2016-06-24,38,22,0.031,0.033,0.3,0.003
2016-06-25,33,17,0.036,0.029,0.2,0.004
2016-06-26,30,18,0.041,0.023,0.2,0.004
2016-06-27,36,22,0.029,0.046,0.3,0.006
2016-06-28,60,41,0.038,0.041,0.3,0.004
2016-06-29,42,26,0.029,0.048,0.3,0.005
2016-06-30,30,20,0.023,0.032,0.3,0.003
2016-07-01,21,14,0.012,0.037,0.2,0.003
2016-07-02,14,9,0.025,0.025,0.1,0.003
2016-07-03,41,29,0.034,0.035,0.2,0.003
2016-07-04,23,15,0.013,0.041,0.4,0.002
2016-07-05,14,5,0.008,0.027,0.4,0.002
2016-07-06,17,9,0.019,0.032,0.4,0.003
2016-07-07,43,26,0.02,0.051,0.5,0.006
2016-07-08,55,36,0.034,0.039,0.5,0.003
2016-07-09,38,22,0.027,0.028,0.4,0.002
2016-07-10,37,22,0.03,0.033,0.4,0.004
2016-07-11,57,37,0.039,0.043,0.5,0.004
2016-07-12,32,21,0.026,0.034,0.4,0.005
2016-07-13,31,16,0.014,0.028,0.2,0.003
2016-07-14,31,19,0.026,0.034,0.3,0.002
2016-07-15,22,11,0.017,0.037,0.3,0.002
2016-07-16,12,6,0.01,0.032,0.3,0.002
2016-07-17,15,10,0.018,0.021,0.3,0.003
2016-07-18,27,16,0.018,0.027,0.3,0.004
2016-07-19,39,24,0.031,0.041,0.4,0.002
2016-07-20,42,26,0.028,0.043,0.5,0.002
2016-07-21,37,23,0.026,0.04,0.4,0.003
2016-07-22,40,25,0.028,0.033,0.4,0.003
2016-07-23,43,28,0.023,0.027,0.3,0.003
2016-07-24,35,23,0.014,0.019,0.2,0.003
2016-07-25,41,29,0.017,0.026,0.2,0.004
2016-07-26,33,23,0.011,0.023,0.2,0.003
2016-07-27,34,23,0.01,0.02,0.3,0.003
2016-07-28,59,40,0.037,0.014,0.4,0.002
2016-07-29,42,18,0.015,0.026,0.5,0.002
2016-07-30,39,19,0.028,0.015,0.2,0.002
2016-07-31,35,25,0.016,0.012,0.2,0.002
2016-08-01,30,19,0.01,0.014,0.3,0.002
2016-08-02,26,16,0.008,0.022,0.5,0.004
2016-08-03,33,19,0.021,0.013,0.5,0.004
2016-08-04,31,18,0.02,0.025,0.5,0.004
2016-08-05,42,27,0.026,0.018,0.7,0.004
2016-08-06,63,37,0.025,,0.8,0.004
2016-08-07,36,20,0.023,,0.5,0.004
2016-08-08,43,19,0.023,,0.4,0.004
2016-08-09,37,24,0.031,0.049,0.5,0.004
2016-08-10,71,43,0.035,0.012,0.5,0.004
2016-08-11,34,17,0.026,,0.4,0.004
2016-08-12,45,22,0.024,,0.4,0.004
2016-08-13,36,12,0.018,,0.3,0.004
2016-08-14,34,26,0.019,,0.3,0.003
2016-08-15,38,23,0.029,,0.4,0.004
2016-08-16,49,30,0.032,,0.6,0.004
2016-08-17,44,20,0.036,,0.4,0.004
2016-08-18,58,35,0.037,0.03,0.6,0.005
2016-08-19,72,52,0.029,0.042,0.6,0.005
2016-08-20,40,25,0.031,0.026,0.2,0.004
2016-08-21,33,22,0.043,0.017,0.1,0.004
2016-08-22,34,23,0.036,0.02,0.1,0.004
2016-08-23,39,25,0.022,0.028,0.4,0.004
2016-08-24,40,23,0.027,0.024,0.5,0.005
2016-08-25,33,19,0.023,0.023,0.5,0.004
2016-08-26,18,8,0.024,0.02,0.4,0.004
2016-08-27,15,6,0.023,0.018,0.3,0.004
2016-08-28,12,5,0.021,0.011,0.3,0.004
2016-08-29,17,8,0.019,0.016,0.3,0.004
2016-08-30,34,10,0.022,0.012,0.3,0.004
2016-08-31,20,8,0.015,0.017,0.4,0.005
2016-09-01,73,38,0.033,0.032,0.7,0.006
2016-09-02,39,27,0.028,0.03,0.5,0.004
2016-09-03,24,16,0.028,0.024,0.5,0.004
2016-09-04,23,14,0.02,0.021,0.5,0.004
2016-09-05,33,19,0.024,0.021,0.4,0.004
2016-09-06,67,41,0.025,0.028,0.6,0.006
2016-09-07,85,56,0.029,0.026,0.6,0.005
2016-09-08,53,35,0.019,0.034,0.7,0.005
2016-09-09,46,29,0.027,0.028,0.6,0.004
2016-09-10,46,30,0.027,0.033,0.5,0.004
2016-09-11,46,30,0.037,0.024,0.5,0.005
2016-09-12,31,19,0.018,0.026,0.4,0.004
2016-09-13,19,10,0.023,0.023,0.4,0.004
2016-09-14,35,21,0.033,0.021,0.4,0.005
2016-09-15,45,30,0.027,0.022,0.5,0.005
2016-09-16,54,38,0.036,0.023,0.5,0.008
2016-09-17,33,23,0.032,0.019,0.4,0.005
2016-09-18,26,15,0.032,0.015,0.3,0.004
2016-09-19,15,6,0.022,0.019,0.3,0.004
2016-09-20,21,12,0.024,0.021,0.3,0.005
2016-09-21,37,27,0.02,0.028,0.4,0.005
2016-09-22,42,30,0.026,0.029,0.5,0.005
2016-09-23,57,38,0.035,0.034,0.5,0.006
2016-09-24,69,48,0.041,0.038,0.6,0.006
2016-09-25,56,38,0.03,0.034,0.6,0.006
2016-09-26,50,33,0.013,0.043,0.6,0.005
2016-09-27,37,28,0.007,0.033,0.6,0.005
2016-09-28,35,22,0.012,0.023,0.5,0.005
2016-09-29,17,7,0.01,0.021,0.5,0.005
2016-09-30,34,17,0.011,0.028,0.5,0.005
2016-10-01,53,31,0.008,0.039,0.7,0.005
2016-10-02,32,19,0.006,0.027,0.6,0.005
2016-10-03,18,9,0.02,0.015,0.4,0.005
2016-10-04,36,19,0.015,0.026,0.5,0.005
2016-10-05,,,,,,
2016-10-06,,,,,,
2016-10-07,,,,,,
2016-10-08,,,,,,
2016-10-09,,,,,,
2016-10-10,,,,,,
2016-10-11,,,,,,
2016-10-12,,,,,,
2016-10-13,,,,,,
2016-10-14,,,,,,
2016-10-15,,,,,,
2016-10-16,,,,,,
2016-10-17,,,,,,
2016-10-18,,,,,,
2016-10-19,,,,,,
2016-10-20,,,,,,
2016-10-21,33,21,0.013,0.04,0.4,0.002
2016-10-22,27,17,0.021,0.028,0.3,0.002
2016-10-23,12,7,0.022,0.019,0.2,0.002
2016-10-24,18,11,0.014,0.03,0.3,0.002
2016-10-25,14,9,0.013,0.031,0.4,0.002
2016-10-26,37,23,0.006,0.038,0.7,0.003
2016-10-27,44,28,0.006,0.04,0.6,0.003
2016-10-28,36,20,0.017,0.03,0.4,0.002
