날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,59,49,0.008,0.042,1,0.006
2016-01-02,45,35,0.011,0.037,0.7,0.006
2016-01-03,88,68,0.017,0.04,0.8,0.007
2016-01-04,74,57,0.024,0.026,0.7,0.006
2016-01-05,26,19,0.018,0.021,0.4,0.005
2016-01-06,43,30,0.006,0.038,0.7,0.006
2016-01-07,31,21,0.016,0.024,0.5,0.006
2016-01-08,25,17,0.015,0.026,0.5,0.006
2016-01-09,28,20,0.015,0.027,0.5,0.006
2016-01-10,29,21,0.02,0.024,0.5,0.006
2016-01-11,32,22,0.017,0.025,0.5,0.006
2016-01-12,37,24,0.011,0.031,0.6,0.006
2016-01-13,28,19,0.016,0.025,0.5,0.005
2016-01-14,31,21,0.014,0.029,0.5,0.006
2016-01-15,41,29,0.008,0.04,0.7,0.007
2016-01-16,62,48,0.005,0.043,0.8,0.006
2016-01-17,63,50,0.008,0.041,0.8,0.006
2016-01-18,46,33,0.019,0.021,0.6,0.005
2016-01-19,22,12,0.022,0.015,0.4,0.005
2016-01-20,28,21,0.015,0.024,0.5,0.005
2016-01-21,36,26,0.013,0.029,0.6,0.005
2016-01-22,35,25,0.014,0.027,0.6,0.006
2016-01-23,22,14,0.024,0.014,0.4,0.005
2016-01-24,29,19,0.023,0.013,0.4,0.006
2016-01-25,34,16,0.015,0.026,0.5,0.006
2016-01-26,61,39,0.004,0.049,0.9,0.008
2016-01-27,49,32,0.011,0.04,0.8,0.007
2016-01-28,45,30,0.005,0.049,0.9,0.006
2016-01-29,39,26,0.009,0.04,0.8,0.007
2016-01-30,37,27,0.009,0.04,0.9,0.006
2016-01-31,29,20,0.026,0.017,0.4,0.005
2016-02-01,29,18,0.02,0.022,0.5,0.006
2016-02-02,32,21,0.016,0.03,0.5,0.006
2016-02-03,45,32,0.009,0.049,0.9,0.007
2016-02-04,45,33,0.014,0.038,0.8,0.007
2016-02-05,33,20,0.018,0.032,0.6,0.006
2016-02-06,38,24,0.024,0.021,0.5,0.006
2016-02-07,34,23,0.016,0.029,0.6,0.006
2016-02-08,63,41,0.029,0.024,0.6,0.008
2016-02-09,37,25,0.027,0.019,0.5,0.007
2016-02-10,32,23,0.009,0.042,0.8,0.006
2016-02-11,37,25,0.009,0.043,0.6,0.006
2016-02-12,34,23,0.01,0.036,0.7,0.005
2016-02-13,15,11,0.006,0.029,0.6,0.004
2016-02-14,26,18,0.023,0.014,0.4,0.004
2016-02-15,23,12,0.025,0.017,0.4,0.004
2016-02-16,23,16,0.016,0.026,0.5,0.005
2016-02-17,28,15,0.013,0.032,0.5,0.005
2016-02-18,37,24,0.022,0.031,0.6,0.006
2016-02-19,68,42,0.007,0.041,0.9,0.007
2016-02-20,31,18,0.02,0.028,0.5,0.005
2016-02-21,22,13,0.028,0.017,0.4,0.005
2016-02-22,32,18,0.013,0.034,0.5,0.005
2016-02-23,47,31,0.021,0.024,0.5,0.005
2016-02-24,25,17,0.023,0.021,0.5,0.005
2016-02-25,42,29,0.02,0.031,0.6,0.006
2016-02-26,50,34,0.022,0.031,0.6,0.006
2016-02-27,66,48,0.019,0.036,0.6,0.006
2016-02-28,43,30,0.013,0.036,0.6,0.006
2016-02-29,47,27,0.021,0.019,0.4,0.005
2016-03-01,29,18,0.021,0.021,0.4,0.005
2016-03-02,35,23,0.017,0.03,0.5,0.006
2016-03-03,51,32,0.012,0.042,0.6,0.005
2016-03-04,66,41,0.021,0.047,0.6,0.005
