날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,77,39,0.004,0.047,1,0.005
2016-01-02,44,27,0.005,0.046,0.7,0.005
2016-01-03,,50,0.008,0.053,1.1,0.005
2016-01-04,33,48,0.023,0.026,0.6,0.005
2016-01-05,35,16,0.016,0.026,0.4,0.004
2016-01-06,61,28,0.007,0.041,0.7,0.005
2016-01-07,43,20,0.015,0.027,0.5,0.005
2016-01-08,35,16,0.014,0.03,0.5,0.005
2016-01-09,39,17,0.013,0.033,0.5,0.005
2016-01-10,33,17,0.022,0.022,0.5,0.005
2016-01-11,45,20,0.015,0.031,0.5,0.005
2016-01-12,55,22,0.01,0.038,0.6,0.004
2016-01-13,40,20,0.012,0.033,0.5,0.004
2016-01-14,54,19,0.009,0.04,0.6,0.004
2016-01-15,54,26,0.006,0.049,0.7,0.005
2016-01-16,71,37,0.005,0.047,0.8,0.004
2016-01-17,73,43,0.008,0.045,0.8,0.005
2016-01-18,67,30,0.018,0.026,0.6,0.005
2016-01-19,43,13,0.023,0.015,0.4,0.005
2016-01-20,40,21,0.012,0.033,0.5,0.004
2016-01-21,59,29,0.008,0.044,0.7,0.005
2016-01-22,57,27,0.01,0.04,0.6,0.005
2016-01-23,37,14,0.025,0.016,0.4,0.004
2016-01-24,43,19,0.024,0.015,0.4,0.005
2016-01-25,57,16,0.013,0.034,0.5,0.005
2016-01-26,88,34,0.004,0.06,0.9,0.004
2016-01-27,68,29,0.008,0.053,0.8,0.005
2016-01-28,66,29,0.004,0.057,0.9,0.005
2016-01-29,53,25,0.004,0.044,0.9,0.005
2016-01-30,44,25,0.002,0.052,1.7,0.005
2016-01-31,44,21,0.008,0.026,1.2,0.005
2016-02-01,46,17,0.004,0.032,0.9,0.004
2016-02-02,51,20,0.013,0.045,0.4,0.005
2016-02-03,62,32,0.007,0.059,0.8,0.005
2016-02-04,63,30,0.014,0.045,0.7,0.005
2016-02-05,52,20,0.016,0.04,0.3,0.005
2016-02-06,58,23,0.024,0.025,0.2,0.004
2016-02-07,53,23,0.013,0.036,0.4,0.004
2016-02-08,83,40,0.024,0.033,0.5,0.005
2016-02-09,63,27,0.028,0.021,0.2,0.004
2016-02-10,54,24,0.009,0.048,0.8,0.004
2016-02-11,62,28,0.005,0.058,1,0.005
2016-02-12,39,21,0.008,0.043,0.8,0.004
2016-02-13,19,11,0.003,0.037,0.9,0.004
2016-02-14,34,18,0.023,0.014,0.3,0.003
2016-02-15,38,11,0.026,0.019,0.2,0.003
2016-02-16,30,15,0.015,0.031,0.4,0.004
2016-02-17,43,15,0.013,0.038,0.5,0.004
2016-02-18,50,21,0.018,0.04,0.6,0.004
2016-02-19,92,37,0.006,0.047,1,0.005
2016-02-20,50,17,0.019,0.031,0.5,0.004
2016-02-21,30,11,0.03,0.017,0.3,0.004
2016-02-22,49,17,0.009,0.044,0.5,0.004
2016-02-23,58,25,0.02,0.029,0.5,0.004
2016-02-24,35,16,0.02,0.029,0.4,0.004
2016-02-25,56,25,0.018,0.038,0.5,0.005
2016-02-26,54,25,0.021,0.038,0.5,0.005
2016-02-27,69,35,0.017,0.042,0.6,0.005
2016-02-28,52,26,0.016,0.039,0.6,0.004
2016-02-29,61,27,0.028,0.022,0.3,0.004
2016-03-01,33,16,0.027,0.026,0.3,0.004
2016-03-02,40,18,0.02,0.037,0.4,0.005
2016-03-03,65,27,0.016,0.046,0.6,0.005
2016-03-04,85,33,0.013,0.05,0.7,0.005
2016-03-05,25,13,0.008,0.033,0.5,0.004
2016-03-06,99,21,0.023,0.022,0.4,0.004
2016-03-07,126,27,0.004,0.051,0.7,0.005
2016-03-08,81,20,0.024,0.025,0.4,0.005
2016-03-09,49,15,0.029,0.016,0.3,0.005
2016-03-10,39,14,0.031,0.016,0.3,0.005
2016-03-11,37,16,0.03,0.021,0.3,0.005
2016-03-12,48,17,0.023,0.033,0.4,0.006
2016-03-13,68,32,0.031,0.031,0.5,0.006
2016-03-14,69,37,0.034,0.028,0.5,0.005
2016-03-15,65,25,0.016,0.053,0.6,0.006
2016-03-16,72,28,0.016,0.058,0.6,0.008
2016-03-17,79,34,0.007,0.067,0.9,0.007
2016-03-18,58,22,0.035,0.036,0.4,0.007
2016-03-19,91,37,0.018,0.047,0.7,0.006
2016-03-20,97,42,0.02,0.045,0.7,0.007
2016-03-21,96,44,0.019,0.053,0.8,0.007
2016-03-22,75,38,0.026,0.044,0.5,0.007
2016-03-23,90,40,0.032,0.029,0.5,0.006
2016-03-24,43,20,0.029,0.027,0.3,0.006
2016-03-25,81,33,0.02,0.045,0.5,0.006
2016-03-26,77,37,0.025,0.042,0.5,0.006
2016-03-27,82,37,0.036,0.036,0.5,0.007
2016-03-28,77,35,0.031,0.047,0.5,0.007
2016-03-29,109,46,0.051,0.037,0.5,0.008
2016-03-30,110,45,0.027,0.045,0.4,0.006
2016-03-31,68,22,0.014,0.061,0.5,0.007
2016-04-01,91,28,0.021,0.068,0.6,0.007
2016-04-02,106,37,0.037,0.056,0.5,0.007
2016-04-03,58,29,0.031,0.026,0.4,0.006
2016-04-04,33,11,0.021,0.035,0.3,0.006
2016-04-05,68,18,0.029,0.041,0.3,0.007
2016-04-06,82,30,0.026,0.054,0.4,0.007
2016-04-07,44,20,0.032,0.032,0.4,0.006
2016-04-08,83,32,0.029,0.036,0.4,0.006
2016-04-09,130,47,0.018,0.044,0.7,0.007
2016-04-10,147,54,0.037,0.034,0.8,0.007
2016-04-11,51,18,0.035,0.031,0.3,0.006
2016-04-12,62,24,0.027,0.04,0.3,0.006
2016-04-13,66,28,0.018,0.049,0.5,0.006
2016-04-14,62,26,0.014,0.048,0.5,0.006
2016-04-15,61,26,0.03,0.042,0.5,0.007
2016-04-16,60,26,0.028,0.043,0.7,0.007
2016-04-17,56,18,0.042,0.015,0.4,0.007
2016-04-18,75,23,0.035,0.026,0.4,0.007
2016-04-19,53,22,0.027,0.036,0.4,0.007
2016-04-20,75,31,0.02,0.048,0.7,0.007
2016-04-21,30,18,0.028,0.032,0.5,0.007
2016-04-22,94,50,0.031,0.034,0.8,0.007
2016-04-23,237,41,0.024,0.035,0.7,0.007
2016-04-24,175,27,0.028,0.035,0.5,0.007
2016-04-25,95,24,0.02,0.053,0.7,0.007
2016-04-26,92,29,0.035,0.04,0.7,0.007
2016-04-27,59,18,0.052,0.018,0.3,0.007
2016-04-28,70,20,0.036,0.035,0.3,0.007
2016-04-29,74,26,0.039,0.033,0.3,0.008
2016-04-30,97,38,0.052,0.032,0.6,0.008
2016-05-01,60,23,0.039,0.033,0.6,0.007
2016-05-02,54,25,0.022,0.037,0.7,0.007
2016-05-03,19,9,0.028,0.017,0.4,0.006
2016-05-04,57,14,0.039,0.022,0.2,0.007
2016-05-05,67,23,0.024,0.043,0.8,0.007
2016-05-06,53,19,0.013,0.037,0.7,0.007
2016-05-07,119,20,0.025,0.029,0.5,0.007
2016-05-08,67,18,0.033,0.03,0.6,0.007
2016-05-09,75,26,0.032,0.037,0.6,0.007
2016-05-10,36,15,0.04,0.018,0.5,0.007
2016-05-11,36,16,0.031,0.033,0.4,0.007
2016-05-12,35,15,0.036,0.034,0.5,0.008
2016-05-13,45,23,0.048,0.028,0.5,0.007
2016-05-14,43,19,0.043,0.034,0.6,0.007
2016-05-15,40,21,0.039,0.024,0.6,0.007
2016-05-16,43,18,0.045,0.025,0.5,0.008
2016-05-17,74,34,0.039,0.049,0.9,0.009
2016-05-18,63,29,0.026,0.055,0.9,0.008
2016-05-19,51,21,0.028,0.048,0.7,0.007
2016-05-20,62,29,0.036,0.053,0.6,0.006
2016-05-21,42,26,0.043,0.039,0.3,0.006
2016-05-22,79,38,0.048,0.037,0.5,0.006
2016-05-23,85,46,0.04,0.051,0.7,0.006
2016-05-24,36,21,0.042,0.024,0.4,0.006
2016-05-25,97,57,0.053,0.027,0.7,0.006
2016-05-26,115,65,0.034,0.046,1,0.007
2016-05-27,97,49,0.031,0.045,1,0.007
2016-05-28,90,39,0.035,0.046,0.8,0.007
2016-05-29,105,43,0.04,0.042,0.9,0.007
2016-05-30,105,53,0.047,0.039,0.8,0.007
2016-05-31,86,42,0.042,0.032,0.5,0.007
2016-06-01,48,23,0.043,0.023,0.3,0.006
2016-06-02,51,18,0.037,0.036,0.2,0.006
2016-06-03,64,26,0.037,0.045,0.3,0.007
2016-06-04,67,32,0.026,0.047,0.4,0.007
2016-06-05,61,33,0.052,0.042,0.6,0.008
2016-06-06,,,,,,
2016-06-07,62,25,0.041,0.041,0.4,0.007
2016-06-08,45,23,0.024,0.031,0.2,0.006
2016-06-09,64,31,0.024,0.04,0.3,0.006
2016-06-10,79,39,0.033,0.043,0.4,0.006
2016-06-11,53,32,0.023,0.025,0.3,0.007
2016-06-12,31,19,0.022,0.016,0.2,0.006
2016-06-13,65,38,0.024,0.032,0.5,0.007
2016-06-14,58,32,0.033,0.036,0.4,0.007
2016-06-15,37,22,0.027,0.025,0.2,0.007
2016-06-16,32,17,0.04,0.022,0.3,0.007
2016-06-17,58,38,0.05,0.029,0.4,0.007
2016-06-18,75,51,0.048,0.046,0.7,0.008
2016-06-19,52,31,0.033,0.039,0.6,0.008
2016-06-20,58,36,0.051,0.038,0.6,0.008
2016-06-21,66,43,0.046,0.058,0.7,0.008
2016-06-22,65,46,0.042,0.045,0.8,0.007
2016-06-23,47,25,0.034,0.033,0.5,0.007
2016-06-24,70,24,0.029,0.025,0.3,0.004
2016-06-25,37,17,0.032,0.027,0.3,0.005
2016-06-26,37,19,0.038,0.022,0.2,0.005
2016-06-27,37,21,0.028,0.041,0.3,0.005
2016-06-28,64,39,0.036,0.041,0.4,0.005
2016-06-29,45,25,0.034,0.037,0.3,0.005
2016-06-30,28,18,0.025,0.026,0.3,0.005
2016-07-01,21,13,0.019,0.027,0.3,0.005
2016-07-02,15,9,0.025,0.023,0.2,0.005
2016-07-03,43,28,0.038,0.02,0.3,0.005
2016-07-04,22,14,0.025,0.02,0.3,0.004
2016-07-05,15,8,0.016,0.019,0.2,0.005
2016-07-06,19,9,0.018,0.031,0.3,0.005
2016-07-07,43,26,0.015,0.044,0.5,0.006
2016-07-08,55,33,0.024,0.035,0.4,0.005
2016-07-09,42,22,0.017,0.03,0.4,0.005
2016-07-10,39,22,0.021,0.033,0.4,0.005
2016-07-11,57,36,0.028,0.038,0.4,0.005
