area,朝楼,rentcnt
己悼备,2016-01-01,40
己悼备,2016-01-02,25
己悼备,2016-01-03,28
己悼备,2016-01-04,28
己悼备,2016-01-05,30
己悼备,2016-01-06,25
己悼备,2016-01-07,37
己悼备,2016-01-08,23
己悼备,2016-01-09,17
己悼备,2016-01-10,21
己悼备,2016-01-11,18
己悼备,2016-01-12,22
己悼备,2016-01-13,17
己悼备,2016-01-14,18
己悼备,2016-01-15,22
己悼备,2016-01-16,15
己悼备,2016-01-17,21
己悼备,2016-01-18,10
己悼备,2016-01-19,9
己悼备,2016-01-20,15
己悼备,2016-01-21,16
己悼备,2016-01-22,9
己悼备,2016-01-23,2
己悼备,2016-01-24,4
己悼备,2016-01-25,10
己悼备,2016-01-26,13
己悼备,2016-01-27,20
己悼备,2016-01-28,18
己悼备,2016-01-29,17
己悼备,2016-01-30,26
己悼备,2016-01-31,10
己悼备,2016-02-01,23
己悼备,2016-02-02,18
己悼备,2016-02-03,20
己悼备,2016-02-04,16
己悼备,2016-02-05,14
己悼备,2016-02-06,9
己悼备,2016-02-07,5
己悼备,2016-02-08,6
己悼备,2016-02-09,16
己悼备,2016-02-10,25
己悼备,2016-02-11,24
己悼备,2016-02-12,8
己悼备,2016-02-13,6
己悼备,2016-02-14,8
己悼备,2016-02-15,18
己悼备,2016-02-16,8
己悼备,2016-02-17,24
己悼备,2016-02-18,25
己悼备,2016-02-19,25
己悼备,2016-02-20,18
己悼备,2016-02-21,34
己悼备,2016-02-22,26
己悼备,2016-02-23,13
己悼备,2016-02-24,15
己悼备,2016-02-25,40
己悼备,2016-02-26,16
己悼备,2016-02-27,37
己悼备,2016-02-28,12
己悼备,2016-02-29,11
己悼备,2016-03-01,20
己悼备,2016-03-02,34
己悼备,2016-03-03,64
己悼备,2016-03-04,95
己悼备,2016-03-05,7
己悼备,2016-03-06,141
己悼备,2016-03-07,38
己悼备,2016-03-08,27
己悼备,2016-03-09,29
己悼备,2016-03-10,31
己悼备,2016-03-11,34
己悼备,2016-03-12,40
己悼备,2016-03-13,33
己悼备,2016-03-14,38
己悼备,2016-03-15,48
己悼备,2016-03-16,63
己悼备,2016-03-17,63
己悼备,2016-03-18,96
己悼备,2016-03-19,192
己悼备,2016-03-20,264
己悼备,2016-03-21,98
己悼备,2016-03-22,81
己悼备,2016-03-23,72
己悼备,2016-03-24,97
己悼备,2016-03-25,91
己悼备,2016-03-26,150
己悼备,2016-03-27,170
己悼备,2016-03-28,121
己悼备,2016-03-29,62
己悼备,2016-03-30,146
己悼备,2016-03-31,179
己悼备,2016-04-01,206
己悼备,2016-04-02,349
己悼备,2016-04-03,54
己悼备,2016-04-04,196
己悼备,2016-04-05,180
己悼备,2016-04-06,170
己悼备,2016-04-07,107
己悼备,2016-04-08,168
己悼备,2016-04-09,166
己悼备,2016-04-10,194
己悼备,2016-04-11,204
己悼备,2016-04-12,171
己悼备,2016-04-13,254
己悼备,2016-04-14,127
己悼备,2016-04-15,164
己悼备,2016-04-16,91
己悼备,2016-04-17,135
己悼备,2016-04-18,70
己悼备,2016-04-19,124
己悼备,2016-04-20,64
