날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,82,65,0.008,0.049,1.1,0.005
2016-01-02,59,40,0.014,0.035,0.7,0.005
2016-01-03,116,80,0.017,0.044,0.9,0.007
2016-01-04,87,62,0.021,0.029,0.7,0.005
2016-01-05,37,21,0.015,0.027,0.5,0.005
2016-01-06,59,36,0.008,0.041,0.7,0.006
2016-01-07,44,25,0.013,0.029,0.6,0.005
2016-01-08,35,19,0.013,0.031,0.5,0.005
2016-01-09,39,24,0.014,0.031,0.6,0.005
2016-01-10,40,27,0.017,0.03,0.6,0.005
2016-01-11,45,26,0.016,0.029,0.6,0.005
2016-01-12,49,27,0.013,0.033,0.6,0.005
2016-01-13,39,23,0.015,0.031,0.6,0.004
2016-01-14,46,26,0.012,0.035,0.6,0.005
2016-01-15,59,38,0.006,0.05,0.8,0.005
2016-01-16,86,62,0.003,0.052,0.9,0.005
2016-01-17,79,60,0.007,0.047,0.9,0.004
2016-01-18,61,39,0.02,0.022,0.6,0.004
2016-01-19,34,16,0.021,0.018,0.4,0.003
2016-01-20,39,26,0.015,0.03,0.5,0.004
2016-01-21,55,36,0.012,0.037,0.7,0.004
2016-01-22,47,30,0.015,0.033,0.6,0.004
2016-01-23,34,17,0.024,0.018,0.4,0.004
2016-01-24,42,23,0.022,0.018,0.5,0.004
2016-01-25,54,21,0.013,0.034,0.6,0.004
2016-01-26,90,49,0.006,0.056,1,0.007
2016-01-27,66,37,0.013,0.048,0.8,0.006
2016-01-28,72,44,0.004,0.064,1.1,0.005
2016-01-29,66,40,0.005,0.053,0.9,0.006
2016-01-30,,,,,,
2016-01-31,,,,,,
2016-02-01,,,,,,
2016-02-02,,,,,,
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,,,,,,
2016-02-06,,,,,,
2016-02-07,,,,,,
2016-02-08,,,,,,
2016-02-09,,,,,,
2016-02-10,,,,,,
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-13,,,,,,
2016-02-16,31,19,0.019,0.028,0.5,0.004
2016-02-17,36,16,0.015,0.036,0.6,0.005
2016-02-18,49,26,0.022,0.033,0.6,0.006
2016-02-19,88,48,0.005,0.049,1,0.006
2016-02-20,44,19,0.016,0.035,0.6,0.004
