朝楼,螟沥家疙,固技刚瘤PM-10(Ф/З),檬固技刚瘤PM-25(Ф/З),坷粮O3(ppm),捞魂拳龙家NO2(ppm),老魂拳藕家CO(ppm),酒炔魂啊胶SO2(ppm)
2016-01-01,堡柳备,85,64,0.004,0.046,0.9,0.006
2016-01-02,堡柳备,58,41,0.007,0.043,0.6,0.005
2016-01-03,堡柳备,111,80,0.009,0.051,1,0.005
2016-01-04,堡柳备,85,61,0.026,0.024,0.8,0.005
2016-01-05,堡柳备,29,19,0.018,0.021,0.3,0.006
2016-01-06,堡柳备,59,37,0.007,0.039,0.7,0.006
2016-01-07,堡柳备,37,23,0.017,0.023,0.3,0.005
2016-01-08,堡柳备,36,22,0.014,0.029,0.5,0.006
2016-01-09,堡柳备,39,25,0.015,0.03,0.5,0.004
2016-01-10,堡柳备,33,24,0.022,0.022,0.5,0.004
2016-01-11,堡柳备,43,29,0.016,0.03,0.6,0.005
2016-01-12,堡柳备,55,34,0.012,0.036,0.6,0.005
2016-01-13,堡柳备,45,30,0.011,0.034,0.7,0.005
2016-01-14,堡柳备,47,28,0.012,0.036,0.6,0.005
2016-01-15,堡柳备,58,41,0.005,0.05,0.8,0.005
2016-01-16,堡柳备,65,49,0.01,0.037,0.7,0.005
2016-01-17,堡柳备,64,52,0.014,0.035,0.7,0.004
2016-01-18,堡柳备,59,41,0.02,0.023,0.7,0.005
2016-01-19,堡柳备,36,17,0.024,0.014,0.4,0.005
2016-01-20,堡柳备,44,31,0.012,0.034,0.6,0.005
2016-01-21,堡柳备,60,43,0.009,0.039,0.7,0.006
2016-01-22,堡柳备,64,43,0.01,0.04,0.7,0.006
2016-01-23,堡柳备,32,20,0.026,0.013,0.4,0.005
2016-01-24,堡柳备,42,27,0.025,0.014,0.5,0.005
2016-01-25,堡柳备,49,23,0.014,0.034,0.6,0.005
2016-01-26,堡柳备,82,48,0.005,0.055,0.9,0.007
2016-01-27,堡柳备,68,42,0.01,0.051,0.9,0.007
2016-01-28,堡柳备,61,40,0.006,0.051,0.9,0.006
2016-01-29,堡柳备,42,28,0.014,0.035,0.5,0.005
2016-01-30,堡柳备,38,28,0.01,0.043,0.7,0.005
2016-01-31,堡柳备,42,27,0.023,0.022,0.5,0.005
2016-02-01,堡柳备,42,24,0.02,0.027,0.5,0.005
2016-02-02,堡柳备,53,32,0.012,0.043,0.7,0.006
2016-02-03,堡柳备,65,42,0.008,0.058,1,0.006
2016-02-04,堡柳备,67,45,0.014,0.052,1,0.008
2016-02-05,堡柳备,45,27,0.013,0.038,0.7,0.005
2016-02-06,堡柳备,54,31,0.016,0.026,0.6,0.005
2016-02-07,堡柳备,54,32,0.01,0.037,0.7,0.005
2016-02-08,堡柳备,77,50,0.017,0.034,0.8,0.006
2016-02-09,堡柳备,52,32,0.02,0.019,0.5,0.005
2016-02-10,堡柳备,45,29,0.007,0.041,0.6,0.005
2016-02-11,堡柳备,45,28,0.008,0.042,0.7,0.005
2016-02-12,堡柳备,31,23,0.008,0.037,0.6,0.004
2016-02-13,堡柳备,14,10,0.004,0.033,0.6,0.004
2016-02-14,堡柳备,31,23,0.016,0.014,0.4,0.003
2016-02-15,堡柳备,34,15,0.019,0.016,0.4,0.004
2016-02-16,堡柳备,30,20,0.013,0.027,0.5,0.005
2016-02-17,堡柳备,41,20,0.009,0.036,0.6,0.004
2016-02-18,堡柳备,45,26,0.013,0.038,0.6,0.005
2016-02-19,堡柳备,92,55,0.006,0.046,0.9,0.006
