날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,마포구,59,49,0.008,0.042,1,0.006
2016-01-02,마포구,45,35,0.011,0.037,0.7,0.006
2016-01-03,마포구,88,68,0.017,0.04,0.8,0.007
2016-01-04,마포구,74,57,0.024,0.026,0.7,0.006
2016-01-05,마포구,26,19,0.018,0.021,0.4,0.005
2016-01-06,마포구,43,30,0.006,0.038,0.7,0.006
2016-01-07,마포구,31,21,0.016,0.024,0.5,0.006
2016-01-08,마포구,25,17,0.015,0.026,0.5,0.006
2016-01-09,마포구,28,20,0.015,0.027,0.5,0.006
2016-01-10,마포구,29,21,0.02,0.024,0.5,0.006
2016-01-11,마포구,32,22,0.017,0.025,0.5,0.006
2016-01-12,마포구,37,24,0.011,0.031,0.6,0.006
2016-01-13,마포구,28,19,0.016,0.025,0.5,0.005
2016-01-14,마포구,31,21,0.014,0.029,0.5,0.006
2016-01-15,마포구,41,29,0.008,0.04,0.7,0.007
2016-01-16,마포구,62,48,0.005,0.043,0.8,0.006
2016-01-17,마포구,63,50,0.008,0.041,0.8,0.006
2016-01-18,마포구,46,33,0.019,0.021,0.6,0.005
2016-01-19,마포구,22,12,0.022,0.015,0.4,0.005
2016-01-20,마포구,28,21,0.015,0.024,0.5,0.005
2016-01-21,마포구,36,26,0.013,0.029,0.6,0.005
2016-01-22,마포구,35,25,0.014,0.027,0.6,0.006
2016-01-23,마포구,22,14,0.024,0.014,0.4,0.005
2016-01-24,마포구,29,19,0.023,0.013,0.4,0.006
2016-01-25,마포구,34,16,0.015,0.026,0.5,0.006
2016-01-26,마포구,61,39,0.004,0.049,0.9,0.008
2016-01-27,마포구,49,32,0.011,0.04,0.8,0.007
2016-01-28,마포구,45,30,0.005,0.049,0.9,0.006
2016-01-29,마포구,39,26,0.009,0.04,0.8,0.007
2016-01-30,마포구,37,27,0.009,0.04,0.9,0.006
2016-01-31,마포구,29,20,0.026,0.017,0.4,0.005
2016-02-01,마포구,29,18,0.02,0.022,0.5,0.006
2016-02-02,마포구,32,21,0.016,0.03,0.5,0.006
2016-02-03,마포구,45,32,0.009,0.049,0.9,0.007
2016-02-04,마포구,45,33,0.014,0.038,0.8,0.007
2016-02-05,마포구,33,20,0.018,0.032,0.6,0.006
2016-02-06,마포구,38,24,0.024,0.021,0.5,0.006
2016-02-07,마포구,34,23,0.016,0.029,0.6,0.006
2016-02-08,마포구,63,41,0.029,0.024,0.6,0.008
2016-02-09,마포구,37,25,0.027,0.019,0.5,0.007
2016-02-10,마포구,32,23,0.009,0.042,0.8,0.006
2016-02-11,마포구,37,25,0.009,0.043,0.6,0.006
2016-02-12,마포구,34,23,0.01,0.036,0.7,0.005
2016-02-13,마포구,15,11,0.006,0.029,0.6,0.004
