날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,서대문구,69,39,0.007,0.06,0.9,0.005
2016-01-02,서대문구,55,26,0.013,0.05,0.7,0.005
2016-01-03,서대문구,109,53,0.017,0.059,0.8,0.006
2016-01-04,서대문구,89,43,0.027,0.029,0.6,0.006
2016-01-05,서대문구,37,17,0.018,0.03,0.6,0.006
2016-01-06,서대문구,57,27,0.008,0.052,0.8,0.006
2016-01-07,서대문구,43,20,0.016,0.034,0.7,0.006
2016-01-08,서대문구,34,16,0.017,0.036,0.7,0.006
2016-01-09,서대문구,39,19,0.016,0.037,0.7,0.006
2016-01-10,서대문구,34,18,0.021,0.034,0.6,0.006
2016-01-11,서대문구,43,20,0.02,0.029,0.7,0.006
2016-01-12,서대문구,52,23,0.014,0.04,0.6,0.005
2016-01-13,서대문구,37,18,0.015,0.039,0.6,0.004
2016-01-14,서대문구,44,19,0.014,0.043,0.7,0.006
2016-01-15,서대문구,48,26,0.01,0.055,0.7,0.006
2016-01-16,서대문구,64,37,0.015,0.043,0.7,0.005
2016-01-17,서대문구,68,43,0.02,0.042,0.7,0.006
2016-01-18,서대문구,59,31,0.023,0.027,0.6,0.004
2016-01-19,서대문구,36,12,0.026,0.017,0.6,0.005
2016-01-20,서대문구,36,20,0.018,0.035,0.6,0.005
2016-01-21,서대문구,48,27,0.015,0.046,0.7,0.005
2016-01-22,서대문구,48,25,0.019,0.04,0.7,0.006
2016-01-23,서대문구,32,13,0.027,0.021,0.6,0.005
2016-01-24,서대문구,40,18,0.024,0.024,0.6,0.006
2016-01-25,서대문구,56,16,0.016,0.042,0.7,0.005
2016-01-26,서대문구,84,36,0.005,0.081,0.9,0.008
2016-01-27,서대문구,62,27,0.013,0.062,0.8,0.007
2016-01-28,서대문구,52,25,0.008,0.075,0.8,0.006
2016-01-29,서대문구,45,22,0.014,0.05,0.8,0.006
2016-01-30,서대문구,46,27,0.01,0.035,0.9,0.005
2016-01-31,서대문구,41,20,0.027,0.014,0.6,0.005
2016-02-01,서대문구,40,17,0.025,0.014,0.6,0.005
2016-02-02,서대문구,47,20,0.018,0.025,0.7,0.006
2016-02-03,서대문구,55,26,0.011,0.039,0.9,0.006
