朝楼,螟沥家疙,固技刚瘤PM-10(Ф/З),檬固技刚瘤PM-25(Ф/З),坷粮O3(ppm),捞魂拳龙家NO2(ppm),老魂拳藕家CO(ppm),酒炔魂啊胶SO2(ppm)
2016-01-01,己悼备,77,39,0.004,0.047,1,0.005
2016-01-02,己悼备,44,27,0.005,0.046,0.7,0.005
2016-01-03,己悼备,,50,0.008,0.053,1.1,0.005
2016-01-04,己悼备,33,48,0.023,0.026,0.6,0.005
2016-01-05,己悼备,35,16,0.016,0.026,0.4,0.004
2016-01-06,己悼备,61,28,0.007,0.041,0.7,0.005
2016-01-07,己悼备,43,20,0.015,0.027,0.5,0.005
2016-01-08,己悼备,35,16,0.014,0.03,0.5,0.005
2016-01-09,己悼备,39,17,0.013,0.033,0.5,0.005
2016-01-10,己悼备,33,17,0.022,0.022,0.5,0.005
2016-01-11,己悼备,45,20,0.015,0.031,0.5,0.005
2016-01-12,己悼备,55,22,0.01,0.038,0.6,0.004
2016-01-13,己悼备,40,20,0.012,0.033,0.5,0.004
2016-01-14,己悼备,54,19,0.009,0.04,0.6,0.004
2016-01-15,己悼备,54,26,0.006,0.049,0.7,0.005
2016-01-16,己悼备,71,37,0.005,0.047,0.8,0.004
2016-01-17,己悼备,73,43,0.008,0.045,0.8,0.005
2016-01-18,己悼备,67,30,0.018,0.026,0.6,0.005
2016-01-19,己悼备,43,13,0.023,0.015,0.4,0.005
2016-01-20,己悼备,40,21,0.012,0.033,0.5,0.004
2016-01-21,己悼备,59,29,0.008,0.044,0.7,0.005
2016-01-22,己悼备,57,27,0.01,0.04,0.6,0.005
2016-01-23,己悼备,37,14,0.025,0.016,0.4,0.004
2016-01-24,己悼备,43,19,0.024,0.015,0.4,0.005
2016-01-25,己悼备,57,16,0.013,0.034,0.5,0.005
2016-01-26,己悼备,88,34,0.004,0.06,0.9,0.004
2016-01-27,己悼备,68,29,0.008,0.053,0.8,0.005
2016-01-28,己悼备,66,29,0.004,0.057,0.9,0.005
2016-01-29,己悼备,53,25,0.004,0.044,0.9,0.005
2016-01-30,己悼备,44,25,0.002,0.052,1.7,0.005
2016-01-31,己悼备,44,21,0.008,0.026,1.2,0.005
2016-02-01,己悼备,46,17,0.004,0.032,0.9,0.004
2016-02-02,己悼备,51,20,0.013,0.045,0.4,0.005
2016-02-03,己悼备,62,32,0.007,0.059,0.8,0.005
2016-02-04,己悼备,63,30,0.014,0.045,0.7,0.005
2016-02-05,己悼备,52,20,0.016,0.04,0.3,0.005
2016-02-06,己悼备,58,23,0.024,0.025,0.2,0.004
2016-02-07,己悼备,53,23,0.013,0.036,0.4,0.004
2016-02-08,己悼备,83,40,0.024,0.033,0.5,0.005
2016-02-09,己悼备,63,27,0.028,0.021,0.2,0.004
2016-02-10,己悼备,54,24,0.009,0.048,0.8,0.004
2016-02-11,己悼备,62,28,0.005,0.058,1,0.005
2016-02-12,己悼备,39,21,0.008,0.043,0.8,0.004
2016-02-13,己悼备,19,11,0.003,0.037,0.9,0.004
2016-02-14,己悼备,34,18,0.023,0.014,0.3,0.003
2016-02-15,己悼备,38,11,0.026,0.019,0.2,0.003
2016-02-16,己悼备,30,15,0.015,0.031,0.4,0.004
2016-02-17,己悼备,43,15,0.013,0.038,0.5,0.004
2016-02-18,己悼备,50,21,0.018,0.04,0.6,0.004
2016-02-19,己悼备,92,37,0.006,0.047,1,0.005
2016-02-20,己悼备,50,17,0.019,0.031,0.5,0.004
2016-02-21,己悼备,30,11,0.03,0.017,0.3,0.004
2016-02-22,己悼备,49,17,0.009,0.044,0.5,0.004
2016-02-23,己悼备,58,25,0.02,0.029,0.5,0.004
2016-02-24,己悼备,35,16,0.02,0.029,0.4,0.004
2016-02-25,己悼备,56,25,0.018,0.038,0.5,0.005
2016-02-26,己悼备,54,25,0.021,0.038,0.5,0.005
2016-02-27,己悼备,69,35,0.017,0.042,0.6,0.005
2016-02-28,己悼备,52,26,0.016,0.039,0.6,0.004
2016-02-29,己悼备,61,27,0.028,0.022,0.3,0.004
2016-03-01,己悼备,33,16,0.027,0.026,0.3,0.004
2016-03-02,己悼备,40,18,0.02,0.037,0.4,0.005
2016-03-03,己悼备,65,27,0.016,0.046,0.6,0.005
2016-03-04,己悼备,85,33,0.013,0.05,0.7,0.005
2016-03-05,己悼备,25,13,0.008,0.033,0.5,0.004
2016-03-06,己悼备,99,21,0.023,0.022,0.4,0.004
2016-03-07,己悼备,126,27,0.004,0.051,0.7,0.005
2016-03-08,己悼备,81,20,0.024,0.025,0.4,0.005
