날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,양천구,82,65,0.008,0.049,1.1,0.005
2016-01-02,양천구,59,40,0.014,0.035,0.7,0.005
2016-01-03,양천구,116,80,0.017,0.044,0.9,0.007
2016-01-04,양천구,87,62,0.021,0.029,0.7,0.005
2016-01-05,양천구,37,21,0.015,0.027,0.5,0.005
2016-01-06,양천구,59,36,0.008,0.041,0.7,0.006
2016-01-07,양천구,44,25,0.013,0.029,0.6,0.005
2016-01-08,양천구,35,19,0.013,0.031,0.5,0.005
2016-01-09,양천구,39,24,0.014,0.031,0.6,0.005
2016-01-10,양천구,40,27,0.017,0.03,0.6,0.005
2016-01-11,양천구,45,26,0.016,0.029,0.6,0.005
2016-01-12,양천구,49,27,0.013,0.033,0.6,0.005
2016-01-13,양천구,39,23,0.015,0.031,0.6,0.004
2016-01-14,양천구,46,26,0.012,0.035,0.6,0.005
2016-01-15,양천구,59,38,0.006,0.05,0.8,0.005
2016-01-16,양천구,86,62,0.003,0.052,0.9,0.005
2016-01-17,양천구,79,60,0.007,0.047,0.9,0.004
2016-01-18,양천구,61,39,0.02,0.022,0.6,0.004
2016-01-19,양천구,34,16,0.021,0.018,0.4,0.003
2016-01-20,양천구,39,26,0.015,0.03,0.5,0.004
2016-01-21,양천구,55,36,0.012,0.037,0.7,0.004
2016-01-22,양천구,47,30,0.015,0.033,0.6,0.004
2016-01-23,양천구,34,17,0.024,0.018,0.4,0.004
2016-01-24,양천구,42,23,0.022,0.018,0.5,0.004
2016-01-25,양천구,54,21,0.013,0.034,0.6,0.004
2016-01-26,양천구,90,49,0.006,0.056,1,0.007
2016-01-27,양천구,66,37,0.013,0.048,0.8,0.006
2016-01-28,양천구,72,44,0.004,0.064,1.1,0.005
2016-01-29,양천구,66,40,0.005,0.053,0.9,0.006
2016-01-30,양천구,,,,,,
2016-01-31,양천구,,,,,,
2016-02-01,양천구,,,,,,
2016-02-02,양천구,,,,,,
2016-02-03,양천구,,,,,,
2016-02-04,양천구,,,,,,
2016-02-05,양천구,,,,,,
2016-02-06,양천구,,,,,,
2016-02-07,양천구,,,,,,
2016-02-08,양천구,,,,,,
2016-02-09,양천구,,,,,,
2016-02-10,양천구,,,,,,
2016-02-11,양천구,,,,,,
2016-02-12,양천구,,,,,,
2016-02-13,양천구,,,,,,
2016-02-16,양천구,31,19,0.019,0.028,0.5,0.004
2016-02-17,양천구,36,16,0.015,0.036,0.6,0.005
2016-02-18,양천구,49,26,0.022,0.033,0.6,0.006
2016-02-19,양천구,88,48,0.005,0.049,1,0.006
2016-02-20,양천구,44,19,0.016,0.035,0.6,0.004
2016-02-21,양천구,27,13,0.026,0.022,0.4,0.004
2016-02-22,양천구,43,19,0.012,0.041,0.6,0.004
2016-02-23,양천구,55,30,0.02,0.028,0.5,0.004
2016-02-24,양천구,33,18,0.021,0.028,0.5,0.004
2016-02-25,양천구,54,33,0.02,0.036,0.6,0.006
2016-02-26,양천구,55,35,0.024,0.036,0.6,0.006
2016-02-27,양천구,74,49,0.019,0.041,0.7,0.006
2016-02-28,양천구,50,32,0.015,0.044,0.7,0.004
2016-02-29,양천구,54,31,0.027,0.023,0.5,0.004
2016-03-01,양천구,31,19,0.028,0.024,0.4,0.004
2016-03-02,양천구,40,22,0.024,0.031,0.5,0.005
2016-03-03,양천구,55,31,0.021,0.042,0.5,0.005
2016-03-04,양천구,75,41,0.012,0.054,0.6,0.006
2016-03-05,양천구,25,13,0.012,0.032,0.5,0.005
2016-03-06,양천구,106,21,0.024,0.024,0.5,0.005
2016-03-07,양천구,102,26,0.004,0.056,0.7,0.005
2016-03-08,양천구,68,20,0.026,0.023,0.5,0.004
2016-03-09,양천구,41,14,0.027,0.018,0.4,0.004
2016-03-10,양천구,33,14,0.028,0.019,0.4,0.004
2016-03-11,양천구,35,18,0.029,0.024,0.5,0.004
2016-03-12,양천구,42,18,0.027,0.029,0.5,0.005
2016-03-13,양천구,64,38,0.029,0.035,0.6,0.006
2016-03-14,양천구,69,44,0.03,0.033,0.6,0.004
2016-03-15,양천구,56,30,0.021,0.048,0.6,0.006
2016-03-16,양천구,66,36,0.022,0.053,0.6,0.008
2016-03-17,양천구,84,47,0.006,0.085,1,0.008
2016-03-18,양천구,75,44,0.018,0.065,0.9,0.008
2016-03-19,양천구,72,37,0.027,0.037,0.6,0.006
2016-03-20,양천구,83,47,0.024,0.042,0.7,0.009
2016-03-21,양천구,86,49,0.02,0.053,0.8,0.008
2016-03-22,양천구,76,49,0.032,0.036,0.6,0.006
