날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,영등포구,80,40,0.006,0.035,1.1,0.006
2016-01-02,영등포구,62,28,0.009,0.032,0.9,0.006
2016-01-03,영등포구,119,53,0.012,0.033,0.9,0.006
2016-01-04,영등포구,96,43,0.017,0.024,0.7,0.007
2016-01-05,영등포구,40,18,0.01,0.026,0.6,0.007
2016-01-06,영등포구,63,28,0.006,0.033,0.7,0.007
2016-01-07,영등포구,48,21,0.011,0.026,0.7,0.007
2016-01-08,영등포구,38,18,0.009,0.028,0.7,0.007
2016-01-09,영등포구,42,19,0.01,0.026,0.7,0.007
2016-01-10,영등포구,39,20,0.012,0.023,0.6,0.007
2016-01-11,영등포구,48,21,0.01,0.027,0.7,0.007
2016-01-12,영등포구,56,22,0.009,0.03,0.7,0.007
2016-01-13,영등포구,40,19,0.011,0.027,0.6,0.006
2016-01-14,영등포구,48,21,0.009,0.031,0.7,0.007
2016-01-15,영등포구,58,28,0.003,0.039,0.9,0.006
2016-01-16,영등포구,75,39,0.003,0.039,0.8,0.006
2016-01-17,영등포구,76,44,0.005,0.036,0.9,0.006
2016-01-18,영등포구,66,35,0.013,0.022,0.7,0.005
2016-01-19,영등포구,39,14,0.017,0.018,0.4,0.006
2016-01-20,영등포구,41,22,0.01,0.028,0.7,0.006
2016-01-21,영등포구,54,27,0.008,0.032,0.7,0.007
2016-01-22,영등포구,50,23,0.009,0.03,0.7,0.007
2016-01-23,영등포구,37,14,0.017,0.018,0.5,0.007
2016-01-24,영등포구,46,18,0.017,0.015,0.5,0.007
2016-01-25,영등포구,63,17,0.01,0.029,0.7,0.007
2016-01-26,영등포구,92,34,0.005,0.041,1,0.007
2016-01-27,영등포구,71,27,0.009,0.035,0.8,0.008
2016-01-28,영등포구,66,29,0.004,0.044,1.2,0.007
2016-01-29,영등포구,59,24,0.004,0.037,0.8,0.008
2016-01-30,영등포구,48,24,0.006,0.032,0.8,0.006
2016-01-31,영등포구,43,19,0.018,0.019,0.5,0.007
2016-02-01,영등포구,46,17,0.014,0.025,0.6,0.007
2016-02-02,영등포구,49,20,0.009,0.034,0.6,0.007
2016-02-03,영등포구,63,28,0.006,0.043,0.9,0.007
2016-02-04,영등포구,64,30,0.009,0.036,0.9,0.007
2016-02-05,영등포구,52,21,0.012,0.032,0.7,0.008
2016-02-06,영등포구,58,23,0.015,0.024,0.7,0.008
2016-02-07,영등포구,47,20,0.013,0.025,0.6,0.007
2016-02-08,영등포구,84,40,0.022,0.021,0.6,0.008
2016-02-09,영등포구,56,23,0.021,0.016,0.5,0.008
2016-02-10,영등포구,53,26,0.005,0.04,0.9,0.007
2016-02-11,영등포구,49,21,0.007,0.041,0.8,0.007
2016-02-12,영등포구,38,21,0.005,0.033,0.7,0.005
