날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,용산구,59,46,0.005,0.046,0.7,0.005
2016-01-02,용산구,43,30,0.008,0.042,0.4,0.005
2016-01-03,용산구,85,62,0.01,0.049,0.7,0.006
2016-01-04,용산구,66,49,0.022,0.029,0.5,0.006
2016-01-05,용산구,26,17,0.014,0.027,0.2,0.005
2016-01-06,용산구,43,30,0.008,0.04,0.4,0.006
2016-01-07,용산구,31,21,0.014,0.028,0.3,0.005
2016-01-08,용산구,24,17,0.014,0.027,0.2,0.005
2016-01-09,용산구,29,20,0.013,0.031,0.3,0.005
2016-01-10,용산구,28,20,0.018,0.028,0.2,0.005
2016-01-11,용산구,33,21,0.014,0.031,0.3,0.006
2016-01-12,용산구,37,23,0.009,0.039,0.5,0.005
2016-01-13,용산구,29,19,0.012,0.032,0.4,0.005
2016-01-14,용산구,33,20,0.011,0.035,0.4,0.005
2016-01-15,용산구,40,28,0.007,0.045,0.6,0.005
2016-01-16,용산구,58,43,0.005,0.048,0.6,0.006
2016-01-17,용산구,58,46,0.008,0.043,0.6,0.005
2016-01-18,용산구,44,30,0.018,0.024,0.4,0.005
2016-01-19,용산구,24,14,0.022,0.017,0.2,0.004
2016-01-20,용산구,29,22,0.013,0.032,0.3,0.004
2016-01-21,용산구,40,30,0.008,0.044,0.5,0.005
2016-01-22,용산구,39,29,0.013,0.036,0.4,0.005
2016-01-23,용산구,24,15,0.024,0.017,0.2,0.005
2016-01-24,용산구,30,21,0.022,0.017,0.2,0.005
2016-01-25,용산구,37,18,0.013,0.033,0.3,0.005
2016-01-26,용산구,65,42,0.004,0.057,0.7,0.006
2016-01-27,용산구,50,33,0.01,0.047,0.6,0.006
2016-01-28,용산구,45,32,0.005,0.056,0.7,0.006
2016-01-29,용산구,39,31,0.011,0.041,0.5,0.006
2016-01-30,용산구,35,26,0.007,0.049,0.6,0.005
2016-01-31,용산구,31,23,0.022,0.024,0.3,0.005
2016-02-01,용산구,31,20,0.018,0.03,0.3,0.005
2016-02-02,용산구,34,23,0.012,0.043,0.4,0.005
2016-02-03,용산구,46,35,0.007,0.06,0.7,0.006
2016-02-04,용산구,46,34,0.013,0.044,0.6,0.006
2016-02-05,용산구,33,21,0.016,0.035,0.4,0.005
2016-02-06,용산구,40,25,0.022,0.025,0.3,0.006
2016-02-07,용산구,35,24,0.013,0.034,0.4,0.005
2016-02-08,용산구,63,44,0.023,0.032,0.5,0.006
2016-02-09,용산구,41,27,0.024,0.023,0.3,0.006
2016-02-10,용산구,32,24,0.009,0.042,0.6,0.005
2016-02-11,용산구,41,28,0.007,0.051,0.8,0.006
2016-02-12,용산구,31,24,0.009,0.039,1.3,0.005
2016-02-13,용산구,16,12,0.003,0.035,1.4,0.005
2016-02-14,용산구,27,19,0.021,0.015,0.5,0.004
2016-02-15,용산구,26,12,0.024,0.018,0.2,0.004
2016-02-16,용산구,24,16,0.016,0.028,0.3,0.004
2016-02-17,용산구,30,15,0.012,0.036,0.4,0.005
2016-02-18,용산구,37,24,0.02,0.037,0.5,0.006
2016-02-19,용산구,68,42,0.006,0.051,0.9,0.006
2016-02-20,용산구,34,19,0.018,0.033,0.5,0.005
2016-02-21,용산구,23,14,0.025,0.022,0.4,0.005
2016-02-22,용산구,35,18,0.01,0.045,0.5,0.005
2016-02-23,용산구,47,31,0.018,0.031,0.5,0.005
2016-02-24,용산구,27,18,0.02,0.029,0.5,0.005
2016-02-25,용산구,43,29,0.019,0.035,0.5,0.005
2016-02-26,용산구,46,32,0.019,0.04,0.6,0.006
2016-02-27,용산구,62,46,0.016,0.045,0.7,0.006
2016-02-28,용산구,40,31,0.014,0.044,0.6,0.005
2016-02-29,용산구,45,28,0.025,0.024,0.4,0.004
2016-03-01,용산구,27,18,0.025,0.026,0.4,0.004
2016-03-02,용산구,32,22,0.02,0.037,0.4,0.005
2016-03-03,용산구,46,31,0.017,0.045,0.5,0.005
2016-03-04,용산구,60,39,0.018,0.046,0.7,0.005
2016-03-05,용산구,22,15,0.011,0.032,0.5,0.005
2016-03-06,용산구,73,22,0.022,0.024,0.7,0.004
2016-03-07,용산구,84,27,0.006,0.053,0.7,0.005
2016-03-08,용산구,56,20,0.021,0.028,0.4,0.004
2016-03-09,용산구,34,15,0.022,0.024,0.3,0.004
2016-03-10,용산구,28,14,0.025,0.022,0.2,0.005
2016-03-11,용산구,30,17,0.026,0.026,0.2,0.005
2016-03-12,용산구,35,20,0.022,0.034,0.3,0.005
2016-03-13,용산구,54,36,0.024,0.038,0.4,0.005
2016-03-14,용산구,56,41,0.03,0.033,0.5,0.005
2016-03-15,용산구,50,30,0.017,0.051,0.6,0.006
2016-03-16,용산구,57,36,0.018,0.056,0.7,0.007
2016-03-17,용산구,63,42,0.008,0.074,0.8,0.006
2016-03-18,용산구,60,42,0.015,0.063,0.7,0.006
2016-03-19,용산구,67,42,0.022,0.039,0.1,0.005
2016-03-20,용산구,69,45,0.019,0.045,0.1,0.006
2016-03-21,용산구,73,49,0.017,0.056,0.4,0.007
2016-03-22,용산구,64,47,0.024,0.044,0.7,0.006
2016-03-23,용산구,72,52,0.025,0.034,0.7,0.005
2016-03-24,용산구,32,21,0.028,0.028,0.5,0.004
2016-03-25,용산구,55,35,0.017,0.045,0.6,0.005
2016-03-26,용산구,56,40,0.022,0.045,0.6,0.005
2016-03-27,용산구,58,43,0.031,0.038,0.7,0.006
2016-03-28,용산구,62,45,0.027,0.05,0.7,0.006
2016-03-29,용산구,84,55,0.047,0.034,0.7,0.006
2016-03-30,용산구,82,52,0.024,0.043,0.7,0.006
2016-03-31,용산구,42,24,0.012,0.061,0.6,0.006
