날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,은평구,58,35,0.01,0.039,0.7,0.007
2016-01-02,은평구,45,24,0.016,0.037,0.6,0.007
2016-01-03,은평구,96,49,0.017,0.04,0.8,0.007
2016-01-04,은평구,82,46,0.029,0.027,0.7,0.007
2016-01-05,은평구,34,15,0.017,0.025,0.5,0.007
2016-01-06,은평구,51,26,0.01,0.039,0.6,0.008
2016-01-07,은평구,40,19,0.017,0.028,0.5,0.008
2016-01-08,은평구,35,16,0.017,0.03,0.4,0.007
2016-01-09,은평구,33,19,0.009,0.036,0.4,0.006
2016-01-10,은평구,32,17,0.022,0.029,0.5,0.007
2016-01-11,은평구,40,22,0.021,0.026,0.5,0.007
2016-01-12,은평구,46,23,0.014,0.032,0.5,0.007
2016-01-13,은평구,35,20,0.016,0.031,0.4,0.007
2016-01-14,은평구,37,18,0.015,0.033,0.5,0.007
2016-01-15,은평구,42,26,0.012,0.04,0.6,0.007
2016-01-16,은평구,58,38,0.018,0.036,0.6,0.007
2016-01-17,은평구,60,40,0.016,0.033,0.6,0.007
2016-01-18,은평구,49,29,0.023,0.024,0.5,0.007
2016-01-19,은평구,30,11,0.023,0.018,0.3,0.007
2016-01-20,은평구,39,23,0.017,0.027,0.3,0.007
2016-01-21,은평구,45,29,0.017,0.033,0.4,0.007
2016-01-22,은평구,49,28,0.019,0.031,0.5,0.007
2016-01-23,은평구,31,15,0.027,0.019,0.4,0.008
2016-01-24,은평구,38,20,0.026,0.019,0.3,0.008
2016-01-25,은평구,50,17,0.016,0.03,0.4,0.007
2016-01-26,은평구,77,35,0.01,0.047,0.7,0.009
2016-01-27,은평구,59,30,0.015,0.041,0.7,0.008
2016-01-28,은평구,50,24,0.012,0.037,0.8,0.007
2016-01-29,은평구,43,22,0.012,0.021,0.7,0.007
2016-01-30,은평구,37,23,0.014,0.019,0.6,0.007
2016-01-31,은평구,37,20,0.027,0.011,0.5,0.007
2016-02-01,은평구,38,19,0.026,0.013,0.4,0.007
2016-02-02,은평구,43,21,0.018,0.017,0.4,0.007
2016-02-03,은평구,49,26,0.015,0.024,0.6,0.008
2016-02-04,은평구,50,24,0.018,0.025,0.6,0.008
2016-02-05,은평구,44,19,0.022,0.021,0.5,0.008
2016-02-06,은평구,50,25,0.027,0.015,0.5,0.008
2016-02-07,은평구,41,21,0.019,0.018,0.4,0.007
2016-02-08,은평구,70,39,0.026,0.019,0.5,0.009
2016-02-09,은평구,48,25,0.03,0.013,0.5,0.008
2016-02-10,은평구,31,17,0.016,0.022,0.5,0.007
2016-02-11,은평구,38,18,0.037,0.016,0.4,0.007
2016-02-12,은평구,28,17,0.025,0.032,0.5,0.007
2016-02-13,은평구,9,6,0.019,0.028,0.4,0.006
2016-02-14,은평구,29,16,0.027,0.026,0.4,0.006
2016-02-15,은평구,31,11,0.033,0.029,0.2,0.006
2016-02-16,은평구,26,15,0.022,0.038,0.3,0.006
2016-02-17,은평구,36,14,0.019,0.044,0.5,0.006
2016-02-18,은평구,41,20,0.026,0.043,0.5,0.008
2016-02-19,은평구,73,39,0.012,0.046,0.9,0.007
2016-02-20,은평구,28,15,0.021,0.038,0.4,0.005
2016-02-21,은평구,27,12,0.028,0.033,0.4,0.006
2016-02-22,은평구,43,19,0.018,0.045,0.5,0.007
2016-02-23,은평구,54,28,0.025,0.037,0.5,0.007
2016-02-24,은평구,32,17,0.028,0.034,0.4,0.007
2016-02-25,은평구,52,29,0.025,0.042,0.5,0.008
2016-02-26,은평구,52,30,0.024,0.046,0.5,0.008
2016-02-27,은평구,71,40,0.023,0.046,0.6,0.007
2016-02-28,은평구,38,25,0.028,0.04,0.5,0.006
2016-02-29,은평구,56,29,0.032,0.033,0.4,0.006
2016-03-01,은평구,31,19,0.028,0.037,0.4,0.006
2016-03-02,은평구,35,20,0.025,0.044,0.4,0.007
2016-03-03,은평구,55,28,0.027,0.044,0.5,0.006
2016-03-04,은평구,60,32,0.04,0.034,0.4,0.006
2016-03-05,은평구,23,16,0.02,0.034,0.4,0.006
2016-03-06,은평구,100,25,0.031,0.029,0.4,0.006
2016-03-07,은평구,105,28,0.017,0.047,0.5,0.006
2016-03-08,은평구,83,25,0.03,0.034,0.4,0.006
2016-03-09,은평구,44,16,0.033,0.028,0.4,0.007
2016-03-10,은평구,35,16,0.033,0.029,0.4,0.007
2016-03-11,은평구,37,18,0.03,0.035,0.4,0.007
