날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-01-01,종로구,68,51,0.005,0.047,0.7,0.006
2016-01-02,종로구,53,37,0.007,0.044,0.5,0.006
2016-01-03,종로구,98,68,0.015,0.044,0.6,0.007
2016-01-04,종로구,84,58,0.02,0.022,0.4,0.006
2016-01-05,종로구,29,18,0.006,0.022,0.3,0.005
2016-01-06,종로구,50,31,0.002,0.04,0.5,0.006
2016-01-07,종로구,37,23,0.006,0.022,0.3,0.005
2016-01-08,종로구,34,22,0.006,0.026,0.3,0.005
2016-01-09,종로구,35,22,0.005,0.027,0.3,0.005
2016-01-10,종로구,32,23,0.009,0.02,0.3,0.005
2016-01-11,종로구,38,27,0.007,0.023,0.3,0.005
2016-01-12,종로구,46,30,0.003,0.033,0.4,0.004
2016-01-13,종로구,38,25,0.004,0.031,0.4,0.004
2016-01-14,종로구,43,26,0.004,0.034,0.4,0.005
2016-01-15,종로구,52,40,0.005,0.048,0.5,0.006
2016-01-16,종로구,76,66,0.004,0.051,0.6,0.006
2016-01-17,종로구,77,71,0.005,0.049,0.7,0.005
2016-01-18,종로구,54,42,0.019,0.023,0.4,0.004
2016-01-19,종로구,32,13,0.022,0.014,0.2,0.004
2016-01-20,종로구,36,26,0.014,0.027,0.3,0.004
2016-01-21,종로구,50,38,0.01,0.036,0.5,0.005
2016-01-22,종로구,52,37,0.013,0.03,0.4,0.005
2016-01-23,종로구,30,15,0.023,0.012,0.2,0.004
2016-01-24,종로구,39,23,0.022,0.013,0.3,0.004
2016-01-25,종로구,49,19,0.014,0.027,0.3,0.004
2016-01-26,종로구,77,50,0.004,0.053,0.7,0.007
2016-01-27,종로구,54,37,0.011,0.042,0.6,0.006
2016-01-28,종로구,53,35,0.005,0.053,0.7,0.006
2016-01-29,종로구,49,33,0.007,0.042,0.5,0.006
2016-01-30,종로구,38,27,0.008,0.038,0.5,0.005
2016-01-31,종로구,39,25,0.024,0.016,0.3,0.004
2016-02-01,종로구,38,21,0.019,0.022,0.3,0.003
2016-02-02,종로구,43,26,0.014,0.033,0.4,0.006
2016-02-03,종로구,58,40,0.009,0.054,0.6,0.007
2016-02-04,종로구,56,40,0.015,0.042,0.6,0.006
2016-02-05,종로구,41,22,0.019,0.031,0.4,0.005
2016-02-06,종로구,49,28,0.026,0.018,0.3,0.006
2016-02-07,종로구,48,29,0.014,0.033,0.4,0.005
2016-02-08,종로구,73,51,0.02,0.034,0.4,0.007
2016-02-09,종로구,50,31,0.025,0.018,0.3,0.006
2016-02-10,종로구,38,23,0.009,0.044,0.5,0.005
2016-02-11,종로구,46,29,0.006,0.054,0.6,0.006
2016-02-12,종로구,35,24,0.006,0.042,0.5,0.004
2016-02-13,종로구,15,6,0.004,0.032,0.4,0.005
2016-02-14,종로구,31,20,0.021,0.013,0.2,0.004
2016-02-15,종로구,33,10,0.025,0.016,0.2,0.004
2016-02-16,종로구,27,15,0.016,0.028,0.3,0.004
2016-02-17,종로구,39,14,0.014,0.033,0.3,0.005
2016-02-18,종로구,46,25,0.017,0.037,0.4,0.006
2016-02-19,종로구,83,55,0.008,0.041,0.6,0.006
2016-02-20,종로구,42,18,0.02,0.027,0.3,0.005
2016-02-21,종로구,26,10,0.027,0.015,0.2,0.004
2016-02-22,종로구,42,18,0.011,0.038,0.3,0.004
2016-02-23,종로구,55,34,0.02,0.024,0.3,0.004
2016-02-24,종로구,33,18,0.02,0.024,0.3,0.003
2016-02-25,종로구,52,32,0.017,0.033,0.4,0.005
2016-02-26,종로구,53,38,0.018,0.034,0.4,0.005
2016-02-27,종로구,72,56,0.017,0.035,0.4,0.005
2016-02-28,종로구,48,37,0.013,0.038,0.4,0.004
2016-02-29,종로구,54,34,0.025,0.017,0.3,0.004
2016-03-01,종로구,32,19,0.022,0.023,0.3,0.003
2016-03-02,종로구,39,24,0.015,0.036,0.3,0.004
2016-03-03,종로구,57,38,0.014,0.04,0.4,0.004
2016-03-04,종로구,70,48,0.013,0.042,0.4,0.004
2016-03-05,종로구,26,15,0.007,0.031,0.3,0.003
2016-03-06,종로구,86,22,0.023,0.016,0.3,0.003
2016-03-07,종로구,103,31,0.007,0.044,0.4,0.004
2016-03-08,종로구,67,22,0.023,0.018,0.3,0.004
2016-03-09,종로구,40,12,0.024,0.014,0.2,0.004
2016-03-10,종로구,36,13,0.027,0.013,0.2,0.003
2016-03-11,종로구,34,18,0.028,0.017,0.2,0.004
2016-03-12,종로구,44,21,0.019,0.032,0.3,0.004
