area,rentdate,rentcnt
동대문구,2016-07-13,1
동대문구,2016-07-14,5
동대문구,2016-07-17,31
동대문구,2016-07-18,77
동대문구,2016-07-19,89
동대문구,2016-07-20,88
동대문구,2016-07-21,117
동대문구,2016-07-22,155
동대문구,2016-07-23,201
동대문구,2016-07-24,189
동대문구,2016-07-25,289
동대문구,2016-07-26,298
동대문구,2016-07-27,187
동대문구,2016-07-28,336
동대문구,2016-07-29,187
동대문구,2016-07-30,269
동대문구,2016-07-31,277
동대문구,2016-08-01,358
동대문구,2016-08-02,363
동대문구,2016-08-03,377
동대문구,2016-08-04,337
동대문구,2016-08-05,309
동대문구,2016-08-06,304
동대문구,2016-08-07,306
동대문구,2016-08-08,331
동대문구,2016-08-09,339
동대문구,2016-08-10,392
동대문구,2016-08-11,365
동대문구,2016-08-12,371
동대문구,2016-08-13,328
동대문구,2016-08-14,297
동대문구,2016-08-15,382
동대문구,2016-08-16,444
동대문구,2016-08-17,441
동대문구,2016-08-18,369
동대문구,2016-08-19,341
동대문구,2016-08-20,318
동대문구,2016-08-21,380
동대문구,2016-08-22,425
동대문구,2016-08-23,390
동대문구,2016-08-24,437
동대문구,2016-08-25,322
동대문구,2016-08-26,466
동대문구,2016-08-27,615
동대문구,2016-08-28,403
동대문구,2016-08-29,586
동대문구,2016-08-30,543
동대문구,2016-08-31,163
동대문구,2016-09-01,497
동대문구,2016-09-02,582
동대문구,2016-09-03,585
동대문구,2016-09-04,642
동대문구,2016-09-05,643
동대문구,2016-09-06,620
동대문구,2016-09-07,543
동대문구,2016-09-08,459
동대문구,2016-09-09,527
동대문구,2016-09-10,664
동대문구,2016-09-11,624
동대문구,2016-09-12,619
동대문구,2016-09-13,654
동대문구,2016-09-14,440
동대문구,2016-09-15,389
동대문구,2016-09-16,534
동대문구,2016-09-17,595
동대문구,2016-09-18,725
동대문구,2016-09-19,709
동대문구,2016-09-20,714
동대문구,2016-09-21,694
동대문구,2016-09-22,774
동대문구,2016-09-23,737
동대문구,2016-09-24,752
동대문구,2016-09-25,707
동대문구,2016-09-26,749
동대문구,2016-09-27,231
동대문구,2016-09-28,687
동대문구,2016-09-29,775
동대문구,2016-09-30,693
동대문구,2016-10-01,820
동대문구,2016-10-02,154
동대문구,2016-10-03,695
동대문구,2016-10-04,832
동대문구,2016-10-05,777
동대문구,2016-10-06,840
동대문구,2016-10-07,481
동대문구,2016-10-08,682
동대문구,2016-10-09,610
동대문구,2016-10-10,697
동대문구,2016-10-11,798
동대문구,2016-10-12,738
동대문구,2016-10-13,725
동대문구,2016-10-14,727
동대문구,2016-10-15,723
동대문구,2016-10-16,310
동대문구,2016-10-17,806
동대문구,2016-10-18,770
동대문구,2016-10-19,786
동대문구,2016-10-20,769
동대문구,2016-10-21,752
동대문구,2016-10-22,708
동대문구,2016-10-23,303
동대문구,2016-10-24,642
동대문구,2016-10-25,425
동대문구,2016-10-26,607
동대문구,2016-10-27,737
동대문구,2016-10-28,620
동대문구,2016-10-29,456
동대문구,2016-10-30,462
동대문구,2016-10-31,365
동대문구,2016-11-01,426
동대문구,2016-11-02,369
동대문구,2016-11-03,482
동대문구,2016-11-04,526
동대문구,2016-11-05,544
동대문구,2016-11-06,465
동대문구,2016-11-07,358
동대문구,2016-11-08,372
동대문구,2016-11-09,384
동대문구,2016-11-10,391
동대문구,2016-11-11,413
동대문구,2016-11-12,490
동대문구,2016-11-13,446
동대문구,2016-11-14,331
동대문구,2016-11-15,441
동대문구,2016-11-16,488
동대문구,2016-11-17,477
동대문구,2016-11-18,436
동대문구,2016-11-19,439
동대문구,2016-11-20,419
동대문구,2016-11-21,452
동대문구,2016-11-22,320
동대문구,2016-11-23,285
동대문구,2016-11-24,282
동대문구,2016-11-25,287
동대문구,2016-11-26,141
동대문구,2016-11-27,185
동대문구,2016-11-28,327
동대문구,2016-11-29,336
동대문구,2016-11-30,315
동대문구,2016-12-01,322
동대문구,2016-12-02,325
동대문구,2016-12-03,303
동대문구,2016-12-04,231
동대문구,2016-12-05,308
동대문구,2016-12-06,282
동대문구,2016-12-07,310
동대문구,2016-12-08,252
동대문구,2016-12-09,256
동대문구,2016-12-10,209
동대문구,2016-12-11,183
동대문구,2016-12-12,281
동대문구,2016-12-13,309
동대문구,2016-12-14,227
동대문구,2016-12-15,227
동대문구,2016-12-16,217
동대문구,2016-12-17,181
동대문구,2016-12-18,200
동대문구,2016-12-19,283
동대문구,2016-12-20,355
동대문구,2016-12-21,152
동대문구,2016-12-22,65
동대문구,2016-12-23,213
동대문구,2016-12-24,131
동대문구,2016-12-25,135
동대문구,2016-12-26,227
동대문구,2016-12-27,250
동대문구,2016-12-28,221
동대문구,2016-12-29,188
동대문구,2016-12-30,204
동대문구,2016-12-31,166
동대문구,2017-01-01,141
동대문구,2017-01-02,235
동대문구,2017-01-03,293
동대문구,2017-01-04,314
동대문구,2017-01-05,297
동대문구,2017-01-06,314
동대문구,2017-01-07,254
동대문구,2017-01-08,220
동대문구,2017-01-09,277
동대문구,2017-01-10,246
동대문구,2017-01-11,225
동대문구,2017-01-12,251
동대문구,2017-01-13,143
동대문구,2017-01-14,98
동대문구,2017-01-15,99
동대문구,2017-01-16,229
동대문구,2017-01-17,245
동대문구,2017-01-18,239
동대문구,2017-01-19,242
동대문구,2017-01-20,86
동대문구,2017-01-21,72
동대문구,2017-01-22,59
동대문구,2017-01-23,118
동대문구,2017-01-24,148
동대문구,2017-01-25,156
동대문구,2017-01-26,173
동대문구,2017-01-27,86
동대문구,2017-01-28,71
동대문구,2017-01-29,36
동대문구,2017-01-30,77
동대문구,2017-01-31,144
동대문구,2017-02-01,176
동대문구,2017-02-02,205
동대문구,2017-02-03,206
동대문구,2017-02-04,182
동대문구,2017-02-05,89
동대문구,2017-02-06,203
동대문구,2017-02-07,73
동대문구,2017-02-08,173
동대문구,2017-02-09,171
동대문구,2017-02-10,150
동대문구,2017-02-11,145
동대문구,2017-02-12,135
동대문구,2017-02-13,210
동대문구,2017-02-14,254
동대문구,2017-02-15,246
동대문구,2017-02-16,245
동대문구,2017-02-17,221
동대문구,2017-02-18,168
동대문구,2017-02-19,122
동대문구,2017-02-20,177
동대문구,2017-02-21,242
동대문구,2017-02-22,94
동대문구,2017-02-23,203
동대문구,2017-02-24,218
동대문구,2017-02-25,198
동대문구,2017-02-26,250
동대문구,2017-02-27,286
동대문구,2017-02-28,338
동대문구,2017-03-01,222
동대문구,2017-03-02,275
동대문구,2017-03-03,338
동대문구,2017-03-04,388
동대문구,2017-03-05,272
동대문구,2017-03-06,271
동대문구,2017-03-07,262
동대문구,2017-03-08,268
동대문구,2017-03-09,340
동대문구,2017-03-10,364
동대문구,2017-03-11,397
동대문구,2017-03-12,322
동대문구,2017-03-13,420
동대문구,2017-03-14,415
동대문구,2017-03-15,393
동대문구,2017-03-16,372
동대문구,2017-03-17,288
동대문구,2017-03-18,463
동대문구,2017-03-19,457
동대문구,2017-03-20,414
동대문구,2017-03-21,427
동대문구,2017-03-22,471
동대문구,2017-03-23,489
동대문구,2017-03-24,484
동대문구,2017-03-25,429
동대문구,2017-03-26,382
동대문구,2017-03-27,397
동대문구,2017-03-28,469
동대문구,2017-03-29,530
동대문구,2017-03-30,552
동대문구,2017-03-31,282
동대문구,2017-04-01,393
동대문구,2017-04-02,510
동대문구,2017-04-03,534
동대문구,2017-04-04,594
동대문구,2017-04-05,155
동대문구,2017-04-06,451
동대문구,2017-04-07,636
동대문구,2017-04-08,606
동대문구,2017-04-09,643
동대문구,2017-04-10,730
동대문구,2017-04-11,701
동대문구,2017-04-12,638
동대문구,2017-04-13,658
동대문구,2017-04-14,458
동대문구,2017-04-15,676
동대문구,2017-04-16,752
동대문구,2017-04-17,469
동대문구,2017-04-18,503
동대문구,2017-04-19,713
동대문구,2017-04-20,687
동대문구,2017-04-21,742
동대문구,2017-04-22,716
동대문구,2017-04-23,772
동대문구,2017-04-24,795
동대문구,2017-04-25,783
동대문구,2017-04-26,774
동대문구,2017-04-27,820
동대문구,2017-04-28,770
동대문구,2017-04-29,751
동대문구,2017-04-30,826
동대문구,2017-05-01,900
동대문구,2017-05-02,870
동대문구,2017-05-03,861
동대문구,2017-05-04,958
동대문구,2017-05-05,838
동대문구,2017-05-06,457
동대문구,2017-05-07,572
동대문구,2017-05-08,671
동대문구,2017-05-09,511
동대문구,2017-05-10,758
동대문구,2017-05-11,884
동대문구,2017-05-12,730
동대문구,2017-05-13,504
동대문구,2017-05-14,810
동대문구,2017-05-15,837
동대문구,2017-05-16,944
동대문구,2017-05-17,923
동대문구,2017-05-18,961
동대문구,2017-05-19,931
동대문구,2017-05-20,885
동대문구,2017-05-21,875
동대문구,2017-05-22,1000
동대문구,2017-05-23,681
동대문구,2017-05-24,968
동대문구,2017-05-25,1041
동대문구,2017-05-26,986
동대문구,2017-05-27,908
동대문구,2017-05-28,975
동대문구,2017-05-29,1057
동대문구,2017-05-30,1084
동대문구,2017-05-31,1130
동대문구,2017-06-01,1112
동대문구,2017-06-02,715
동대문구,2017-06-03,975
동대문구,2017-06-04,1001
동대문구,2017-06-05,1135
동대문구,2017-06-06,528
동대문구,2017-06-07,451
동대문구,2017-06-08,1148
동대문구,2017-06-09,1049
동대문구,2017-06-10,1078
동대문구,2017-06-11,967
동대문구,2017-06-12,1175
동대문구,2017-06-13,1056
동대문구,2017-06-14,1111
동대문구,2017-06-15,1037
동대문구,2017-06-16,1100
동대문구,2017-06-17,1058
동대문구,2017-06-18,933
동대문구,2017-06-19,1125
동대문구,2017-06-20,1083
동대문구,2017-06-21,1159
동대문구,2017-06-22,1100
동대문구,2017-06-23,1040
동대문구,2017-06-24,609
동대문구,2017-06-25,544
동대문구,2017-06-26,567
동대문구,2017-06-27,986
동대문구,2017-06-28,1047
동대문구,2017-06-29,1101
동대문구,2017-06-30,1012
동대문구,2017-07-01,709
동대문구,2017-07-02,192
동대문구,2017-07-03,427
동대문구,2017-07-04,845
동대문구,2017-07-05,270
동대문구,2017-07-07,152
동대문구,2017-07-08,484
동대문구,2017-07-09,288
동대문구,2017-07-10,67
동대문구,2017-07-11,739
동대문구,2017-07-12,868
동대문구,2017-07-13,806
동대문구,2017-07-14,746
동대문구,2017-07-15,257
동대문구,2017-07-16,591
동대문구,2017-07-17,761
동대문구,2017-07-18,730
동대문구,2017-07-19,929
동대문구,2017-07-20,864
동대문구,2017-07-21,782
동대문구,2017-07-22,501
동대문구,2017-07-23,394
동대문구,2017-07-24,704
동대문구,2017-07-25,847
동대문구,2017-07-26,915
동대문구,2017-07-27,802
동대문구,2017-07-28,512
동대문구,2017-07-29,757
동대문구,2017-07-30,812
동대문구,2017-07-31,597
동대문구,2017-08-01,945
동대문구,2017-08-02,867
동대문구,2017-08-03,916
동대문구,2017-08-04,825
동대문구,2017-08-05,654
동대문구,2017-08-06,619
동대문구,2017-08-07,857
동대문구,2017-08-08,983
동대문구,2017-08-09,876
동대문구,2017-08-10,287
동대문구,2017-08-11,745
동대문구,2017-08-12,811
동대문구,2017-08-13,796
동대문구,2017-08-14,631
동대문구,2017-08-15,179
동대문구,2017-08-16,794
동대문구,2017-08-17,785
동대문구,2017-08-18,877
동대문구,2017-08-19,743
동대문구,2017-08-20,79
동대문구,2017-08-21,843
동대문구,2017-08-22,1029
동대문구,2017-08-23,478
동대문구,2017-08-24,598
동대문구,2017-08-25,1018
동대문구,2017-08-26,945
동대문구,2017-08-27,897
동대문구,2017-08-28,641
동대문구,2017-08-29,1144
동대문구,2017-08-30,1143
동대문구,2017-08-31,1114
동대문구,2017-09-01,1164
동대문구,2017-09-02,1101
동대문구,2017-09-03,1194
동대문구,2017-09-04,1301
동대문구,2017-09-05,1290
동대문구,2017-09-06,681
동대문구,2017-09-07,1220
동대문구,2017-09-08,1199
동대문구,2017-09-09,1086
