area,rentdate,rentcnt
은평구,2016-09-06,4
은평구,2016-09-25,0
은평구,2016-09-28,59
은평구,2016-09-29,158
은평구,2016-09-30,144
은평구,2016-10-01,288
은평구,2016-10-02,48
은평구,2016-10-03,344
은평구,2016-10-04,255
은평구,2016-10-05,238
은평구,2016-10-06,292
은평구,2016-10-07,148
은평구,2016-10-08,285
은평구,2016-10-09,301
은평구,2016-10-10,218
은평구,2016-10-11,245
은평구,2016-10-12,302
은평구,2016-10-13,340
은평구,2016-10-14,373
은평구,2016-10-15,492
은평구,2016-10-16,246
은평구,2016-10-17,396
은평구,2016-10-18,436
은평구,2016-10-19,411
은평구,2016-10-20,429
은평구,2016-10-21,470
은평구,2016-10-22,555
은평구,2016-10-23,216
은평구,2016-10-24,423
은평구,2016-10-25,247
은평구,2016-10-26,375
은평구,2016-10-27,426
은평구,2016-10-28,375
은평구,2016-10-29,282
은평구,2016-10-30,307
은평구,2016-10-31,187
은평구,2016-11-01,212
은평구,2016-11-02,209
은평구,2016-11-03,285
은평구,2016-11-04,313
은평구,2016-11-05,322
은평구,2016-11-06,413
은평구,2016-11-07,204
은평구,2016-11-08,217
은평구,2016-11-09,238
은평구,2016-11-10,217
은평구,2016-11-11,267
은평구,2016-11-12,346
은평구,2016-11-13,379
은평구,2016-11-14,183
은평구,2016-11-15,256
은평구,2016-11-16,277
은평구,2016-11-17,269
은평구,2016-11-18,276
은평구,2016-11-19,310
은평구,2016-11-20,374
은평구,2016-11-21,295
은평구,2016-11-22,214
은평구,2016-11-23,180
은평구,2016-11-24,168
은평구,2016-11-25,205
은평구,2016-11-26,97
은평구,2016-11-27,147
은평구,2016-11-28,177
은평구,2016-11-29,203
은평구,2016-11-30,182
은평구,2016-12-01,192
은평구,2016-12-02,215
은평구,2016-12-03,226
은평구,2016-12-04,214
은평구,2016-12-05,200
은평구,2016-12-06,155
은평구,2016-12-07,166
은평구,2016-12-08,129
은평구,2016-12-09,157
은평구,2016-12-10,158
은평구,2016-12-11,126
은평구,2016-12-12,151
은평구,2016-12-13,173
은평구,2016-12-14,132
은평구,2016-12-15,129
은평구,2016-12-16,135
은평구,2016-12-17,182
은평구,2016-12-18,170
은평구,2016-12-19,188
은평구,2016-12-20,214
은평구,2016-12-21,92
은평구,2016-12-22,39
은평구,2016-12-23,123
은평구,2016-12-24,131
은평구,2016-12-25,120
은평구,2016-12-26,129
은평구,2016-12-27,133
은평구,2016-12-28,127
은평구,2016-12-29,112
은평구,2016-12-30,112
은평구,2016-12-31,168
은평구,2017-01-01,158
은평구,2017-01-02,156
은평구,2017-01-03,147
은평구,2017-01-04,210
은평구,2017-01-05,181
은평구,2017-01-06,241
은평구,2017-01-07,203
은평구,2017-01-08,191
은평구,2017-01-09,178
은평구,2017-01-10,134
은평구,2017-01-11,161
은평구,2017-01-12,141
은평구,2017-01-13,110
은평구,2017-01-14,90
은평구,2017-01-15,81
은평구,2017-01-16,157
은평구,2017-01-17,179
은평구,2017-01-18,184
은평구,2017-01-19,159
은평구,2017-01-20,61
은평구,2017-01-21,48
은평구,2017-01-22,41
은평구,2017-01-23,75
은평구,2017-01-24,82
은평구,2017-01-25,120
은평구,2017-01-26,106
은평구,2017-01-27,78
은평구,2017-01-28,94
은평구,2017-01-29,35
은평구,2017-01-30,67
은평구,2017-01-31,86
은평구,2017-02-01,103
은평구,2017-02-02,134
은평구,2017-02-03,159
은평구,2017-02-04,164
은평구,2017-02-05,70
은평구,2017-02-06,143
은평구,2017-02-07,41
은평구,2017-02-08,118
은평구,2017-02-09,121
은평구,2017-02-10,93
은평구,2017-02-11,113
은평구,2017-02-12,115
은평구,2017-02-13,150
은평구,2017-02-14,144
은평구,2017-02-15,171
은평구,2017-02-16,170
은평구,2017-02-17,125
은평구,2017-02-18,118
은평구,2017-02-19,74
은평구,2017-02-20,121
은평구,2017-02-21,162
은평구,2017-02-22,76
은평구,2017-02-23,142
은평구,2017-02-24,152
은평구,2017-02-25,200
은평구,2017-02-26,157
은평구,2017-02-27,197
은평구,2017-02-28,204
은평구,2017-03-01,172
은평구,2017-03-02,127
은평구,2017-03-03,199
은평구,2017-03-04,304
은평구,2017-03-05,226
은평구,2017-03-06,167
은평구,2017-03-07,154
은평구,2017-03-08,175
은평구,2017-03-09,204
은평구,2017-03-10,232
은평구,2017-03-11,320
은평구,2017-03-12,223
은평구,2017-03-13,294
은평구,2017-03-14,252
은평구,2017-03-15,284
은평구,2017-03-16,285
은평구,2017-03-17,233
은평구,2017-03-18,360
은평구,2017-03-19,345
은평구,2017-03-20,286
은평구,2017-03-21,333
은평구,2017-03-22,315
은평구,2017-03-23,353
은평구,2017-03-24,333
은평구,2017-03-25,309
은평구,2017-03-26,333
은평구,2017-03-27,257
은평구,2017-03-28,335
은평구,2017-03-29,365
은평구,2017-03-30,381
은평구,2017-03-31,201
은평구,2017-04-01,404
은평구,2017-04-02,458
은평구,2017-04-03,413
은평구,2017-04-04,472
은평구,2017-04-05,72
은평구,2017-04-06,296
은평구,2017-04-07,516
은평구,2017-04-08,605
은평구,2017-04-09,671
은평구,2017-04-10,617
은평구,2017-04-11,573
은평구,2017-04-12,487
은평구,2017-04-13,503
은평구,2017-04-14,356
은평구,2017-04-15,667
은평구,2017-04-16,695
은평구,2017-04-17,347
은평구,2017-04-18,417
은평구,2017-04-19,567
은평구,2017-04-20,473
은평구,2017-04-21,513
은평구,2017-04-22,649
은평구,2017-04-23,666
은평구,2017-04-24,595
은평구,2017-04-25,530
은평구,2017-04-26,605
은평구,2017-04-27,591
은평구,2017-04-28,622
은평구,2017-04-29,727
은평구,2017-04-30,709
은평구,2017-05-01,680
은평구,2017-05-02,645
은평구,2017-05-03,824
은평구,2017-05-04,816
은평구,2017-05-05,763
은평구,2017-05-06,420
은평구,2017-05-07,590
은평구,2017-05-08,530
은평구,2017-05-09,377
은평구,2017-05-10,576
은평구,2017-05-11,621
은평구,2017-05-12,620
은평구,2017-05-13,498
은평구,2017-05-14,711
은평구,2017-05-15,597
은평구,2017-05-16,733
은평구,2017-05-17,644
은평구,2017-05-18,735
은평구,2017-05-19,719
은평구,2017-05-20,803
은평구,2017-05-21,859
은평구,2017-05-22,824
은평구,2017-05-23,463
은평구,2017-05-24,669
은평구,2017-05-25,789
은평구,2017-05-26,767
은평구,2017-05-27,854
은평구,2017-05-28,793
은평구,2017-05-29,713
은평구,2017-05-30,773
은평구,2017-05-31,805
은평구,2017-06-01,806
은평구,2017-06-02,526
은평구,2017-06-03,919
은평구,2017-06-04,818
은평구,2017-06-05,832
은평구,2017-06-06,406
은평구,2017-06-07,366
은평구,2017-06-08,791
은평구,2017-06-09,757
은평구,2017-06-10,957
은평구,2017-06-11,881
은평구,2017-06-12,849
은평구,2017-06-13,806
은평구,2017-06-14,810
은평구,2017-06-15,874
은평구,2017-06-16,818
은평구,2017-06-17,937
은평구,2017-06-18,836
은평구,2017-06-19,786
은평구,2017-06-20,827
은평구,2017-06-21,809
은평구,2017-06-22,864
은평구,2017-06-23,806
은평구,2017-06-24,507
은평구,2017-06-25,568
은평구,2017-06-26,461
은평구,2017-06-27,826
은평구,2017-06-28,889
은평구,2017-06-29,843
은평구,2017-06-30,832
은평구,2017-07-01,628
은평구,2017-07-02,201
은평구,2017-07-03,352
은평구,2017-07-04,730
은평구,2017-07-05,233
은평구,2017-07-07,93
은평구,2017-07-08,404
은평구,2017-07-09,297
은평구,2017-07-10,59
은평구,2017-07-11,643
은평구,2017-07-12,739
은평구,2017-07-13,697
은평구,2017-07-14,625
은평구,2017-07-15,241
은평구,2017-07-16,557
은평구,2017-07-17,585
은평구,2017-07-18,621
은평구,2017-07-19,731
은평구,2017-07-20,675
은평구,2017-07-21,656
은평구,2017-07-22,494
은평구,2017-07-23,375
은평구,2017-07-24,530
은평구,2017-07-25,708
은평구,2017-07-26,675
은평구,2017-07-27,537
은평구,2017-07-28,375
은평구,2017-07-29,684
은평구,2017-07-30,630
은평구,2017-07-31,461
은평구,2017-08-01,646
은평구,2017-08-02,645
은평구,2017-08-03,640
은평구,2017-08-04,630
은평구,2017-08-05,517
은평구,2017-08-06,511
은평구,2017-08-07,656
은평구,2017-08-08,708
은평구,2017-08-09,692
은평구,2017-08-10,335
은평구,2017-08-11,572
은평구,2017-08-12,724
은평구,2017-08-13,678
은평구,2017-08-14,455
은평구,2017-08-15,117
은평구,2017-08-16,663
은평구,2017-08-17,677
은평구,2017-08-18,766
은평구,2017-08-19,727
은평구,2017-08-20,71
은평구,2017-08-21,684
은평구,2017-08-22,783
은평구,2017-08-23,427
은평구,2017-08-24,470
은평구,2017-08-25,722
은평구,2017-08-26,828
은평구,2017-08-27,742
은평구,2017-08-28,444
은평구,2017-08-29,889
은평구,2017-08-30,920
은평구,2017-08-31,916
은평구,2017-09-01,974
은평구,2017-09-02,993
은평구,2017-09-03,952
은평구,2017-09-04,913
은평구,2017-09-05,886
은평구,2017-09-06,531
은평구,2017-09-07,922
은평구,2017-09-08,928
은평구,2017-09-09,947
은평구,2017-09-10,691
은평구,2017-09-11,644
은평구,2017-09-12,906
은평구,2017-09-13,954
은평구,2017-09-14,953
은평구,2017-09-15,979
은평구,2017-09-16,1058
은평구,2017-09-17,1063
은평구,2017-09-18,967
은평구,2017-09-19,684
은평구,2017-09-20,957
은평구,2017-09-21,954
은평구,2017-09-22,986
은평구,2017-09-23,1059
은평구,2017-09-24,917
은평구,2017-09-25,954
은평구,2017-09-26,856
은평구,2017-09-27,789
은평구,2017-09-28,937
은평구,2017-09-29,953
은평구,2017-09-30,1087
은평구,2017-10-01,512
은평구,2017-10-02,913
은평구,2017-10-03,813
은평구,2017-10-04,712
은평구,2017-10-05,940
은평구,2017-10-06,796
은평구,2017-10-07,1126
은평구,2017-10-08,1105
은평구,2017-10-09,1188
은평구,2017-10-10,752
은평구,2017-10-11,619
은평구,2017-10-12,790
은평구,2017-10-13,797
은평구,2017-10-14,1002
은평구,2017-10-15,909
은평구,2017-10-16,925
은평구,2017-10-17,846
은평구,2017-10-18,709
은평구,2017-10-19,994
은평구,2017-10-20,881
은평구,2017-10-21,1061
은평구,2017-10-22,939
은평구,2017-10-23,819
은평구,2017-10-24,847
