area,rentdate,rentcnt
堡柳备,2016-01-01,33
堡柳备,2016-01-02,22
堡柳备,2016-01-03,35
堡柳备,2016-01-04,29
堡柳备,2016-01-05,23
堡柳备,2016-01-06,22
堡柳备,2016-01-07,28
堡柳备,2016-01-08,18
堡柳备,2016-01-09,18
堡柳备,2016-01-10,21
堡柳备,2016-01-11,15
堡柳备,2016-01-12,24
堡柳备,2016-01-13,19
堡柳备,2016-01-14,16
堡柳备,2016-01-15,12
堡柳备,2016-01-16,27
堡柳备,2016-01-17,36
堡柳备,2016-01-18,11
堡柳备,2016-01-19,6
堡柳备,2016-01-20,7
堡柳备,2016-01-21,21
堡柳备,2016-01-22,10
堡柳备,2016-01-23,7
堡柳备,2016-01-24,1
堡柳备,2016-01-25,16
堡柳备,2016-01-26,15
堡柳备,2016-01-27,24
堡柳备,2016-01-28,17
堡柳备,2016-01-29,11
堡柳备,2016-01-30,27
堡柳备,2016-01-31,23
堡柳备,2016-02-01,13
堡柳备,2016-02-02,20
堡柳备,2016-02-03,16
堡柳备,2016-02-04,16
堡柳备,2016-02-05,21
堡柳备,2016-02-06,12
堡柳备,2016-02-07,14
堡柳备,2016-02-08,5
堡柳备,2016-02-09,17
堡柳备,2016-02-10,70
堡柳备,2016-02-11,57
堡柳备,2016-02-12,6
堡柳备,2016-02-13,7
堡柳备,2016-02-14,11
堡柳备,2016-02-15,13
堡柳备,2016-02-16,14
堡柳备,2016-02-17,21
堡柳备,2016-02-18,24
堡柳备,2016-02-19,26
堡柳备,2016-02-20,42
堡柳备,2016-02-21,14
堡柳备,2016-02-22,26
堡柳备,2016-02-23,26
堡柳备,2016-02-24,31
堡柳备,2016-02-25,37
堡柳备,2016-02-26,42
堡柳备,2016-02-27,56
堡柳备,2016-02-28,10
堡柳备,2016-02-29,11
堡柳备,2016-03-01,36
堡柳备,2016-03-02,32
堡柳备,2016-03-03,81
堡柳备,2016-03-04,172
堡柳备,2016-03-05,10
堡柳备,2016-03-06,218
堡柳备,2016-03-07,38
堡柳备,2016-03-08,33
堡柳备,2016-03-09,21
堡柳备,2016-03-10,20
堡柳备,2016-03-11,28
堡柳备,2016-03-12,50
堡柳备,2016-03-13,35
堡柳备,2016-03-14,34
堡柳备,2016-03-15,38
堡柳备,2016-03-16,58
堡柳备,2016-03-17,58
堡柳备,2016-03-18,153
堡柳备,2016-03-19,266
堡柳备,2016-03-20,279
堡柳备,2016-03-21,103
堡柳备,2016-03-22,93
堡柳备,2016-03-23,83
堡柳备,2016-03-24,108
堡柳备,2016-03-25,118
堡柳备,2016-03-26,196
堡柳备,2016-03-27,201
堡柳备,2016-03-28,145
堡柳备,2016-03-29,59
堡柳备,2016-03-30,99
堡柳备,2016-03-31,120
堡柳备,2016-04-01,214
堡柳备,2016-04-02,356
堡柳备,2016-04-03,38
堡柳备,2016-04-04,158
堡柳备,2016-04-05,164
堡柳备,2016-04-06,135
堡柳备,2016-04-07,143
堡柳备,2016-04-08,173
堡柳备,2016-04-09,158
堡柳备,2016-04-10,187
堡柳备,2016-04-11,157
堡柳备,2016-04-12,131
堡柳备,2016-04-13,261
堡柳备,2016-04-14,93
堡柳备,2016-04-15,176
堡柳备,2016-04-16,83
堡柳备,2016-04-17,165
堡柳备,2016-04-18,82
堡柳备,2016-04-19,133
堡柳备,2016-04-20,65
堡柳备,2016-04-21,111
堡柳备,2016-04-22,134
堡柳备,2016-04-23,150
堡柳备,2016-04-24,260
堡柳备,2016-04-25,144
堡柳备,2016-04-26,141
堡柳备,2016-04-27,138
堡柳备,2016-04-28,214
堡柳备,2016-04-29,204
堡柳备,2016-04-30,181
堡柳备,2016-05-01,434
堡柳备,2016-05-02,92
堡柳备,2016-05-03,2
堡柳备,2016-05-04,116
堡柳备,2016-05-05,326
堡柳备,2016-05-06,51
堡柳备,2016-05-07,297
堡柳备,2016-05-08,339
堡柳备,2016-05-09,130
堡柳备,2016-05-10,79
堡柳备,2016-05-11,134
堡柳备,2016-05-12,141
堡柳备,2016-05-13,225
堡柳备,2016-05-14,352
堡柳备,2016-05-15,71
堡柳备,2016-05-16,160
堡柳备,2016-05-17,158
堡柳备,2016-05-18,189
堡柳备,2016-05-19,167
堡柳备,2016-05-20,154
堡柳备,2016-05-21,247
堡柳备,2016-05-22,257
