area,rentdate,rentcnt
종로구,2016-01-01,93
종로구,2016-01-02,125
종로구,2016-01-03,129
종로구,2016-01-04,174
종로구,2016-01-05,189
종로구,2016-01-06,181
종로구,2016-01-07,190
종로구,2016-01-08,168
종로구,2016-01-09,114
종로구,2016-01-10,95
종로구,2016-01-11,183
종로구,2016-01-12,162
종로구,2016-01-13,144
종로구,2016-01-14,143
종로구,2016-01-15,174
종로구,2016-01-16,101
종로구,2016-01-17,97
종로구,2016-01-18,101
종로구,2016-01-19,85
종로구,2016-01-20,93
종로구,2016-01-21,111
종로구,2016-01-22,118
종로구,2016-01-23,49
종로구,2016-01-24,33
종로구,2016-01-25,95
종로구,2016-01-26,127
종로구,2016-01-27,153
종로구,2016-01-28,163
종로구,2016-01-29,160
종로구,2016-01-30,126
종로구,2016-01-31,78
종로구,2016-02-01,155
종로구,2016-02-02,150
종로구,2016-02-03,168
종로구,2016-02-04,186
종로구,2016-02-05,151
종로구,2016-02-06,85
종로구,2016-02-07,42
종로구,2016-02-08,59
종로구,2016-02-09,85
종로구,2016-02-10,143
종로구,2016-02-11,256
종로구,2016-02-12,49
종로구,2016-02-13,62
종로구,2016-02-14,61
종로구,2016-02-15,132
종로구,2016-02-16,133
종로구,2016-02-17,206
종로구,2016-02-18,208
종로구,2016-02-19,222
종로구,2016-02-20,144
종로구,2016-02-21,112
종로구,2016-02-22,222
종로구,2016-02-23,208
종로구,2016-02-24,187
종로구,2016-02-25,221
종로구,2016-02-26,238
종로구,2016-02-27,191
종로구,2016-02-28,53
종로구,2016-02-29,114
종로구,2016-03-01,110
종로구,2016-03-02,233
종로구,2016-03-03,279
종로구,2016-03-04,375
종로구,2016-03-05,59
종로구,2016-03-06,227
종로구,2016-03-07,272
종로구,2016-03-08,218
종로구,2016-03-09,206
종로구,2016-03-10,222
종로구,2016-03-11,253
종로구,2016-03-12,165
종로구,2016-03-13,128
종로구,2016-03-14,301
종로구,2016-03-15,330
종로구,2016-03-16,327
종로구,2016-03-17,366
종로구,2016-03-18,402
종로구,2016-03-19,388
종로구,2016-03-20,399
종로구,2016-03-21,390
종로구,2016-03-22,382
종로구,2016-03-23,412
종로구,2016-03-24,424
종로구,2016-03-25,410
종로구,2016-03-26,289
종로구,2016-03-27,278
종로구,2016-03-28,431
종로구,2016-03-29,359
종로구,2016-03-30,453
종로구,2016-03-31,483
종로구,2016-04-01,524
종로구,2016-04-02,424
종로구,2016-04-03,110
종로구,2016-04-04,556
종로구,2016-04-05,545
종로구,2016-04-06,541
종로구,2016-04-07,512
종로구,2016-04-08,518
종로구,2016-04-09,390
종로구,2016-04-10,408
종로구,2016-04-11,586
