area,rentdate,rentcnt
마포구,2016-01-01,197
마포구,2016-01-02,286
마포구,2016-01-03,223
마포구,2016-01-04,305
마포구,2016-01-05,266
마포구,2016-01-06,307
마포구,2016-01-07,275
마포구,2016-01-08,241
마포구,2016-01-09,153
마포구,2016-01-10,213
마포구,2016-01-11,251
마포구,2016-01-12,241
마포구,2016-01-13,221
마포구,2016-01-14,194
마포구,2016-01-15,280
마포구,2016-01-16,193
마포구,2016-01-17,208
마포구,2016-01-18,197
마포구,2016-01-19,129
마포구,2016-01-20,158
마포구,2016-01-21,192
마포구,2016-01-22,186
마포구,2016-01-23,97
마포구,2016-01-24,50
마포구,2016-01-25,162
마포구,2016-01-26,147
마포구,2016-01-27,234
마포구,2016-01-28,282
마포구,2016-01-29,263
마포구,2016-01-30,223
마포구,2016-01-31,112
마포구,2016-02-01,203
마포구,2016-02-02,205
마포구,2016-02-03,251
마포구,2016-02-04,251
마포구,2016-02-05,246
마포구,2016-02-06,131
마포구,2016-02-07,85
마포구,2016-02-08,70
마포구,2016-02-09,144
마포구,2016-02-10,258
마포구,2016-02-11,301
마포구,2016-02-12,91
마포구,2016-02-13,129
마포구,2016-02-14,102
마포구,2016-02-15,170
마포구,2016-02-16,168
마포구,2016-02-17,248
마포구,2016-02-18,295
마포구,2016-02-19,285
마포구,2016-02-20,229
마포구,2016-02-21,201
마포구,2016-02-22,268
마포구,2016-02-23,237
마포구,2016-02-24,218
마포구,2016-02-25,271
마포구,2016-02-26,309
마포구,2016-02-27,287
마포구,2016-02-28,127
마포구,2016-02-29,178
마포구,2016-03-01,198
마포구,2016-03-02,315
마포구,2016-03-03,440
마포구,2016-03-04,563
마포구,2016-03-05,93
마포구,2016-03-06,539
마포구,2016-03-07,439
마포구,2016-03-08,372
마포구,2016-03-09,343
마포구,2016-03-10,309
마포구,2016-03-11,296
마포구,2016-03-12,278
마포구,2016-03-13,330
마포구,2016-03-14,412
마포구,2016-03-15,513
마포구,2016-03-16,579
마포구,2016-03-17,568
마포구,2016-03-18,713
마포구,2016-03-19,887
마포구,2016-03-20,940
마포구,2016-03-21,708
마포구,2016-03-22,717
마포구,2016-03-23,613
마포구,2016-03-24,669
마포구,2016-03-25,618
마포구,2016-03-26,654
마포구,2016-03-27,743
마포구,2016-03-28,720
마포구,2016-03-29,565
마포구,2016-03-30,711
마포구,2016-03-31,797
마포구,2016-04-01,1004
마포구,2016-04-02,1161
마포구,2016-04-03,268
마포구,2016-04-04,997
마포구,2016-04-05,904
마포구,2016-04-06,934
마포구,2016-04-07,863
마포구,2016-04-08,981
마포구,2016-04-09,749
마포구,2016-04-10,851
마포구,2016-04-11,1031
마포구,2016-04-12,1026
마포구,2016-04-13,1220
마포구,2016-04-14,917
마포구,2016-04-15,1072
마포구,2016-04-16,317
마포구,2016-04-17,630
마포구,2016-04-18,597
마포구,2016-04-19,1025
마포구,2016-04-20,628
마포구,2016-04-21,537
마포구,2016-04-22,905
마포구,2016-04-23,712
마포구,2016-04-24,983
마포구,2016-04-25,999
마포구,2016-04-26,1099
마포구,2016-04-27,999
마포구,2016-04-28,1067
마포구,2016-04-29,1177
마포구,2016-04-30,941
마포구,2016-05-01,1300
마포구,2016-05-02,564
마포구,2016-05-03,132
마포구,2016-05-04,936
마포구,2016-05-05,1289
마포구,2016-05-06,326
마포구,2016-05-07,1104
마포구,2016-05-08,1078
마포구,2016-05-09,1154
마포구,2016-05-10,438
마포구,2016-05-11,1135
마포구,2016-05-12,1186
마포구,2016-05-13,1273
마포구,2016-05-14,1481
마포구,2016-05-15,427
마포구,2016-05-16,1107
마포구,2016-05-17,1344
마포구,2016-05-18,1237
마포구,2016-05-19,1170
마포구,2016-05-20,1184
마포구,2016-05-21,1259
마포구,2016-05-22,1312
