area,rentdate,rentcnt
영등포구,2016-01-01,80
영등포구,2016-01-02,173
영등포구,2016-01-03,151
영등포구,2016-01-04,170
영등포구,2016-01-05,159
영등포구,2016-01-06,128
영등포구,2016-01-07,127
영등포구,2016-01-08,149
영등포구,2016-01-09,81
영등포구,2016-01-10,108
영등포구,2016-01-11,141
영등포구,2016-01-12,112
영등포구,2016-01-13,111
영등포구,2016-01-14,107
영등포구,2016-01-15,143
영등포구,2016-01-16,97
영등포구,2016-01-17,124
영등포구,2016-01-18,90
영등포구,2016-01-19,47
영등포구,2016-01-20,92
영등포구,2016-01-21,108
영등포구,2016-01-22,116
영등포구,2016-01-23,39
영등포구,2016-01-24,15
영등포구,2016-01-25,86
영등포구,2016-01-26,85
영등포구,2016-01-27,149
영등포구,2016-01-28,156
영등포구,2016-01-29,148
영등포구,2016-01-30,128
영등포구,2016-01-31,64
영등포구,2016-02-01,107
영등포구,2016-02-02,94
영등포구,2016-02-03,126
영등포구,2016-02-04,150
영등포구,2016-02-05,114
영등포구,2016-02-06,76
영등포구,2016-02-07,45
영등포구,2016-02-08,38
영등포구,2016-02-09,104
영등포구,2016-02-10,211
영등포구,2016-02-11,211
영등포구,2016-02-12,28
영등포구,2016-02-13,59
영등포구,2016-02-14,45
영등포구,2016-02-15,92
영등포구,2016-02-16,98
영등포구,2016-02-17,169
영등포구,2016-02-18,170
영등포구,2016-02-19,195
영등포구,2016-02-20,124
영등포구,2016-02-21,121
영등포구,2016-02-22,171
영등포구,2016-02-23,155
영등포구,2016-02-24,153
영등포구,2016-02-25,157
영등포구,2016-02-26,202
영등포구,2016-02-27,165
영등포구,2016-02-28,70
영등포구,2016-02-29,83
영등포구,2016-03-01,132
영등포구,2016-03-02,159
영등포구,2016-03-03,251
영등포구,2016-03-04,410
영등포구,2016-03-05,26
영등포구,2016-03-06,530
영등포구,2016-03-07,219
영등포구,2016-03-08,191
영등포구,2016-03-09,183
영등포구,2016-03-10,169
영등포구,2016-03-11,173
영등포구,2016-03-12,161
영등포구,2016-03-13,178
영등포구,2016-03-14,290
영등포구,2016-03-15,311
영등포구,2016-03-16,335
영등포구,2016-03-17,359
영등포구,2016-03-18,602
영등포구,2016-03-19,1057
영등포구,2016-03-20,1018
영등포구,2016-03-21,464
영등포구,2016-03-22,474
영등포구,2016-03-23,399
영등포구,2016-03-24,353
영등포구,2016-03-25,420
영등포구,2016-03-26,668
영등포구,2016-03-27,760
영등포구,2016-03-28,527
영등포구,2016-03-29,324
영등포구,2016-03-30,564
영등포구,2016-03-31,711
영등포구,2016-04-01,1008
영등포구,2016-04-02,1536
영등포구,2016-04-03,178
영등포구,2016-04-04,1032
영등포구,2016-04-05,933
영등포구,2016-04-06,987
영등포구,2016-04-07,625
영등포구,2016-04-08,831
영등포구,2016-04-09,827
영등포구,2016-04-10,788
영등포구,2016-04-11,804
영등포구,2016-04-12,601
영등포구,2016-04-13,1063
영등포구,2016-04-14,543
영등포구,2016-04-15,765
영등포구,2016-04-16,173
영등포구,2016-04-17,417
영등포구,2016-04-18,343
영등포구,2016-04-19,576
영등포구,2016-04-20,351
영등포구,2016-04-21,278
영등포구,2016-04-22,549
영등포구,2016-04-23,493
영등포구,2016-04-24,659
영등포구,2016-04-25,631
영등포구,2016-04-26,733
영등포구,2016-04-27,577
영등포구,2016-04-28,693
영등포구,2016-04-29,797
영등포구,2016-04-30,627
영등포구,2016-05-01,1003
영등포구,2016-05-02,365
영등포구,2016-05-03,44
영등포구,2016-05-04,524
