area,날짜,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
동대문구,2016-07-13,1,296752,95.8,1.9,5.3,7.1,27.1,0,69.2,30,18,0.014,0.021,0.3,0.005
동대문구,2016-07-14,5,296752,95.8,2,6,8.1,27.9,1,68.8,23,15,0.026,0.019,0.3,0.005
동대문구,2016-07-17,31,296752,95.8,1.4,4.4,7.6,22.4,2,86.1,14,10,0.02,0.013,0.3,0.005
동대문구,2016-07-18,77,296752,95.8,1.3,4.2,5.3,24.6,0,77,27,17,0.015,0.023,0.4,0.006
동대문구,2016-07-19,89,296752,95.8,1.8,4.7,6.1,27.2,0,70.4,35,22,0.028,0.028,0.4,0.005
동대문구,2016-07-20,88,296752,95.8,2.1,4.8,6.9,28.9,0,65.5,35,23,0.032,0.023,0.4,0.005
동대문구,2016-07-21,117,296752,95.8,2.1,4.5,6.4,28.4,0,66.1,31,20,0.031,0.022,0.4,0.005
동대문구,2016-07-22,155,296752,95.8,1.9,5.4,8.1,29.8,0,65.4,36,23,0.032,0.021,0.3,0.005
동대문구,2016-07-23,201,296752,95.8,1.5,4.4,6.1,29.4,0,72.2,40,28,0.023,0.022,0.3,0.005
동대문구,2016-07-24,189,296752,95.8,1.3,4,5.1,28.7,1,80.6,35,24,0.014,0.017,0.3,0.005
동대문구,2016-07-25,289,296752,95.8,1.3,4.4,5.7,29.1,0,77.4,42,30,0.015,0.024,0.3,0.006
동대문구,2016-07-26,298,296752,95.8,1.9,7.1,8.7,29,0,72.3,31,22,0.014,0.016,0.2,0.005
동대문구,2016-07-27,187,296752,95.8,1.3,4.9,8.7,28.4,1,77.8,33,22,0.015,0.017,0.3,0.005
동대문구,2016-07-28,336,296752,95.8,2.1,7.2,9.5,28.8,0,72.7,54,37,0.035,0.018,0.4,0.005
동대문구,2016-07-29,187,296752,95.8,1.5,4.7,6.2,26.7,40,85.9,44,25,0.016,0.032,0.6,0.004
동대문구,2016-07-30,269,296752,95.8,1.3,4.7,6.2,29.5,2,76.8,39,28,0.026,0.022,0.4,0.004
동대문구,2016-07-31,277,296752,95.8,1.9,6.6,9,29.7,0,73.8,35,25,0.016,0.016,0.3,0.005
동대문구,2016-08-01,358,296128,96.1,1.8,5.8,7.2,28.6,0,74.3,32,21,0.015,0.023,0.3,0.005
동대문구,2016-08-02,363,296128,96.1,1.5,6.4,8.8,28.1,0,74.3,26,16,0.01,0.026,0.4,0.005
동대문구,2016-08-03,377,296128,96.1,1.6,3.8,4.8,29.6,0,67.9,29,18,0.025,0.024,0.3,0.005
동대문구,2016-08-04,337,296128,96.1,1.9,4.8,6.2,31.3,0,64.1,31,19,0.023,0.024,0.4,0.005
동대문구,2016-08-05,309,296128,96.1,1.8,4.5,6.1,31.9,0,60.3,39,27,0.032,0.026,0.5,0.005
동대문구,2016-08-06,304,296128,96.1,1.7,4.3,6.1,31.4,0,66.5,59,41,0.042,0.026,0.6,0.005
동대문구,2016-08-07,306,296128,96.1,1.9,5.6,7.1,31.7,0,60.2,36,26,0.036,0.017,0.5,0.005
동대문구,2016-08-08,331,296128,96.1,1.8,4.8,6.5,31.1,0,66.1,38,26,0.026,0.018,0.5,0.005
동대문구,2016-08-09,339,296128,96.1,1.9,5.7,7.9,30.1,0,68.5,32,22,0.03,0.024,0.5,0.005
동대문구,2016-08-10,392,296128,96.1,1.8,5.8,8,30.6,0,68.6,78,36,0.032,0.024,0.6,0.005
동대문구,2016-08-11,365,296128,96.1,1.6,4.3,6,31.4,0,64.3,30,20,0.024,0.016,0.4,0.005
동대문구,2016-08-12,371,296128,96.1,1.8,5.3,7.1,31.3,0,68.6,42,29,0.023,0.019,0.4,0.005
동대문구,2016-08-13,328,296128,96.1,2.3,6.4,8,31,0,69.8,35,25,0.017,0.014,0.4,0.005
동대문구,2016-08-14,297,296128,96.1,1.5,4.3,6.4,29.5,3,78.6,34,28,0.017,0.01,0.4,0.004
동대문구,2016-08-15,382,296128,96.1,1.8,5.1,6.4,30.1,0,68.6,35,23,0.026,0.015,0.5,0.004
동대문구,2016-08-16,444,296128,96.1,1.6,5.3,7.1,30.5,0,65.4,48,31,0.03,0.023,0.6,0.005
동대문구,2016-08-17,441,296128,96.1,1.7,4.3,6,30.4,0,64.1,36,23,0.026,0.024,0.5,0.004
동대문구,2016-08-18,369,296128,96.1,1.5,4.4,6.3,29.4,9.5,70.6,54,36,0.029,0.042,0.6,0.005
