area,날짜,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
은평구,2016-09-06,4,408773,95.6,1.6,5.3,7.1,25.6,0,71.6,62,39,0.022,0.031,0.4,0.005
은평구,2016-09-25,0,408773,95.6,1.4,4.6,5.9,23.4,0,63.6,45,32,0.03,0.029,0.4,0.004
은평구,2016-09-28,59,408773,95.6,1.3,3.4,4.3,20.8,0.5,86.7,34,21,0.013,0.023,0.4,0.005
은평구,2016-09-29,158,408773,95.6,2.8,5.6,8.7,20.8,0,66.6,18,8,0.014,0.017,0.3,0.004
은평구,2016-09-30,144,408773,95.6,1.4,3.4,4.1,21.2,0,68.3,30,14,0.013,0.029,0.4,0.004
은평구,2016-10-01,288,408143,96,1.5,3.5,5.2,21.5,0,73.2,46,27,0.012,0.036,0.5,0.005
은평구,2016-10-02,48,408143,96,1.9,5.1,6.8,19.5,13,85.8,27,18,0.016,0.021,0.4,0.005
은평구,2016-10-03,344,408143,96,1.5,7.8,11,23.9,6.5,75.4,18,8,0.017,0.019,0.4,0.004
은평구,2016-10-04,255,408143,96,2.5,6.3,7.9,22.3,0,65,29,13,0.023,0.019,0.3,0.004
은평구,2016-10-05,238,408143,96,2.4,5.6,8.4,21.9,0,64.9,32,14,0.026,0.021,0.4,0.004
은평구,2016-10-06,292,408143,96,1.6,4.2,5.1,19.3,0,62.4,39,18,0.023,0.021,0.4,0.005
은평구,2016-10-07,148,408143,96,2.2,5.4,8.3,20.2,1,70.1,25,11,0.021,0.023,0.3,0.005
은평구,2016-10-08,285,408143,96,2.5,7.3,11.8,17.9,6,69.7,22,12,0.026,0.019,0.4,0.005
은평구,2016-10-09,301,408143,96,2.1,4.8,6.7,12.4,0,48.4,18,11,0.026,0.014,0.3,0.004
은평구,2016-10-10,218,408143,96,1.7,4.2,5.6,14.4,0,45.7,29,13,0.017,0.029,0.4,0.005
은평구,2016-10-11,245,408143,96,1.8,5.1,7.2,15.7,0,62.9,41,21,0.016,0.038,0.6,0.005
은평구,2016-10-12,302,408143,96,1.5,6.7,7.9,16.6,0,61.5,55,31,0.018,0.027,0.6,0.005
은평구,2016-10-13,340,408143,96,1.6,4.9,5.9,15.8,0,47.1,40,18,0.016,0.032,0.5,0.005
은평구,2016-10-14,373,408143,96,1.3,3.4,4.4,17,0,63.9,73,40,0.012,0.044,0.7,0.005
은평구,2016-10-15,492,408143,96,1.5,3.4,5.4,19.1,0,65.8,85,49,0.015,0.043,0.7,0.004
은평구,2016-10-16,246,408143,96,1.4,3.2,4,17.9,1,76,56,35,0.017,0.03,0.6,0.004
은평구,2016-10-17,396,408143,96,1.4,4.1,6.4,18.1,0,78.3,54,32,0.019,0.027,0.6,0.004
은평구,2016-10-18,436,408143,96,1.3,3.4,4.8,17.5,0,75.3,57,28,0.012,0.033,0.6,0.004
은평구,2016-10-19,411,408143,96,1.6,4.4,6,18.7,0,70.2,66,35,0.02,0.042,0.6,0.005
은평구,2016-10-20,429,408143,96,1.8,5.4,8.5,18.8,0,67.1,63,32,0.024,0.032,0.6,0.004
은평구,2016-10-21,470,408143,96,2.3,5.2,7,18.4,0,62.7,26,11,0.025,0.018,0.4,0.004
은평구,2016-10-22,555,408143,96,1.8,3.8,4.8,18.8,0,63.1,31,15,0.025,0.02,0.4,0.004
은평구,2016-10-23,216,408143,96,3.2,8.3,12.1,14.5,2,68.1,10,6,0.027,0.011,0.3,0.004
은평구,2016-10-24,423,408143,96,2,4.3,6.3,15,0,59.9,17,7,0.016,0.025,0.3,0.004
은평구,2016-10-25,247,408143,96,1.7,4.7,6.3,14.7,39,85.2,16,10,0.013,0.022,0.4,0.004
은평구,2016-10-26,375,408143,96,1.2,3,3.7,13.9,0,86,43,23,0.008,0.026,0.7,0.004
은평구,2016-10-27,426,408143,96,1.6,4.3,5.2,15.1,0,72,41,23,0.01,0.026,0.6,0.004
은평구,2016-10-28,375,408143,96,1.7,4.4,6.7,16,0,65.8,39,19,0.015,0.025,0.4,0.004
은평구,2016-10-29,282,408143,96,1.9,5.9,7.8,10,0,44.2,38,18,0.019,0.019,0.3,0.005
은평구,2016-10-30,307,408143,96,1.3,3.4,4.4,8.6,0,34.4,26,13,0.013,0.024,0.4,0.005
은평구,2016-10-31,187,408143,96,1.8,5.6,7.5,7.3,0,59.1,32,13,0.007,0.029,0.5,0.005
은평구,2016-11-01,212,407449,96.5,1.9,5,7.5,3.3,0,43,25,12,0.017,0.019,0.4,0.005
은평구,2016-11-02,209,407449,96.5,1.5,5.7,6.9,4.9,0,52.9,33,15,0.008,0.031,0.5,0.005
은평구,2016-11-03,285,407449,96.5,1.5,5.9,7.6,9.5,0.5,68.2,42,23,0.01,0.034,0.7,0.006
은평구,2016-11-04,313,407449,96.5,1.3,5,7,13.1,0,68.1,64,18,0.021,0.034,0.6,0.006
은평구,2016-11-05,322,407449,96.5,1.1,6,7.9,15.8,0,77.8,81,62,0.03,0.03,0.7,0.005
은평구,2016-11-06,413,407449,96.5,3,6.4,8.2,14.7,0,63.7,30,18,0.023,0.015,0.4,0.004
은평구,2016-11-07,204,407449,96.5,2.1,5.5,7.4,14,4.5,70.2,37,26,0.016,0.024,0.5,0.005
은평구,2016-11-08,217,407449,96.5,2.3,5.3,7.1,6.2,0,61.4,69,55,0.019,0.019,0.5,0.004
은평구,2016-11-09,238,407449,96.5,2,5.6,6.8,3.6,0,43,40,27,0.014,0.022,0.5,0.005
은평구,2016-11-10,217,407449,96.5,1.6,4.4,5.2,6.5,1,59.9,36,23,0.005,0.034,0.5,0.004
은평구,2016-11-11,267,407449,96.5,2,7.3,10.4,10.3,8,66.9,44,18,0.015,0.03,0.5,0.005
