area,朝楼,rentcnt,牢备,酒颇飘啊拜,乞闭浅加,弥措浅加,鉴埃弥绊浅加,扁柯乞闭,碍荐老碍荐,嚼档乞闭,固技刚瘤,檬固技刚瘤,坷粮,捞魂拳龙家,老魂拳藕家,酒炔魂啊胶
吝备,2016-01-01,39,103841.0,95.2,0.8,2.7,3.0,1.5,0.0,,61.0,35.0,0.005,0.065,0.8,0.006999999999999999
吝备,2016-01-02,50,103841.0,95.2,1.1,2.9,3.3,5.6,0.0,,47.0,25.0,0.006999999999999999,0.064,0.6,0.006999999999999999
吝备,2016-01-03,46,103841.0,95.2,1.3,5.0,5.7,6.4,0.0,,86.0,50.0,0.016,0.064,0.5,0.009000000000000001
吝备,2016-01-04,72,103841.0,95.2,3.2,6.1,7.5,1.2,0.0,,70.0,38.0,0.026000000000000002,0.032,0.4,0.006999999999999999
吝备,2016-01-05,58,103841.0,95.2,2.4,5.5,6.3,-3.6,0.0,,30.0,13.0,0.02,0.027999999999999997,0.2,0.006999999999999999
吝备,2016-01-06,60,103841.0,95.2,2.0,6.0,6.8,-1.7,0.0,,63.0,24.0,0.008,0.046,0.5,0.008
吝备,2016-01-07,54,103841.0,95.2,2.8,5.9,6.9,-3.8,0.0,,39.0,19.0,0.016,0.027000000000000003,0.3,0.006999999999999999
吝备,2016-01-08,63,103841.0,95.2,3.2,7.2,8.2,-2.3,0.0,,32.0,14.0,0.017,0.027000000000000003,0.3,0.006999999999999999
吝备,2016-01-09,38,103841.0,95.2,2.3,5.3,6.9,-2.7,0.0,,34.0,17.0,0.016,0.031,0.4,0.006999999999999999
吝备,2016-01-10,35,103841.0,95.2,2.9,6.9,8.0,-0.1,0.0,,30.0,16.0,0.023,0.024,0.4,0.006999999999999999
吝备,2016-01-11,66,103841.0,95.2,2.6,6.7,7.5,-3.9,0.0,,40.0,20.0,0.019,0.027000000000000003,0.4,0.006999999999999999
吝备,2016-01-12,61,103841.0,95.2,1.9,5.9,6.9,-5.4,0.0,,47.0,20.0,0.011000000000000001,0.038,0.5,0.006999999999999999
吝备,2016-01-13,47,103841.0,95.2,2.2,8.1,9.0,-4.9,0.5,,35.0,16.0,0.015,0.032,0.4,0.006999999999999999
吝备,2016-01-14,52,103841.0,95.2,1.5,6.8,7.6,-4.3,0.0,,42.0,18.0,0.013000000000000001,0.038,0.5,0.008
吝备,2016-01-15,68,103841.0,95.2,2.1,4.4,4.9,-0.8,0.0,,47.0,24.0,0.008,0.051,0.7,0.008
吝备,2016-01-16,42,103841.0,95.2,3.9,6.1,6.5,-0.9,0.0,,67.0,35.0,0.004,0.055,0.9,0.006999999999999999
吝备,2016-01-17,45,103841.0,95.2,3.5,7.0,7.4,1.1,0.0,,71.0,42.0,0.005,0.055,0.9,0.006999999999999999
吝备,2016-01-18,40,103841.0,95.2,4.9,11.4,13.8,-6.4,0.0,,57.0,27.0,0.021,0.024,0.6,0.006
吝备,2016-01-19,31,103841.0,95.2,5.7,11.4,14.6,-13.6,0.0,,41.0,12.0,0.024,0.016,0.3,0.006
吝备,2016-01-20,38,103841.0,95.2,2.0,5.7,7.0,-11.1,0.0,,35.0,18.0,0.018000000000000002,0.026000000000000002,0.4,0.006
吝备,2016-01-21,45,103841.0,95.2,1.7,5.4,6.0,-7.3,0.0,,45.0,23.0,0.013000000000000001,0.037000000000000005,0.6,0.006999999999999999
吝备,2016-01-22,53,103841.0,95.2,2.5,8.6,10.5,-8.1,0.0,,49.0,25.0,0.016,0.031,0.6,0.006999999999999999
吝备,2016-01-23,12,103841.0,95.2,4.5,9.8,12.8,-11.9,0.0,,32.0,11.0,0.026000000000000002,0.013999999999999999,0.4,0.006999999999999999
吝备,2016-01-24,9,103841.0,95.2,3.5,7.8,9.2,-15.4,0.0,,39.0,18.0,0.024,0.015,0.4,0.006999999999999999
吝备,2016-01-25,41,103841.0,95.2,2.1,5.4,6.1,-10.1,0.0,,50.0,16.0,0.016,0.03,0.5,0.006999999999999999
吝备,2016-01-26,45,103841.0,95.2,2.0,4.9,6.8,-4.8,0.0,,78.0,34.0,0.004,0.061,1.2,0.009000000000000001
吝备,2016-01-27,74,103841.0,95.2,2.1,5.6,6.1,-1.0,0.0,,59.0,27.0,0.012,0.046,0.9,0.009000000000000001
吝备,2016-01-28,74,103841.0,95.2,2.4,5.7,6.3,-0.8,0.0,,52.0,24.0,0.005,0.055999999999999994,1.1,0.006999999999999999
吝备,2016-01-29,62,103841.0,95.2,3.5,6.1,6.9,1.6,0.0,,44.0,22.0,0.01,0.044000000000000004,0.9,0.008
吝备,2016-01-30,43,103841.0,95.2,2.7,5.5,6.6,0.7,0.0,,41.0,22.0,0.01,0.046,1.1,0.006999999999999999
吝备,2016-01-31,23,103841.0,95.2,3.1,6.3,7.3,-4.4,0.0,,38.0,19.0,0.026000000000000002,0.019,0.6,0.006999999999999999
吝备,2016-02-01,47,103743.0,95.3,2.2,5.8,6.1,-4.2,0.0,33.4,37.0,17.0,0.023,0.023,0.7,0.006999999999999999
吝备,2016-02-02,61,103743.0,95.3,2.1,5.0,5.9,-1.3,0.0,37.3,42.0,14.0,0.016,0.038,0.7,0.008
吝备,2016-02-03,60,103743.0,95.3,1.6,5.8,7.0,-1.7,0.0,52.4,54.0,24.0,0.009000000000000001,0.063,1.1,0.009000000000000001
吝备,2016-02-04,69,103743.0,95.3,2.0,6.3,8.8,0.8,0.0,54.1,50.0,25.0,0.016,0.045,0.9,0.008
吝备,2016-02-05,48,103743.0,95.3,1.9,6.4,8.6,-0.7,0.0,40.6,39.0,16.0,0.02,0.036000000000000004,0.7,0.008
吝备,2016-02-06,25,103743.0,95.3,2.0,6.5,8.4,-0.9,0.0,39.9,49.0,22.0,0.026000000000000002,0.023,0.7,0.008
吝备,2016-02-07,28,103743.0,95.3,1.7,5.5,6.9,-1.5,0.0,46.5,46.0,20.0,0.013999999999999999,0.04,0.8,0.006999999999999999
吝备,2016-02-08,31,103743.0,95.3,2.3,8.8,11.5,2.0,0.0,62.2,76.0,37.0,0.021,0.042,0.9,0.009000000000000001
吝备,2016-02-09,38,103743.0,95.3,2.7,7.2,9.8,2.2,0.0,51.9,52.0,24.0,0.027000000000000003,0.022000000000000002,0.7,0.008
吝备,2016-02-10,58,103743.0,95.3,1.4,3.2,4.2,3.3,0.0,45.1,40.0,19.0,0.006999999999999999,0.055999999999999994,1.0,0.006999999999999999
吝备,2016-02-11,89,103743.0,95.3,1.9,3.9,5.8,8.0,0.0,36.8,46.0,23.0,0.004,0.065,1.1,0.008
吝备,2016-02-12,5,103743.0,95.3,1.6,3.8,5.5,9.1,17.0,93.2,34.0,17.0,0.005,0.055999999999999994,1.1,0.006
吝备,2016-02-13,25,103743.0,95.3,1.8,8.8,11.4,12.1,20.5,95.8,14.0,9.0,0.003,0.042,1.0,0.006
吝备,2016-02-14,9,103743.0,95.3,4.2,8.5,11.9,-0.4,0.5,76.8,28.0,14.0,0.023,0.015,0.7,0.005
