날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
2016-01-01,종로구,93,128540,94.5,0.3,3,4.5,2.8,0,66.9,68,51,0.005,0.047,0.7,0.006
2016-01-01,광진구,33,308607,94,0.8,2.7,3.9,2.1,0,74.6,85,64,0.004,0.046,0.9,0.006
2016-01-01,마포구,197,323075,93.4,1.5,3.6,4.8,2.6,0,74,59,49,0.008,0.042,1,0.006
2016-01-01,성동구,40,248415,94.6,0.8,4,5.5,2.9,0,75.9,77,39,0.004,0.047,1,0.005
2016-01-01,중구,39,103841,95.2,0.8,2.7,3,1.5,0,67,61,35,0.005,0.065,0.8,0.007
2016-01-01,서대문구,41,259015,94.2,1.2,3.3,4.4,2.1,0,68.3,69,39,0.007,0.06,0.9,0.005
2016-01-01,영등포구,80,316451,92.7,1,3.6,4,3.3,0,61.98888889,80,40,0.006,0.035,1.1,0.006
2016-01-02,광진구,22,308607,94,1.1,3,4.3,7,0,74.3,58,41,0.007,0.043,0.6,0.005
2016-01-02,종로구,125,128540,94.5,0.2,3.6,5.2,7.3,0,69.5,53,37,0.007,0.044,0.5,0.006
2016-01-02,서대문구,69,259015,94.2,1.3,3.4,4.2,6.5,0,48.03333333,55,26,0.013,0.05,0.7,0.005
2016-01-02,영등포구,173,316451,92.7,1.2,3.8,4.4,7.2,0,48.63333333,62,28,0.009,0.032,0.9,0.006
2016-01-02,중구,50,103841,95.2,1.1,2.9,3.3,5.6,0,56.33333333,47,25,0.007,0.064,0.6,0.007
2016-01-02,마포구,286,323075,93.4,1.8,4.6,6.2,6.6,0,78.2,45,35,0.011,0.037,0.7,0.006
2016-01-02,성동구,25,248415,94.6,1.2,6.1,7.2,6.9,0,78,44,27,0.005,0.046,0.7,0.005
2016-01-03,서대문구,67,259015,94.2,0.7,2.5,3.5,7.1,0,58.6,109,53,0.017,0.059,0.8,0.006
2016-01-03,마포구,223,323075,93.4,1.5,5,6.5,7.3,0,84,88,68,0.017,0.04,0.8,0.007
2016-01-03,광진구,35,308607,94,0.6,3,4.2,7.7,0,80.5,111,80,0.009,0.051,1,0.005
2016-01-03,종로구,129,128540,94.5,0.3,3,4.2,8.1,0,75.3,98,68,0.015,0.044,0.6,0.007
2016-01-03,영등포구,151,316451,92.7,0.8,3.3,4.1,7.7,0,64.3,119,53,0.012,0.033,0.9,0.006
2016-01-03,중구,46,103841,95.2,1.3,5,5.7,6.4,0,64.73333333,86,50,0.016,0.064,0.5,0.009
2016-01-03,성동구,28,248415,94.6,0.9,4,5,7.6,0,84.5,70.33333333,50,0.008,0.053,1.1,0.005
2016-01-04,성동구,28,248415,94.6,2.8,7.8,8.6,3.8,0,54.2,33,48,0.023,0.026,0.6,0.005
2016-01-04,광진구,29,308607,94,2.2,5.1,7,4.2,0,53.6,85,61,0.026,0.024,0.8,0.005
2016-01-04,영등포구,170,316451,92.7,1.6,4.5,6,3.6,0,62.25555556,96,43,0.017,0.024,0.7,0.007
2016-01-04,서대문구,63,259015,94.2,2,5.1,6.5,2.4,0,61.36666667,89,43,0.027,0.029,0.6,0.006
2016-01-04,마포구,305,323075,93.4,4,7.9,10.1,2.4,0,57.4,74,57,0.024,0.026,0.7,0.006
2016-01-04,종로구,174,128540,94.5,1.4,5.2,7.1,3.7,0,52.8,84,58,0.02,0.022,0.4,0.006
2016-01-04,중구,72,103841,95.2,3.2,6.1,7.5,1.2,0,58.03333333,70,38,0.026,0.032,0.4,0.007
2016-01-05,영등포구,159,316451,92.7,1.1,3.6,4.4,-1.3,0,49.89827565,40,18,0.01,0.026,0.6,0.007
2016-01-05,광진구,23,308607,94,1.9,5.2,6.8,-0.4,0,37.2,29,19,0.018,0.021,0.3,0.006
2016-01-05,성동구,30,248415,94.6,1.8,5.7,6.7,-0.7,0,43.5,35,16,0.016,0.026,0.4,0.004
2016-01-05,서대문구,64,259015,94.2,1.3,3.7,5.2,-2.8,0,41.27244892,37,17,0.018,0.03,0.6,0.006
2016-01-05,마포구,266,323075,93.4,3.1,6.6,32.8,-2.4,0,45.9,26,19,0.018,0.021,0.4,0.005
2016-01-05,종로구,189,128540,94.5,0.9,4.1,5.9,-1.1,0,36.9,29,18,0.006,0.022,0.3,0.005
2016-01-05,중구,58,103841,95.2,2.4,5.5,6.3,-3.6,0,39.93333333,30,13,0.02,0.028,0.2,0.007
2016-01-06,영등포구,128,316451,92.7,1.2,3.6,4.2,0.6,0,67.82499913,63,28,0.006,0.033,0.7,0.007
2016-01-06,서대문구,64,259015,94.2,1.2,3.3,4.3,-0.8,0,59.02500004,57,27,0.008,0.052,0.8,0.006
2016-01-06,성동구,25,248415,94.6,1.4,6.3,7.8,0.5,0,57.2,61,28,0.007,0.041,0.7,0.005
2016-01-06,마포구,307,323075,93.4,2.4,5.9,19.8,-0.3,0,57.6,43,30,0.006,0.038,0.7,0.006
2016-01-06,광진구,22,308607,94,1.3,4.2,5.9,0,0,54.1,59,37,0.007,0.039,0.7,0.006
2016-01-06,종로구,181,128540,94.5,0.6,3.8,5.2,0.1,0,50.1,50,31,0.002,0.04,0.5,0.006
2016-01-06,중구,60,103841,95.2,2,6,6.8,-1.7,0,65.72499913,63,24,0.008,0.046,0.5,0.008
2016-01-07,중구,54,103841,95.2,2.8,5.9,6.9,-3.8,0,41.98693133,39,19,0.016,0.027,0.3,0.007
2016-01-07,마포구,275,323075,93.4,3.2,6.6,7.9,-2.6,0,55.6,31,21,0.016,0.024,0.5,0.006
2016-01-07,종로구,190,128540,94.5,1.3,4.6,6.9,-1.7,0,47,37,23,0.006,0.022,0.3,0.005
2016-01-07,광진구,28,308607,94,1.9,5.1,7.4,-1.1,0,49.1,37,23,0.017,0.023,0.3,0.005
2016-01-07,성동구,37,248415,94.6,2.2,7.1,9.6,-1.1,0,52.5,43,20,0.015,0.027,0.5,0.005
2016-01-07,서대문구,60,259015,94.2,1.5,4,5.1,-3,0,49.82640804,43,20,0.016,0.034,0.7,0.006
2016-01-07,영등포구,127,316451,92.7,1.3,3.5,4.7,-1.3,0,40.75004869,48,21,0.011,0.026,0.7,0.007
2016-01-08,영등포구,149,316451,92.7,1.5,4.3,5,0.3,0,45.23333333,38,18,0.009,0.028,0.7,0.007
2016-01-08,광진구,18,308607,94,1.6,4.9,7.7,-1.1,0,48.1,36,22,0.014,0.029,0.5,0.006
2016-01-08,성동구,23,248415,94.6,2.3,8.2,9.1,0.5,0,43.7,35,16,0.014,0.03,0.5,0.005
2016-01-08,종로구,168,128540,94.5,0.9,3.9,6,-1.5,0,45.5,34,22,0.006,0.026,0.3,0.005
2016-01-08,중구,63,103841,95.2,3.2,7.2,8.2,-2.3,0,45.26666667,32,14,0.017,0.027,0.3,0.007
2016-01-08,마포구,241,323075,93.4,3.6,7.6,10.5,-0.7,0,46.5,25,17,0.015,0.026,0.5,0.006
2016-01-08,서대문구,55,259015,94.2,1.7,4.1,5.6,-1.1,0,45.23333333,34,16,0.017,0.036,0.7,0.006
2016-01-09,서대문구,56,259015,94.2,1.2,4.3,5.3,-2,0,51.06247355,39,19,0.016,0.037,0.7,0.006
2016-01-09,광진구,18,308607,94,1.6,5.4,7.9,0.1,0,55.3,39,25,0.015,0.03,0.5,0.004
2016-01-09,영등포구,81,316451,92.7,1.2,4.1,5.2,-0.4,0,47.7207755,42,19,0.01,0.026,0.7,0.007
2016-01-09,마포구,153,323075,93.4,2.4,7.2,9.7,-1.5,0,63,28,20,0.015,0.027,0.5,0.006
2016-01-09,종로구,114,128540,94.5,1,3.9,6.1,-0.5,0,52.8,35,22,0.005,0.027,0.3,0.005
2016-01-09,중구,38,103841,95.2,2.3,5.3,6.9,-2.7,0,50.93333333,34,17,0.016,0.031,0.4,0.007
2016-01-09,성동구,17,248415,94.6,1.7,7.5,8.4,-0.1,0,59.7,39,17,0.013,0.033,0.5,0.005
2016-01-10,성동구,21,248415,94.6,2.1,6,8,2.5,0,46.1,33,17,0.022,0.022,0.5,0.005
