area,날짜,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
마포구,2016-01-01,197,323075.0,93.4,1.5,3.6,4.8,2.6,0.0,74.0,59,49,0.008,0.042,1.0,0.006
마포구,2016-01-02,286,323075.0,93.4,1.8,4.6,6.2,6.6,0.0,78.2,45,35,0.011000000000000001,0.037000000000000005,0.7,0.006
마포구,2016-01-03,223,323075.0,93.4,1.5,5.0,6.5,7.3,0.0,84.0,88,68,0.017,0.04,0.8,0.006999999999999999
마포구,2016-01-04,305,323075.0,93.4,4.0,7.9,10.1,2.4,0.0,57.4,74,57,0.024,0.026000000000000002,0.7,0.006
마포구,2016-01-05,266,323075.0,93.4,3.1,6.6,32.8,-2.4,0.0,45.9,26,19,0.018000000000000002,0.021,0.4,0.005
마포구,2016-01-06,307,323075.0,93.4,2.4,5.9,19.8,-0.3,0.0,57.6,43,30,0.006,0.038,0.7,0.006
마포구,2016-01-07,275,323075.0,93.4,3.2,6.6,7.9,-2.6,0.0,55.6,31,21,0.016,0.024,0.5,0.006
마포구,2016-01-08,241,323075.0,93.4,3.6,7.6,10.5,-0.7,0.0,46.5,25,17,0.015,0.026000000000000002,0.5,0.006
마포구,2016-01-09,153,323075.0,93.4,2.4,7.2,9.7,-1.5,0.0,63.0,28,20,0.015,0.027000000000000003,0.5,0.006
마포구,2016-01-10,213,323075.0,93.4,3.2,6.9,9.4,1.1,0.0,47.3,29,21,0.02,0.024,0.5,0.006
마포구,2016-01-11,251,323075.0,93.4,3.6,6.7,8.3,-3.0,0.0,42.0,32,22,0.017,0.025,0.5,0.006
마포구,2016-01-12,241,323075.0,93.4,2.8,7.1,9.8,-4.6,0.0,49.3,37,24,0.011000000000000001,0.031,0.6,0.006
마포구,2016-01-13,221,323075.0,93.4,2.3,7.2,9.7,-3.8,0.0,68.3,28,19,0.016,0.025,0.5,0.005
마포구,2016-01-14,194,323075.0,93.4,1.8,4.5,6.1,-3.2,0.0,54.0,31,21,0.013999999999999999,0.028999999999999998,0.5,0.006
마포구,2016-01-15,280,323075.0,93.4,1.9,4.1,5.1,0.6,0.0,58.0,41,29,0.008,0.04,0.7,0.006999999999999999
마포구,2016-01-16,193,323075.0,93.4,2.7,5.5,6.9,1.0,0.0,68.1,62,48,0.005,0.043,0.8,0.006
마포구,2016-01-17,208,323075.0,93.4,2.4,5.3,7.0,2.8,0.0,67.1,63,50,0.008,0.040999999999999995,0.8,0.006
마포구,2016-01-18,197,323075.0,93.4,5.2,12.3,15.1,-2.6,0.0,71.1,46,33,0.019,0.021,0.6,0.005
마포구,2016-01-19,129,323075.0,93.4,6.1,11.2,14.4,-10.6,0.0,46.9,22,12,0.022000000000000002,0.015,0.4,0.005
마포구,2016-01-20,158,323075.0,93.4,2.6,5.2,7.1,-9.9,0.0,48.4,28,21,0.015,0.024,0.5,0.005
마포구,2016-01-21,192,323075.0,93.4,2.5,5.0,7.1,-6.2,0.0,49.4,36,26,0.013000000000000001,0.028999999999999998,0.6,0.005
마포구,2016-01-22,186,323075.0,93.4,3.2,6.3,8.3,-6.9,0.0,45.6,35,25,0.013999999999999999,0.027000000000000003,0.6,0.006
마포구,2016-01-23,97,323075.0,93.4,5.2,10.2,13.1,-10.2,0.0,45.4,22,14,0.024,0.013999999999999999,0.4,0.005
