평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
0.3,3,4.5,2.8,0,66.9,68,51,0.005,0.047,0.7,0.006
0.8,2.7,3.9,2.1,0,74.6,85,64,0.004,0.046,0.9,0.006
1.5,3.6,4.8,2.6,0,74,59,49,0.008,0.042,1,0.006
0.8,4,5.5,2.9,0,75.9,77,39,0.004,0.047,1,0.005
0.8,2.7,3,1.5,0,67,61,35,0.005,0.065,0.8,0.007
1.2,3.3,4.4,2.1,0,68.3,69,39,0.007,0.06,0.9,0.005
1,3.6,4,3.3,0,61.98888889,80,40,0.006,0.035,1.1,0.006
1.1,3,4.3,7,0,74.3,58,41,0.007,0.043,0.6,0.005
0.2,3.6,5.2,7.3,0,69.5,53,37,0.007,0.044,0.5,0.006
1.3,3.4,4.2,6.5,0,48.03333333,55,26,0.013,0.05,0.7,0.005
1.2,3.8,4.4,7.2,0,48.63333333,62,28,0.009,0.032,0.9,0.006
1.1,2.9,3.3,5.6,0,56.33333333,47,25,0.007,0.064,0.6,0.007
1.8,4.6,6.2,6.6,0,78.2,45,35,0.011,0.037,0.7,0.006
1.2,6.1,7.2,6.9,0,78,44,27,0.005,0.046,0.7,0.005
0.7,2.5,3.5,7.1,0,58.6,109,53,0.017,0.059,0.8,0.006
1.5,5,6.5,7.3,0,84,88,68,0.017,0.04,0.8,0.007
0.6,3,4.2,7.7,0,80.5,111,80,0.009,0.051,1,0.005
0.3,3,4.2,8.1,0,75.3,98,68,0.015,0.044,0.6,0.007
0.8,3.3,4.1,7.7,0,64.3,119,53,0.012,0.033,0.9,0.006
1.3,5,5.7,6.4,0,64.73333333,86,50,0.016,0.064,0.5,0.009
0.9,4,5,7.6,0,84.5,70.33333333,50,0.008,0.053,1.1,0.005
2.8,7.8,8.6,3.8,0,54.2,33,48,0.023,0.026,0.6,0.005
2.2,5.1,7,4.2,0,53.6,85,61,0.026,0.024,0.8,0.005
1.6,4.5,6,3.6,0,62.25555556,96,43,0.017,0.024,0.7,0.007
2,5.1,6.5,2.4,0,61.36666667,89,43,0.027,0.029,0.6,0.006
4,7.9,10.1,2.4,0,57.4,74,57,0.024,0.026,0.7,0.006
1.4,5.2,7.1,3.7,0,52.8,84,58,0.02,0.022,0.4,0.006
3.2,6.1,7.5,1.2,0,58.03333333,70,38,0.026,0.032,0.4,0.007
1.1,3.6,4.4,-1.3,0,49.89827565,40,18,0.01,0.026,0.6,0.007
1.9,5.2,6.8,-0.4,0,37.2,29,19,0.018,0.021,0.3,0.006
1.8,5.7,6.7,-0.7,0,43.5,35,16,0.016,0.026,0.4,0.004
1.3,3.7,5.2,-2.8,0,41.27244892,37,17,0.018,0.03,0.6,0.006
3.1,6.6,32.8,-2.4,0,45.9,26,19,0.018,0.021,0.4,0.005
0.9,4.1,5.9,-1.1,0,36.9,29,18,0.006,0.022,0.3,0.005
2.4,5.5,6.3,-3.6,0,39.93333333,30,13,0.02,0.028,0.2,0.007
1.2,3.6,4.2,0.6,0,67.82499913,63,28,0.006,0.033,0.7,0.007
1.2,3.3,4.3,-0.8,0,59.02500004,57,27,0.008,0.052,0.8,0.006
1.4,6.3,7.8,0.5,0,57.2,61,28,0.007,0.041,0.7,0.005
2.4,5.9,19.8,-0.3,0,57.6,43,30,0.006,0.038,0.7,0.006
1.3,4.2,5.9,0,0,54.1,59,37,0.007,0.039,0.7,0.006
0.6,3.8,5.2,0.1,0,50.1,50,31,0.002,0.04,0.5,0.006
2,6,6.8,-1.7,0,65.72499913,63,24,0.008,0.046,0.5,0.008
2.8,5.9,6.9,-3.8,0,41.98693133,39,19,0.016,0.027,0.3,0.007
3.2,6.6,7.9,-2.6,0,55.6,31,21,0.016,0.024,0.5,0.006
