area,날짜,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
서대문구,2016-01-01,41,259015.0,94.2,1.2,3.3,4.4,2.1,0.0,,69.0,39.0,0.006999999999999999,0.06,0.9,0.005
서대문구,2016-01-02,69,259015.0,94.2,1.3,3.4,4.2,6.5,0.0,,55.0,26.0,0.013000000000000001,0.05,0.7,0.005
서대문구,2016-01-03,67,259015.0,94.2,0.7,2.5,3.5,7.1,0.0,,109.0,53.0,0.017,0.059000000000000004,0.8,0.006
서대문구,2016-01-04,63,259015.0,94.2,2.0,5.1,6.5,2.4,0.0,,89.0,43.0,0.027000000000000003,0.028999999999999998,0.6,0.006
서대문구,2016-01-05,64,259015.0,94.2,1.3,3.7,5.2,-2.8,0.0,,37.0,17.0,0.018000000000000002,0.03,0.6,0.006
서대문구,2016-01-06,64,259015.0,94.2,1.2,3.3,4.3,-0.8,0.0,,57.0,27.0,0.008,0.052000000000000005,0.8,0.006
서대문구,2016-01-07,60,259015.0,94.2,1.5,4.0,5.1,-3.0,0.0,,43.0,20.0,0.016,0.034,0.7,0.006
서대문구,2016-01-08,55,259015.0,94.2,1.7,4.1,5.6,-1.1,0.0,,34.0,16.0,0.017,0.036000000000000004,0.7,0.006
서대문구,2016-01-09,56,259015.0,94.2,1.2,4.3,5.3,-2.0,0.0,,39.0,19.0,0.016,0.037000000000000005,0.7,0.006
서대문구,2016-01-10,50,259015.0,94.2,1.6,4.6,5.7,0.9,0.0,,34.0,18.0,0.021,0.034,0.6,0.006
서대문구,2016-01-11,57,259015.0,94.2,1.7,4.3,5.0,-3.0,0.0,,43.0,20.0,0.02,0.028999999999999998,0.7,0.006
서대문구,2016-01-12,58,259015.0,94.2,1.5,4.5,5.3,-5.0,0.0,,52.0,23.0,0.013999999999999999,0.04,0.6,0.005
서대문구,2016-01-13,32,259015.0,94.2,1.3,4.4,5.8,-4.3,0.0,,37.0,18.0,0.015,0.039,0.6,0.004
