area,朝楼,rentcnt,牢备,酒颇飘啊拜,乞闭浅加,弥措浅加,鉴埃弥绊浅加,扁柯乞闭,碍荐老碍荐,嚼档乞闭,固技刚瘤,檬固技刚瘤,坷粮,捞魂拳龙家,老魂拳藕家,酒炔魂啊胶
己悼备,2016-01-01,40,248415.0,94.6,0.8,4.0,5.5,2.9,0.0,75.9,77.0,39.0,0.004,0.047,1.0,0.005
己悼备,2016-01-02,25,248415.0,94.6,1.2,6.1,7.2,6.9,0.0,78.0,44.0,27.0,0.005,0.046,0.7,0.005
己悼备,2016-01-03,28,248415.0,94.6,0.9,4.0,5.0,7.6,0.0,84.5,,50.0,0.008,0.053,1.1,0.005
己悼备,2016-01-04,28,248415.0,94.6,2.8,7.8,8.6,3.8,0.0,54.2,33.0,48.0,0.023,0.026000000000000002,0.6,0.005
己悼备,2016-01-05,30,248415.0,94.6,1.8,5.7,6.7,-0.7,0.0,43.5,35.0,16.0,0.016,0.026000000000000002,0.4,0.004
己悼备,2016-01-06,25,248415.0,94.6,1.4,6.3,7.8,0.5,0.0,57.2,61.0,28.0,0.006999999999999999,0.040999999999999995,0.7,0.005
己悼备,2016-01-07,37,248415.0,94.6,2.2,7.1,9.6,-1.1,0.0,52.5,43.0,20.0,0.015,0.027000000000000003,0.5,0.005
己悼备,2016-01-08,23,248415.0,94.6,2.3,8.2,9.1,0.5,0.0,43.7,35.0,16.0,0.013999999999999999,0.03,0.5,0.005
己悼备,2016-01-09,17,248415.0,94.6,1.7,7.5,8.4,-0.1,0.0,59.7,39.0,17.0,0.013000000000000001,0.033,0.5,0.005
己悼备,2016-01-10,21,248415.0,94.6,2.1,6.0,8.0,2.5,0.0,46.1,33.0,17.0,0.022000000000000002,0.022000000000000002,0.5,0.005
己悼备,2016-01-11,18,248415.0,94.6,2.2,7.9,9.5,-1.0,0.0,38.4,45.0,20.0,0.015,0.031,0.5,0.005
己悼备,2016-01-12,22,248415.0,94.6,2.2,6.6,8.4,-2.6,0.0,46.0,55.0,22.0,0.01,0.038,0.6,0.004
己悼备,2016-01-13,17,248415.0,94.6,2.0,8.1,8.7,-2.6,0.0,65.7,40.0,20.0,0.012,0.033,0.5,0.004
己悼备,2016-01-14,18,248415.0,94.6,1.3,5.7,8.0,-2.1,0.0,51.4,54.0,19.0,0.009000000000000001,0.04,0.6,0.004
己悼备,2016-01-15,22,248415.0,94.6,1.2,3.9,5.4,1.3,0.0,59.2,54.0,26.0,0.006,0.049,0.7,0.005
己悼备,2016-01-16,15,248415.0,94.6,1.2,3.8,4.4,1.1,0.0,69.0,71.0,37.0,0.005,0.047,0.8,0.004
己悼备,2016-01-17,21,248415.0,94.6,0.9,4.4,6.0,3.0,0.0,69.0,73.0,43.0,0.008,0.045,0.8,0.005
己悼备,2016-01-18,10,248415.0,94.6,3.8,10.9,13.3,-3.6,0.0,63.6,67.0,30.0,0.018000000000000002,0.026000000000000002,0.6,0.005
己悼备,2016-01-19,9,248415.0,94.6,4.2,11.2,14.7,-10.5,0.0,49.6,43.0,13.0,0.023,0.015,0.4,0.005
己悼备,2016-01-20,15,248415.0,94.6,1.7,5.5,6.8,-8.4,0.0,47.5,40.0,21.0,0.012,0.033,0.5,0.004
己悼备,2016-01-21,16,248415.0,94.6,1.3,6.5,7.2,-5.0,0.0,48.2,59.0,29.0,0.008,0.044000000000000004,0.7,0.005
己悼备,2016-01-22,9,248415.0,94.6,1.8,7.3,8.2,-5.3,0.0,44.7,57.0,27.0,0.01,0.04,0.6,0.005
己悼备,2016-01-23,2,248415.0,94.6,3.5,8.5,12.3,-8.9,0.0,44.7,37.0,14.0,0.025,0.016,0.4,0.004
己悼备,2016-01-24,4,248415.0,94.6,2.8,7.5,8.3,-12.3,0.0,49.7,43.0,19.0,0.024,0.015,0.4,0.005
己悼备,2016-01-25,10,248415.0,94.6,1.9,7.1,7.9,-7.3,0.0,48.7,57.0,16.0,0.013000000000000001,0.034,0.5,0.005
己悼备,2016-01-26,13,248415.0,94.6,1.3,6.4,10.0,-2.9,0.0,71.2,88.0,34.0,0.004,0.06,0.9,0.004
己悼备,2016-01-27,20,248415.0,94.6,1.8,6.6,7.8,1.0,0.0,59.9,68.0,29.0,0.008,0.053,0.8,0.005
己悼备,2016-01-28,18,248415.0,94.6,1.2,5.0,5.8,0.7,0.0,59.0,66.0,29.0,0.004,0.057,0.9,0.005
己悼备,2016-01-29,17,248415.0,94.6,2.2,5.6,6.6,3.4,0.0,49.4,53.0,25.0,0.004,0.044000000000000004,0.9,0.005
己悼备,2016-01-30,26,248415.0,94.6,1.8,6.2,6.9,2.5,0.0,64.1,44.0,25.0,0.002,0.052000000000000005,1.7,0.005
己悼备,2016-01-31,10,248415.0,94.6,2.8,6.7,8.6,-1.7,0.0,38.4,44.0,21.0,0.008,0.026000000000000002,1.2,0.005
己悼备,2016-02-01,23,248286.0,94.7,2.2,5.8,6.1,-4.2,0.0,33.4,46.0,17.0,0.004,0.032,0.9,0.004
己悼备,2016-02-02,18,248286.0,94.7,2.1,5.0,5.9,-1.3,0.0,37.3,51.0,20.0,0.013000000000000001,0.045,0.4,0.005
己悼备,2016-02-03,20,248286.0,94.7,1.6,5.8,7.0,-1.7,0.0,52.4,62.0,32.0,0.006999999999999999,0.059000000000000004,0.8,0.005
己悼备,2016-02-04,16,248286.0,94.7,2.0,6.3,8.8,0.8,0.0,54.1,63.0,30.0,0.013999999999999999,0.045,0.7,0.005
己悼备,2016-02-05,14,248286.0,94.7,1.9,6.4,8.6,-0.7,0.0,40.6,52.0,20.0,0.016,0.04,0.3,0.005
己悼备,2016-02-06,9,248286.0,94.7,2.0,6.5,8.4,-0.9,0.0,39.9,58.0,23.0,0.024,0.025,0.2,0.004
己悼备,2016-02-07,5,248286.0,94.7,1.7,5.5,6.9,-1.5,0.0,46.5,53.0,23.0,0.013000000000000001,0.036000000000000004,0.4,0.004
己悼备,2016-02-08,6,248286.0,94.7,2.3,8.8,11.5,2.0,0.0,62.2,83.0,40.0,0.024,0.033,0.5,0.005
己悼备,2016-02-09,16,248286.0,94.7,2.7,7.2,9.8,2.2,0.0,51.9,63.0,27.0,0.027999999999999997,0.021,0.2,0.004
己悼备,2016-02-10,25,248286.0,94.7,1.4,3.2,4.2,3.3,0.0,45.1,54.0,24.0,0.009000000000000001,0.048,0.8,0.004
己悼备,2016-02-11,24,248286.0,94.7,1.9,3.9,5.8,8.0,0.0,36.8,62.0,28.0,0.005,0.057999999999999996,1.0,0.005
己悼备,2016-02-12,8,248286.0,94.7,1.6,3.8,5.5,9.1,17.0,93.2,39.0,21.0,0.008,0.043,0.8,0.004
己悼备,2016-02-13,6,248286.0,94.7,1.8,8.8,11.4,12.1,20.5,95.8,19.0,11.0,0.003,0.037000000000000005,0.9,0.004
己悼备,2016-02-14,8,248286.0,94.7,4.2,8.5,11.9,-0.4,0.5,76.8,34.0,18.0,0.023,0.013999999999999999,0.3,0.003
己悼备,2016-02-15,18,248286.0,94.7,2.8,9.1,12.3,-4.7,0.0,50.3,38.0,11.0,0.026000000000000002,0.019,0.2,0.003
己悼备,2016-02-16,8,248286.0,94.7,2.1,7.9,10.8,-1.2,1.0,68.0,30.0,15.0,0.015,0.031,0.4,0.004
己悼备,2016-02-17,24,248286.0,94.7,1.9,7.5,9.6,1.0,0.0,57.4,43.0,15.0,0.013000000000000001,0.038,0.5,0.004
己悼备,2016-02-18,25,248286.0,94.7,1.9,7.5,10.3,4.8,0.0,68.0,50.0,21.0,0.018000000000000002,0.04,0.6,0.004
己悼备,2016-02-19,25,248286.0,94.7,1.4,5.9,8.0,4.5,0.0,58.9,92.0,37.0,0.006,0.047,1.0,0.005
己悼备,2016-02-20,18,248286.0,94.7,2.2,6.8,9.9,3.3,0.0,40.6,50.0,17.0,0.019,0.031,0.5,0.004
己悼备,2016-02-21,34,248286.0,94.7,2.4,8.1,9.9,0.9,0.0,37.6,30.0,11.0,0.03,0.017,0.3,0.004
己悼备,2016-02-22,26,248286.0,94.7,1.5,4.6,5.5,2.4,0.0,37.5,49.0,17.0,0.009000000000000001,0.044000000000000004,0.5,0.004
己悼备,2016-02-23,13,248286.0,94.7,2.3,8.2,12.9,2.2,0.0,58.8,58.0,25.0,0.02,0.028999999999999998,0.5,0.004
己悼备,2016-02-24,15,248286.0,94.7,2.2,6.4,8.4,-1.4,0.0,43.9,35.0,16.0,0.02,0.028999999999999998,0.4,0.004
己悼备,2016-02-25,40,248286.0,94.7,2.8,9.0,13.0,0.9,0.0,49.0,56.0,25.0,0.018000000000000002,0.038,0.5,0.005
己悼备,2016-02-26,16,248286.0,94.7,1.8,7.4,9.9,3.4,0.0,40.8,54.0,25.0,0.021,0.038,0.5,0.005
己悼备,2016-02-27,37,248286.0,94.7,1.9,5.8,7.5,4.7,0.0,62.4,69.0,35.0,0.017,0.042,0.6,0.005
己悼备,2016-02-28,12,248286.0,94.7,2.1,7.1,8.8,2.1,2.0,68.2,52.0,26.0,0.016,0.039,0.6,0.004
己悼备,2016-02-29,11,248286.0,94.7,2.8,7.1,11.0,-2.0,0.0,49.9,61.0,27.0,0.027999999999999997,0.022000000000000002,0.3,0.004
己悼备,2016-03-01,20,248079.0,94.7,2.2,6.4,8.6,-1.4,0.0,45.8,33.0,16.0,0.027000000000000003,0.026000000000000002,0.3,0.004
己悼备,2016-03-02,34,248079.0,94.7,1.9,7.3,10.9,4.0,0.0,68.5,40.0,18.0,0.02,0.037000000000000005,0.4,0.005
己悼备,2016-03-03,64,248079.0,94.7,1.6,5.5,6.7,8.6,0.0,67.8,65.0,27.0,0.016,0.046,0.6,0.005
己悼备,2016-03-04,95,248079.0,94.7,1.8,4.2,6.2,13.0,0.0,60.7,85.0,33.0,0.013000000000000001,0.05,0.7,0.005
