area,날짜,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
영등포구,2016-01-01,80,316451.0,92.7,1.0,3.6,4.0,3.3,0.0,,80.0,40.0,0.006,0.035,1.1,0.006
영등포구,2016-01-02,173,316451.0,92.7,1.2,3.8,4.4,7.2,0.0,,62.0,28.0,0.009000000000000001,0.032,0.9,0.006
영등포구,2016-01-03,151,316451.0,92.7,0.8,3.3,4.1,7.7,0.0,,119.0,53.0,0.012,0.033,0.9,0.006
영등포구,2016-01-04,170,316451.0,92.7,1.6,4.5,6.0,3.6,0.0,,96.0,43.0,0.017,0.024,0.7,0.006999999999999999
영등포구,2016-01-05,159,316451.0,92.7,1.1,3.6,4.4,-1.3,0.0,,40.0,18.0,0.01,0.026000000000000002,0.6,0.006999999999999999
영등포구,2016-01-06,128,316451.0,92.7,1.2,3.6,4.2,0.6,0.0,,63.0,28.0,0.006,0.033,0.7,0.006999999999999999
영등포구,2016-01-07,127,316451.0,92.7,1.3,3.5,4.7,-1.3,0.0,,48.0,21.0,0.011000000000000001,0.026000000000000002,0.7,0.006999999999999999
영등포구,2016-01-08,149,316451.0,92.7,1.5,4.3,5.0,0.3,0.0,,38.0,18.0,0.009000000000000001,0.027999999999999997,0.7,0.006999999999999999
영등포구,2016-01-09,81,316451.0,92.7,1.2,4.1,5.2,-0.4,0.0,,42.0,19.0,0.01,0.026000000000000002,0.7,0.006999999999999999
영등포구,2016-01-10,108,316451.0,92.7,1.4,3.7,4.9,1.9,0.0,,39.0,20.0,0.012,0.023,0.6,0.006999999999999999
영등포구,2016-01-11,141,316451.0,92.7,1.4,3.6,4.5,-1.8,0.0,,48.0,21.0,0.01,0.027000000000000003,0.7,0.006999999999999999
영등포구,2016-01-12,112,316451.0,92.7,1.3,3.8,4.8,-3.4,0.0,,56.0,22.0,0.009000000000000001,0.03,0.7,0.006999999999999999
영등포구,2016-01-13,111,316451.0,92.7,1.3,4.4,6.0,-2.9,0.0,,40.0,19.0,0.011000000000000001,0.027000000000000003,0.6,0.006
영등포구,2016-01-14,107,316451.0,92.7,1.1,4.5,5.2,-2.1,0.0,,48.0,21.0,0.009000000000000001,0.031,0.7,0.006999999999999999
영등포구,2016-01-15,143,316451.0,92.7,0.8,3.1,3.6,1.5,0.0,,58.0,28.0,0.003,0.039,0.9,0.006
영등포구,2016-01-16,97,316451.0,92.7,1.1,3.4,4.6,1.5,0.0,,75.0,39.0,0.003,0.039,0.8,0.006
영등포구,2016-01-17,124,316451.0,92.7,0.9,2.5,3.8,3.3,0.0,,76.0,44.0,0.005,0.036000000000000004,0.9,0.006
영등포구,2016-01-18,90,316451.0,92.7,2.4,5.8,8.2,-4.0,0.0,,66.0,35.0,0.013000000000000001,0.022000000000000002,0.7,0.005
영등포구,2016-01-19,47,316451.0,92.7,2.8,6.3,8.1,-10.8,0.0,,39.0,14.0,0.017,0.018000000000000002,0.4,0.006
영등포구,2016-01-20,92,316451.0,92.7,1.2,3.4,4.5,-8.9,0.0,,41.0,22.0,0.01,0.027999999999999997,0.7,0.006
영등포구,2016-01-21,108,316451.0,92.7,1.2,3.4,4.1,-5.4,0.0,,54.0,27.0,0.008,0.032,0.7,0.006999999999999999
영등포구,2016-01-22,116,316451.0,92.7,1.4,4.0,5.1,-6.0,0.0,,50.0,23.0,0.009000000000000001,0.03,0.7,0.006999999999999999
영등포구,2016-01-23,39,316451.0,92.7,2.3,5.3,6.8,-9.3,0.0,,37.0,14.0,0.017,0.018000000000000002,0.5,0.006999999999999999
영등포구,2016-01-24,15,316451.0,92.7,2.0,5.0,6.3,-12.8,0.0,,46.0,18.0,0.017,0.015,0.5,0.006999999999999999
영등포구,2016-01-25,86,316451.0,92.7,1.2,3.4,4.5,-7.8,0.0,,63.0,17.0,0.01,0.028999999999999998,0.7,0.006999999999999999
영등포구,2016-01-26,85,316451.0,92.7,1.0,4.3,5.0,-2.3,0.0,,92.0,34.0,0.005,0.040999999999999995,1.0,0.006999999999999999
영등포구,2016-01-27,149,316451.0,92.7,0.9,3.9,5.5,0.8,0.0,,71.0,27.0,0.009000000000000001,0.035,0.8,0.008
영등포구,2016-01-28,156,316451.0,92.7,0.7,3.3,4.1,1.1,0.0,,66.0,29.0,0.004,0.044000000000000004,1.2,0.006999999999999999
영등포구,2016-01-29,148,316451.0,92.7,0.7,2.6,3.6,3.2,0.0,,59.0,24.0,0.004,0.037000000000000005,0.8,0.008
영등포구,2016-01-30,128,316451.0,92.7,0.9,3.4,4.4,1.7,0.0,,48.0,24.0,0.006,0.032,0.8,0.006
영등포구,2016-01-31,64,316451.0,92.7,1.6,3.7,4.7,-2.1,0.0,,43.0,19.0,0.018000000000000002,0.019,0.5,0.006999999999999999
영등포구,2016-02-01,107,316450.0,92.7,2.2,5.8,6.1,-4.2,0.0,33.4,46.0,17.0,0.013999999999999999,0.025,0.6,0.006999999999999999
영등포구,2016-02-02,94,316450.0,92.7,2.1,5.0,5.9,-1.3,0.0,37.3,49.0,20.0,0.009000000000000001,0.034,0.6,0.006999999999999999
영등포구,2016-02-03,126,316450.0,92.7,1.6,5.8,7.0,-1.7,0.0,52.4,63.0,28.0,0.006,0.043,0.9,0.006999999999999999
