area,날짜,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
용산구,2016-07-18,3,190841,94.7,1.3,4.2,5.3,24.6,0,77,30,18,0.014,0.025,0.3,0.005
용산구,2016-07-19,42,190841,94.7,1.8,4.7,6.1,27.2,0,70.4,38,23,0.037,0.025,0.3,0.004
용산구,2016-07-20,105,190841,94.7,2.1,4.8,6.9,28.9,0,65.5,35,22,0.041,0.021,0.3,0.004
용산구,2016-07-21,122,190841,94.7,2.1,4.5,6.4,28.4,0,66.1,32,20,0.039,0.022,0.3,0.004
용산구,2016-07-22,134,190841,94.7,1.9,5.4,8.1,29.8,0,65.4,35,23,0.037,0.024,0.3,0.004
용산구,2016-07-23,145,190841,94.7,1.5,4.4,6.1,29.4,0,72.2,45,30,0.025,0.024,0.3,0.004
용산구,2016-07-24,152,190841,94.7,1.3,4,5.1,28.7,1,80.6,43,27,0.015,0.018,0.2,0.004
용산구,2016-07-25,199,190841,94.7,1.3,4.4,5.7,29.1,0,77.4,47,33,0.018,0.023,0.2,0.005
용산구,2016-07-26,183,190841,94.7,1.9,7.1,8.7,29,0,72.3,37,26,0.013,0.018,0.2,0.004
용산구,2016-07-27,102,190841,94.7,1.3,4.9,8.7,28.4,1,77.8,39,26,0.016,0.018,0.2,0.004
용산구,2016-07-28,164,190841,94.7,2.1,7.2,9.5,28.8,0,72.7,55,40,0.036,0.022,0.4,0.004
용산구,2016-07-29,94,190841,94.7,1.5,4.7,6.2,26.7,40,85.9,50,37,0.017,0.028,0.5,0.004
용산구,2016-07-30,184,190841,94.7,1.3,4.7,6.2,29.5,2,76.8,50,36,0.026,0.023,0.3,0.004
용산구,2016-07-31,220,190841,94.7,1.9,6.6,9,29.7,0,73.8,42,32,0.014,0.015,0.3,0.004
용산구,2016-08-01,212,190485,95,1.8,5.8,7.2,28.6,0,74.3,36,25,0.011,0.022,0.3,0.004
용산구,2016-08-02,124,190485,95,1.5,6.4,8.8,28.1,0,74.3,32,20,0.009,0.023,0.3,0.004
용산구,2016-08-03,187,190485,95,1.6,3.8,4.8,29.6,0,67.9,31,20,0.02,0.026,0.3,0.004
용산구,2016-08-04,174,190485,95,1.9,4.8,6.2,31.3,0,64.1,33,21,0.034,0.018,0.3,0.004
용산구,2016-08-05,168,190485,95,1.8,4.5,6.1,31.9,0,60.3,38,26,0.041,0.027,0.4,0.004
용산구,2016-08-06,207,190485,95,1.7,4.3,6.1,31.4,0,66.5,55,42,0.052,0.029,0.5,0.004
용산구,2016-08-07,225,190485,95,1.9,5.6,7.1,31.7,0,60.2,35,26,0.037,0.022,0.4,0.004
용산구,2016-08-08,212,190485,95,1.8,4.8,6.5,31.1,0,66.1,38,27,0.029,0.022,0.4,0.004
용산구,2016-08-09,137,190485,95,1.9,5.7,7.9,30.1,0,68.5,36,26,0.037,0.021,0.4,0.004
용산구,2016-08-10,189,190485,95,1.8,5.8,8,30.6,0,68.6,79,50,0.035,0.03,0.5,0.005
용산구,2016-08-11,194,190485,95,1.6,4.3,6,31.4,0,64.3,30,22,0.025,0.022,0.4,0.004
용산구,2016-08-12,222,190485,95,1.8,5.3,7.1,31.3,0,68.6,41,30,0.024,0.022,0.4,0.004
용산구,2016-08-13,242,190485,95,2.3,6.4,8,31,0,69.8,38,28,0.019,0.016,0.3,0.004
용산구,2016-08-14,257,190485,95,1.5,4.3,6.4,29.5,3,78.6,37,30,0.018,0.014,0.3,0.004
용산구,2016-08-15,301,190485,95,1.8,5.1,6.4,30.1,0,68.6,37,26,0.03,0.019,0.4,0.004
용산구,2016-08-16,226,190485,95,1.6,5.3,7.1,30.5,0,65.4,42,29,0.037,0.024,0.5,0.005
용산구,2016-08-17,229,190485,95,1.7,4.3,6,30.4,0,64.1,38,26,0.037,0.024,0.4,0.004
용산구,2016-08-18,266,190485,95,1.5,4.4,6.3,29.4,9.5,70.6,50,37,0.048,0.031,0.5,0.004
용산구,2016-08-19,192,190485,95,1.6,3.7,5.2,29.6,1.5,73.7,56,41,0.04,0.035,0.5,0.005
용산구,2016-08-20,295,190485,95,2.1,4.1,5.5,30.6,0,63.6,29,22,0.04,0.018,0.4,0.004
용산구,2016-08-21,254,190485,95,2,4.4,5.6,30.8,0,61.5,28,18,0.047,0.018,0.3,0.004
용산구,2016-08-22,232,190485,95,1.8,5,6,30.5,0,63.7,28,20,0.043,0.021,0.3,0.004
용산구,2016-08-23,210,190485,95,2,4.7,6.5,29.3,0.5,67.9,33,23,0.033,0.024,0.4,0.004
용산구,2016-08-24,275,190485,95,1.7,4.4,5.6,29.9,0,62.8,32,22,0.028,0.03,0.4,0.005
용산구,2016-08-25,152,190485,95,1.9,5.9,8.1,28,5,71.7,30,20,0.023,0.027,0.4,0.004
용산구,2016-08-26,405,190485,95,3.3,9.2,12.8,23.5,20.5,63.2,13,8,0.033,0.01,0.2,0.004
용산구,2016-08-27,512,190485,95,2.8,6.7,9.6,23.5,0,48.3,13,7,0.034,0.01,0.2,0.004
용산구,2016-08-28,351,190485,95,2.9,7.3,9.5,21.2,4.5,68.1,12,7,0.025,0.008,0.2,0.004
용산구,2016-08-29,468,190485,95,2.6,7,8.7,22.4,0,59.1,15,8,0.018,0.014,0.2,0.004
용산구,2016-08-30,306,190485,95,2.2,5.8,8.2,21.5,0,65.6,24,10,0.02,0.017,0.3,0.004
용산구,2016-08-31,109,190485,95,3.5,8.9,11.9,18.6,16.5,86.1,20,10,0.017,0.016,0.2,0.004
