날짜,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
2016-01-01,0.3,3.0,4.5,2.8,0.0,66.9,68.0,51.0,0.005,0.047,0.7,0.006
2016-01-01,0.8,2.7,3.9,2.1,0.0,74.6,85.0,64.0,0.004,0.046,0.9,0.006
2016-01-01,1.5,3.6,4.8,2.6,0.0,74.0,59.0,49.0,0.008,0.042,1.0,0.006
2016-01-01,0.8,4.0,5.5,2.9,0.0,75.9,77.0,39.0,0.004,0.047,1.0,0.005
2016-01-01,0.8,2.7,3.0,1.5,0.0,,61.0,35.0,0.005,0.065,0.8,0.006999999999999999
2016-01-01,1.2,3.3,4.4,2.1,0.0,,69.0,39.0,0.006999999999999999,0.06,0.9,0.005
2016-01-01,1.0,3.6,4.0,3.3,0.0,,80.0,40.0,0.006,0.035,1.1,0.006
2016-01-02,1.1,3.0,4.3,7.0,0.0,74.3,58.0,41.0,0.006999999999999999,0.043,0.6,0.005
2016-01-02,0.2,3.6,5.2,7.3,0.0,69.5,53.0,37.0,0.006999999999999999,0.044,0.5,0.006
2016-01-02,1.3,3.4,4.2,6.5,0.0,,55.0,26.0,0.013,0.05,0.7,0.005
2016-01-02,1.2,3.8,4.4,7.2,0.0,,62.0,28.0,0.009000000000000001,0.032,0.9,0.006
2016-01-02,1.1,2.9,3.3,5.6,0.0,,47.0,25.0,0.006999999999999999,0.064,0.6,0.006999999999999999
2016-01-02,1.8,4.6,6.2,6.6,0.0,78.2,45.0,35.0,0.011,0.037000000000000005,0.7,0.006
2016-01-02,1.2,6.1,7.2,6.9,0.0,78.0,44.0,27.0,0.005,0.046,0.7,0.005
2016-01-03,0.7,2.5,3.5,7.1,0.0,,109.0,53.0,0.017,0.059,0.8,0.006
2016-01-03,1.5,5.0,6.5,7.3,0.0,84.0,88.0,68.0,0.017,0.04,0.8,0.006999999999999999
2016-01-03,0.6,3.0,4.2,7.7,0.0,80.5,111.0,80.0,0.009000000000000001,0.051,1.0,0.005
2016-01-03,0.3,3.0,4.2,8.1,0.0,75.3,98.0,68.0,0.015,0.044,0.6,0.006999999999999999
2016-01-03,0.8,3.3,4.1,7.7,0.0,,119.0,53.0,0.012,0.033,0.9,0.006
2016-01-03,1.3,5.0,5.7,6.4,0.0,,86.0,50.0,0.016,0.064,0.5,0.009000000000000001
2016-01-03,0.9,4.0,5.0,7.6,0.0,84.5,,50.0,0.008,0.053,1.1,0.005
2016-01-04,2.8,7.8,8.6,3.8,0.0,54.2,33.0,48.0,0.023,0.026,0.6,0.005
2016-01-04,2.2,5.1,7.0,4.2,0.0,53.6,85.0,61.0,0.026,0.024,0.8,0.005
2016-01-04,1.6,4.5,6.0,3.6,0.0,,96.0,43.0,0.017,0.024,0.7,0.006999999999999999
2016-01-04,2.0,5.1,6.5,2.4,0.0,,89.0,43.0,0.027000000000000003,0.029,0.6,0.006
2016-01-04,4.0,7.9,10.1,2.4,0.0,57.4,74.0,57.0,0.024,0.026,0.7,0.006
2016-01-04,1.4,5.2,7.1,3.7,0.0,52.8,84.0,58.0,0.02,0.022,0.4,0.006
2016-01-04,3.2,6.1,7.5,1.2,0.0,,70.0,38.0,0.026,0.032,0.4,0.006999999999999999
2016-01-05,1.1,3.6,4.4,-1.3,0.0,,40.0,18.0,0.01,0.026,0.6,0.006999999999999999
2016-01-05,1.9,5.2,6.8,-0.4,0.0,37.2,29.0,19.0,0.018000000000000002,0.021,0.3,0.006
2016-01-05,1.8,5.7,6.7,-0.7,0.0,43.5,35.0,16.0,0.016,0.026,0.4,0.004
2016-01-05,1.3,3.7,5.2,-2.8,0.0,,37.0,17.0,0.018000000000000002,0.03,0.6,0.006
2016-01-05,3.1,6.6,32.8,-2.4,0.0,45.9,26.0,19.0,0.018000000000000002,0.021,0.4,0.005
2016-01-05,0.9,4.1,5.9,-1.1,0.0,36.9,29.0,18.0,0.006,0.022,0.3,0.005
2016-01-05,2.4,5.5,6.3,-3.6,0.0,,30.0,13.0,0.02,0.028,0.2,0.006999999999999999
2016-01-06,1.2,3.6,4.2,0.6,0.0,,63.0,28.0,0.006,0.033,0.7,0.006999999999999999
2016-01-06,1.2,3.3,4.3,-0.8,0.0,,57.0,27.0,0.008,0.052000000000000005,0.8,0.006
2016-01-06,1.4,6.3,7.8,0.5,0.0,57.2,61.0,28.0,0.006999999999999999,0.041,0.7,0.005
2016-01-06,2.4,5.9,19.8,-0.3,0.0,57.6,43.0,30.0,0.006,0.038,0.7,0.006
2016-01-06,1.3,4.2,5.9,0.0,0.0,54.1,59.0,37.0,0.006999999999999999,0.039,0.7,0.006
2016-01-06,0.6,3.8,5.2,0.1,0.0,50.1,50.0,31.0,0.002,0.04,0.5,0.006
2016-01-06,2.0,6.0,6.8,-1.7,0.0,,63.0,24.0,0.008,0.046,0.5,0.008
2016-01-07,2.8,5.9,6.9,-3.8,0.0,,39.0,19.0,0.016,0.027000000000000003,0.3,0.006999999999999999
2016-01-07,3.2,6.6,7.9,-2.6,0.0,55.6,31.0,21.0,0.016,0.024,0.5,0.006
2016-01-07,1.3,4.6,6.9,-1.7,0.0,47.0,37.0,23.0,0.006,0.022,0.3,0.005
2016-01-07,1.9,5.1,7.4,-1.1,0.0,49.1,37.0,23.0,0.017,0.023,0.3,0.005
2016-01-07,2.2,7.1,9.6,-1.1,0.0,52.5,43.0,20.0,0.015,0.027000000000000003,0.5,0.005
2016-01-07,1.5,4.0,5.1,-3.0,0.0,,43.0,20.0,0.016,0.034,0.7,0.006
2016-01-07,1.3,3.5,4.7,-1.3,0.0,,48.0,21.0,0.011,0.026,0.7,0.006999999999999999
2016-01-08,1.5,4.3,5.0,0.3,0.0,,38.0,18.0,0.009000000000000001,0.028,0.7,0.006999999999999999
2016-01-08,1.6,4.9,7.7,-1.1,0.0,48.1,36.0,22.0,0.014,0.029,0.5,0.006
2016-01-08,2.3,8.2,9.1,0.5,0.0,43.7,35.0,16.0,0.014,0.03,0.5,0.005
2016-01-08,0.9,3.9,6.0,-1.5,0.0,45.5,34.0,22.0,0.006,0.026,0.3,0.005
2016-01-08,3.2,7.2,8.2,-2.3,0.0,,32.0,14.0,0.017,0.027000000000000003,0.3,0.006999999999999999
2016-01-08,3.6,7.6,10.5,-0.7,0.0,46.5,25.0,17.0,0.015,0.026,0.5,0.006
2016-01-08,1.7,4.1,5.6,-1.1,0.0,,34.0,16.0,0.017,0.036000000000000004,0.7,0.006
2016-01-09,1.2,4.3,5.3,-2.0,0.0,,39.0,19.0,0.016,0.037000000000000005,0.7,0.006
2016-01-09,1.6,5.4,7.9,0.1,0.0,55.3,39.0,25.0,0.015,0.03,0.5,0.004
2016-01-09,1.2,4.1,5.2,-0.4,0.0,,42.0,19.0,0.01,0.026,0.7,0.006999999999999999
2016-01-09,2.4,7.2,9.7,-1.5,0.0,63.0,28.0,20.0,0.015,0.027000000000000003,0.5,0.006
2016-01-09,1.0,3.9,6.1,-0.5,0.0,52.8,35.0,22.0,0.005,0.027000000000000003,0.3,0.005
2016-01-09,2.3,5.3,6.9,-2.7,0.0,,34.0,17.0,0.016,0.031,0.4,0.006999999999999999
2016-01-09,1.7,7.5,8.4,-0.1,0.0,59.7,39.0,17.0,0.013,0.033,0.5,0.005
2016-01-10,2.1,6.0,8.0,2.5,0.0,46.1,33.0,17.0,0.022,0.022,0.5,0.005
2016-01-10,2.9,6.9,8.0,-0.1,0.0,,30.0,16.0,0.023,0.024,0.4,0.006999999999999999
2016-01-10,3.2,6.9,9.4,1.1,0.0,47.3,29.0,21.0,0.02,0.024,0.5,0.006
2016-01-10,1.4,3.7,4.9,1.9,0.0,,39.0,20.0,0.012,0.023,0.6,0.006999999999999999
2016-01-10,1.0,5.5,7.4,2.0,0.0,41.4,32.0,23.0,0.009000000000000001,0.02,0.3,0.005
2016-01-10,1.8,4.8,8.2,2.5,0.0,45.7,33.0,24.0,0.022,0.022,0.5,0.004
2016-01-10,1.6,4.6,5.7,0.9,0.0,,34.0,18.0,0.021,0.034,0.6,0.006
2016-01-11,2.6,6.7,7.5,-3.9,0.0,,40.0,20.0,0.019,0.027000000000000003,0.4,0.006999999999999999
2016-01-11,1.1,3.4,5.5,-2.2,0.0,34.4,38.0,27.0,0.006999999999999999,0.023,0.3,0.005
