날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-07-13,1,1,296752,95.8,1.9,5.3,7.1,27.1,0.0,69.2,30.0,18.0,0.013999999999999999,0.021,0.3,0.005,2016,7,13,0,0,0,2,1.0,0.0
2016-07-14,1,5,296752,95.8,2.0,6.0,8.1,27.9,1.0,68.8,23.0,15.0,0.026000000000000002,0.019,0.3,0.005,2016,7,14,0,0,0,3,1.0,0.0
2016-07-17,1,31,296752,95.8,1.4,4.4,7.6,22.4,2.0,86.1,14.0,10.0,0.02,0.013000000000000001,0.3,0.005,2016,7,17,0,0,0,6,0.0,1.0
2016-07-18,1,77,296752,95.8,1.3,4.2,5.3,24.6,0.0,77.0,27.0,17.0,0.015,0.023,0.4,0.006,2016,7,18,0,0,0,0,1.0,0.0
2016-07-19,1,89,296752,95.8,1.8,4.7,6.1,27.2,0.0,70.4,35.0,22.0,0.027999999999999997,0.027999999999999997,0.4,0.005,2016,7,19,0,0,0,1,1.0,0.0
2016-07-20,1,88,296752,95.8,2.1,4.8,6.9,28.9,0.0,65.5,35.0,23.0,0.032,0.023,0.4,0.005,2016,7,20,0,0,0,2,1.0,0.0
2016-07-21,1,117,296752,95.8,2.1,4.5,6.4,28.4,0.0,66.1,31.0,20.0,0.031,0.022000000000000002,0.4,0.005,2016,7,21,0,0,0,3,1.0,0.0
2016-07-22,1,155,296752,95.8,1.9,5.4,8.1,29.8,0.0,65.4,36.0,23.0,0.032,0.021,0.3,0.005,2016,7,22,0,0,0,4,1.0,0.0
2016-07-23,1,201,296752,95.8,1.5,4.4,6.1,29.4,0.0,72.2,40.0,28.0,0.023,0.022000000000000002,0.3,0.005,2016,7,23,0,0,0,5,0.0,1.0
2016-07-24,1,189,296752,95.8,1.3,4.0,5.1,28.7,1.0,80.6,35.0,24.0,0.013999999999999999,0.017,0.3,0.005,2016,7,24,0,0,0,6,0.0,1.0
