날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-01-01,0,33,308607,94.0,0.8,2.7,3.9,2.1,0.0,74.6,85.0,64.0,0.004,0.046,0.9,0.006,2016,1,1,0,0,0,4,1.0,0.0
2016-01-02,0,22,308607,94.0,1.1,3.0,4.3,7.0,0.0,74.3,58.0,41.0,0.006999999999999999,0.043,0.6,0.005,2016,1,2,0,0,0,5,0.0,1.0
2016-01-03,0,35,308607,94.0,0.6,3.0,4.2,7.7,0.0,80.5,111.0,80.0,0.009000000000000001,0.051,1.0,0.005,2016,1,3,0,0,0,6,0.0,1.0
2016-01-04,0,29,308607,94.0,2.2,5.1,7.0,4.2,0.0,53.6,85.0,61.0,0.026000000000000002,0.024,0.8,0.005,2016,1,4,0,0,0,0,1.0,0.0
2016-01-05,0,23,308607,94.0,1.9,5.2,6.8,-0.4,0.0,37.2,29.0,19.0,0.018000000000000002,0.021,0.3,0.006,2016,1,5,0,0,0,1,1.0,0.0
2016-01-06,0,22,308607,94.0,1.3,4.2,5.9,0.0,0.0,54.1,59.0,37.0,0.006999999999999999,0.039,0.7,0.006,2016,1,6,0,0,0,2,1.0,0.0
2016-01-07,0,28,308607,94.0,1.9,5.1,7.4,-1.1,0.0,49.1,37.0,23.0,0.017,0.023,0.3,0.005,2016,1,7,0,0,0,3,1.0,0.0
2016-01-08,0,18,308607,94.0,1.6,4.9,7.7,-1.1,0.0,48.1,36.0,22.0,0.013999999999999999,0.028999999999999998,0.5,0.006,2016,1,8,0,0,0,4,1.0,0.0
2016-01-09,0,18,308607,94.0,1.6,5.4,7.9,0.1,0.0,55.3,39.0,25.0,0.015,0.03,0.5,0.004,2016,1,9,0,0,0,5,0.0,1.0
2016-01-10,0,21,308607,94.0,1.8,4.8,8.2,2.5,0.0,45.7,33.0,24.0,0.022000000000000002,0.022000000000000002,0.5,0.004,2016,1,10,0,0,0,6,0.0,1.0
2016-01-11,0,15,308607,94.0,1.8,3.8,5.5,-1.3,0.0,36.5,43.0,29.0,0.016,0.03,0.6,0.005,2016,1,11,0,0,0,0,1.0,0.0
2016-01-12,0,24,308607,94.0,1.7,4.5,6.6,-2.9,0.0,43.2,55.0,34.0,0.012,0.036000000000000004,0.6,0.005,2016,1,12,0,0,0,1,1.0,0.0
2016-01-13,0,19,308607,94.0,1.8,5.1,7.4,-2.9,0.0,62.9,45.0,30.0,0.011000000000000001,0.034,0.7,0.005,2016,1,13,0,0,0,2,1.0,0.0
2016-01-14,0,16,308607,94.0,1.3,3.8,5.5,-2.1,0.0,47.7,47.0,28.0,0.012,0.036000000000000004,0.6,0.005,2016,1,14,0,0,0,3,1.0,0.0
2016-01-15,0,12,308607,94.0,1.0,3.3,3.7,1.1,0.0,57.2,58.0,41.0,0.005,0.05,0.8,0.005,2016,1,15,0,0,0,4,1.0,0.0
2016-01-16,0,27,308607,94.0,1.2,4.7,6.1,0.9,0.0,65.7,65.0,49.0,0.01,0.037000000000000005,0.7,0.005,2016,1,16,0,0,0,5,0.0,1.0
2016-01-17,0,36,308607,94.0,1.0,3.9,5.0,3.0,0.0,65.1,64.0,52.0,0.013999999999999999,0.035,0.7,0.004,2016,1,17,0,0,0,6,0.0,1.0
2016-01-18,0,11,308607,94.0,3.3,9.2,13.8,-3.9,0.0,59.7,59.0,41.0,0.02,0.023,0.7,0.005,2016,1,18,0,0,0,0,1.0,0.0
2016-01-19,0,6,308607,94.0,3.5,8.1,13.0,-11.0,0.0,45.6,36.0,17.0,0.024,0.013999999999999999,0.4,0.005,2016,1,19,0,0,0,1,1.0,0.0
2016-01-20,0,7,308607,94.0,1.5,4.2,5.8,-8.7,0.0,45.0,44.0,31.0,0.012,0.034,0.6,0.005,2016,1,20,0,0,0,2,1.0,0.0
2016-01-21,0,21,308607,94.0,1.4,4.4,5.5,-5.4,0.0,45.6,60.0,43.0,0.009000000000000001,0.039,0.7,0.006,2016,1,21,0,0,0,3,1.0,0.0
2016-01-22,0,10,308607,94.0,1.4,4.0,5.6,-5.4,0.0,41.6,64.0,43.0,0.01,0.04,0.7,0.006,2016,1,22,0,0,0,4,1.0,0.0
2016-01-23,0,7,308607,94.0,3.0,7.5,11.7,-9.2,0.0,41.2,32.0,20.0,0.026000000000000002,0.013000000000000001,0.4,0.005,2016,1,23,0,0,0,5,0.0,1.0
2016-01-24,0,1,308607,94.0,2.5,5.1,8.5,-12.8,0.0,46.5,42.0,27.0,0.025,0.013999999999999999,0.5,0.005,2016,1,24,0,0,0,6,0.0,1.0
2016-01-25,0,16,308607,94.0,1.6,4.3,6.4,-7.9,0.0,46.4,49.0,23.0,0.013999999999999999,0.034,0.6,0.005,2016,1,25,0,0,0,0,1.0,0.0
2016-01-26,0,15,308607,94.0,0.9,4.5,6.1,-2.6,0.0,66.6,82.0,48.0,0.005,0.055,0.9,0.006999999999999999,2016,1,26,0,0,0,1,1.0,0.0
2016-01-27,0,24,308607,94.0,1.3,4.7,6.5,0.9,0.0,57.1,68.0,42.0,0.01,0.051,0.9,0.006999999999999999,2016,1,27,0,0,0,2,1.0,0.0
2016-01-28,0,17,308607,94.0,1.1,3.3,4.8,0.6,0.0,55.3,61.0,40.0,0.006,0.051,0.9,0.006,2016,1,28,0,0,0,3,1.0,0.0
2016-01-29,0,11,308607,94.0,2.0,4.9,5.9,3.4,0.0,46.3,42.0,28.0,0.013999999999999999,0.035,0.5,0.005,2016,1,29,0,0,0,4,1.0,0.0
2016-01-30,0,27,308607,94.0,1.4,4.6,5.8,2.6,0.0,60.6,38.0,28.0,0.01,0.043,0.7,0.005,2016,1,30,0,0,0,5,0.0,1.0
2016-01-31,0,23,308607,94.0,2.1,5.0,6.8,-1.6,0.0,35.5,42.0,27.0,0.023,0.022000000000000002,0.5,0.005,2016,1,31,0,0,0,6,0.0,1.0
2016-02-01,0,13,308575,94.1,2.2,5.8,6.1,-4.2,0.0,33.4,42.0,24.0,0.02,0.027000000000000003,0.5,0.005,2016,2,1,0,0,0,0,1.0,0.0
2016-02-02,0,20,308575,94.1,2.1,5.0,5.9,-1.3,0.0,37.3,53.0,32.0,0.012,0.043,0.7,0.006,2016,2,2,0,0,0,1,1.0,0.0
2016-02-03,0,16,308575,94.1,1.6,5.8,7.0,-1.7,0.0,52.4,65.0,42.0,0.008,0.057999999999999996,1.0,0.006,2016,2,3,0,0,0,2,1.0,0.0
2016-02-04,0,16,308575,94.1,2.0,6.3,8.8,0.8,0.0,54.1,67.0,45.0,0.013999999999999999,0.052000000000000005,1.0,0.008,2016,2,4,0,0,0,3,1.0,0.0
2016-02-05,0,21,308575,94.1,1.9,6.4,8.6,-0.7,0.0,40.6,45.0,27.0,0.013000000000000001,0.038,0.7,0.005,2016,2,5,0,0,0,4,1.0,0.0
2016-02-06,0,12,308575,94.1,2.0,6.5,8.4,-0.9,0.0,39.9,54.0,31.0,0.016,0.026000000000000002,0.6,0.005,2016,2,6,0,0,0,5,0.0,1.0
2016-02-07,0,14,308575,94.1,1.7,5.5,6.9,-1.5,0.0,46.5,54.0,32.0,0.01,0.037000000000000005,0.7,0.005,2016,2,7,0,0,0,6,0.0,1.0
2016-02-08,0,5,308575,94.1,2.3,8.8,11.5,2.0,0.0,62.2,77.0,50.0,0.017,0.034,0.8,0.006,2016,2,8,0,0,0,0,1.0,0.0
2016-02-09,0,17,308575,94.1,2.7,7.2,9.8,2.2,0.0,51.9,52.0,32.0,0.02,0.019,0.5,0.005,2016,2,9,0,0,0,1,1.0,0.0
2016-02-10,0,70,308575,94.1,1.4,3.2,4.2,3.3,0.0,45.1,45.0,29.0,0.006999999999999999,0.040999999999999995,0.6,0.005,2016,2,10,0,0,0,2,1.0,0.0
2016-02-11,0,57,308575,94.1,1.9,3.9,5.8,8.0,0.0,36.8,45.0,28.0,0.008,0.042,0.7,0.005,2016,2,11,0,0,0,3,1.0,0.0
2016-02-12,0,6,308575,94.1,1.6,3.8,5.5,9.1,17.0,93.2,31.0,23.0,0.008,0.037000000000000005,0.6,0.004,2016,2,12,0,0,0,4,1.0,0.0
2016-02-13,0,7,308575,94.1,1.8,8.8,11.4,12.1,20.5,95.8,14.0,10.0,0.004,0.033,0.6,0.004,2016,2,13,0,0,0,5,0.0,1.0
2016-02-14,0,11,308575,94.1,4.2,8.5,11.9,-0.4,0.5,76.8,31.0,23.0,0.016,0.013999999999999999,0.4,0.003,2016,2,14,0,0,0,6,0.0,1.0
2016-02-15,0,13,308575,94.1,2.8,9.1,12.3,-4.7,0.0,50.3,34.0,15.0,0.019,0.016,0.4,0.004,2016,2,15,0,0,0,0,1.0,0.0
2016-02-16,0,14,308575,94.1,2.1,7.9,10.8,-1.2,1.0,68.0,30.0,20.0,0.013000000000000001,0.027000000000000003,0.5,0.005,2016,2,16,0,0,0,1,1.0,0.0
2016-02-17,0,21,308575,94.1,1.9,7.5,9.6,1.0,0.0,57.4,41.0,20.0,0.009000000000000001,0.036000000000000004,0.6,0.004,2016,2,17,0,0,0,2,1.0,0.0
2016-02-18,0,24,308575,94.1,1.9,7.5,10.3,4.8,0.0,68.0,45.0,26.0,0.013000000000000001,0.038,0.6,0.005,2016,2,18,0,0,0,3,1.0,0.0
2016-02-19,0,26,308575,94.1,1.4,5.9,8.0,4.5,0.0,58.9,92.0,55.0,0.006,0.046,0.9,0.006,2016,2,19,0,0,0,4,1.0,0.0
2016-02-20,0,42,308575,94.1,2.2,6.8,9.9,3.3,0.0,40.6,54.0,28.0,0.015,0.028999999999999998,0.6,0.004,2016,2,20,0,0,0,5,0.0,1.0
2016-02-21,0,14,308575,94.1,2.4,8.1,9.9,0.9,0.0,37.6,28.0,14.0,0.022000000000000002,0.016,0.4,0.005,2016,2,21,0,0,0,6,0.0,1.0
2016-02-22,0,26,308575,94.1,1.5,4.6,5.5,2.4,0.0,37.5,46.0,22.0,0.006999999999999999,0.042,0.6,0.005,2016,2,22,0,0,0,0,1.0,0.0
2016-02-23,0,26,308575,94.1,2.3,8.2,12.9,2.2,0.0,58.8,56.0,34.0,0.015,0.028999999999999998,0.6,0.004,2016,2,23,0,0,0,1,1.0,0.0
2016-02-24,0,31,308575,94.1,2.2,6.4,8.4,-1.4,0.0,43.9,37.0,22.0,0.016,0.026000000000000002,0.5,0.003,2016,2,24,0,0,0,2,1.0,0.0
2016-02-25,0,37,308575,94.1,2.8,9.0,13.0,0.9,0.0,49.0,54.0,33.0,0.013999999999999999,0.035,0.7,0.006,2016,2,25,0,0,0,3,1.0,0.0
2016-02-26,0,42,308575,94.1,1.8,7.4,9.9,3.4,0.0,40.8,51.0,34.0,0.017,0.033,0.6,0.006,2016,2,26,0,0,0,4,1.0,0.0
2016-02-27,0,56,308575,94.1,1.9,5.8,7.5,4.7,0.0,62.4,71.0,50.0,0.013000000000000001,0.042,0.6,0.005,2016,2,27,0,0,0,5,0.0,1.0
2016-02-28,0,10,308575,94.1,2.1,7.1,8.8,2.1,2.0,68.2,54.0,39.0,0.011000000000000001,0.039,0.6,0.004,2016,2,28,0,0,0,6,0.0,1.0
2016-02-29,0,11,308575,94.1,2.8,7.1,11.0,-2.0,0.0,49.9,57.0,34.0,0.023,0.017,0.4,0.005,2016,2,29,0,0,0,0,1.0,0.0
2016-03-01,0,36,308437,94.1,2.2,6.4,8.6,-1.4,0.0,45.8,33.0,22.0,0.021,0.022000000000000002,0.4,0.004,2016,3,1,0,0,0,1,1.0,0.0
2016-03-02,0,32,308437,94.1,1.9,7.3,10.9,4.0,0.0,68.5,41.0,26.0,0.015,0.037000000000000005,0.6,0.004,2016,3,2,0,0,0,2,1.0,0.0
