날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-01-01,2,197,323075,93.4,1.5,3.6,4.8,2.6,0.0,74.0,59.0,49.0,0.008,0.042,1.0,0.006,2016,1,1,0,0,0,4,1.0,0.0
2016-01-02,2,286,323075,93.4,1.8,4.6,6.2,6.6,0.0,78.2,45.0,35.0,0.011000000000000001,0.037000000000000005,0.7,0.006,2016,1,2,0,0,0,5,0.0,1.0
2016-01-03,2,223,323075,93.4,1.5,5.0,6.5,7.3,0.0,84.0,88.0,68.0,0.017,0.04,0.8,0.006999999999999999,2016,1,3,0,0,0,6,0.0,1.0
2016-01-04,2,305,323075,93.4,4.0,7.9,10.1,2.4,0.0,57.4,74.0,57.0,0.024,0.026000000000000002,0.7,0.006,2016,1,4,0,0,0,0,1.0,0.0
2016-01-05,2,266,323075,93.4,3.1,6.6,32.8,-2.4,0.0,45.9,26.0,19.0,0.018000000000000002,0.021,0.4,0.005,2016,1,5,0,0,0,1,1.0,0.0
2016-01-06,2,307,323075,93.4,2.4,5.9,19.8,-0.3,0.0,57.6,43.0,30.0,0.006,0.038,0.7,0.006,2016,1,6,0,0,0,2,1.0,0.0
2016-01-07,2,275,323075,93.4,3.2,6.6,7.9,-2.6,0.0,55.6,31.0,21.0,0.016,0.024,0.5,0.006,2016,1,7,0,0,0,3,1.0,0.0
2016-01-08,2,241,323075,93.4,3.6,7.6,10.5,-0.7,0.0,46.5,25.0,17.0,0.015,0.026000000000000002,0.5,0.006,2016,1,8,0,0,0,4,1.0,0.0
2016-01-09,2,153,323075,93.4,2.4,7.2,9.7,-1.5,0.0,63.0,28.0,20.0,0.015,0.027000000000000003,0.5,0.006,2016,1,9,0,0,0,5,0.0,1.0
2016-01-10,2,213,323075,93.4,3.2,6.9,9.4,1.1,0.0,47.3,29.0,21.0,0.02,0.024,0.5,0.006,2016,1,10,0,0,0,6,0.0,1.0
2016-01-11,2,251,323075,93.4,3.6,6.7,8.3,-3.0,0.0,42.0,32.0,22.0,0.017,0.025,0.5,0.006,2016,1,11,0,0,0,0,1.0,0.0
2016-01-12,2,241,323075,93.4,2.8,7.1,9.8,-4.6,0.0,49.3,37.0,24.0,0.011000000000000001,0.031,0.6,0.006,2016,1,12,0,0,0,1,1.0,0.0
2016-01-13,2,221,323075,93.4,2.3,7.2,9.7,-3.8,0.0,68.3,28.0,19.0,0.016,0.025,0.5,0.005,2016,1,13,0,0,0,2,1.0,0.0
2016-01-14,2,194,323075,93.4,1.8,4.5,6.1,-3.2,0.0,54.0,31.0,21.0,0.013999999999999999,0.028999999999999998,0.5,0.006,2016,1,14,0,0,0,3,1.0,0.0
2016-01-15,2,280,323075,93.4,1.9,4.1,5.1,0.6,0.0,58.0,41.0,29.0,0.008,0.04,0.7,0.006999999999999999,2016,1,15,0,0,0,4,1.0,0.0
2016-01-16,2,193,323075,93.4,2.7,5.5,6.9,1.0,0.0,68.1,62.0,48.0,0.005,0.043,0.8,0.006,2016,1,16,0,0,0,5,0.0,1.0
2016-01-17,2,208,323075,93.4,2.4,5.3,7.0,2.8,0.0,67.1,63.0,50.0,0.008,0.040999999999999995,0.8,0.006,2016,1,17,0,0,0,6,0.0,1.0
2016-01-18,2,197,323075,93.4,5.2,12.3,15.1,-2.6,0.0,71.1,46.0,33.0,0.019,0.021,0.6,0.005,2016,1,18,0,0,0,0,1.0,0.0
2016-01-19,2,129,323075,93.4,6.1,11.2,14.4,-10.6,0.0,46.9,22.0,12.0,0.022000000000000002,0.015,0.4,0.005,2016,1,19,0,0,0,1,1.0,0.0
2016-01-20,2,158,323075,93.4,2.6,5.2,7.1,-9.9,0.0,48.4,28.0,21.0,0.015,0.024,0.5,0.005,2016,1,20,0,0,0,2,1.0,0.0
2016-01-21,2,192,323075,93.4,2.5,5.0,7.1,-6.2,0.0,49.4,36.0,26.0,0.013000000000000001,0.028999999999999998,0.6,0.005,2016,1,21,0,0,0,3,1.0,0.0
2016-01-22,2,186,323075,93.4,3.2,6.3,8.3,-6.9,0.0,45.6,35.0,25.0,0.013999999999999999,0.027000000000000003,0.6,0.006,2016,1,22,0,0,0,4,1.0,0.0
2016-01-23,2,97,323075,93.4,5.2,10.2,13.1,-10.2,0.0,45.4,22.0,14.0,0.024,0.013999999999999999,0.4,0.005,2016,1,23,0,0,0,5,0.0,1.0
2016-01-24,2,50,323075,93.4,4.3,7.8,10.3,-13.7,0.0,51.9,29.0,19.0,0.023,0.013000000000000001,0.4,0.006,2016,1,24,0,0,0,6,0.0,1.0
2016-01-25,2,162,323075,93.4,2.4,5.2,7.0,-8.6,0.0,50.9,34.0,16.0,0.015,0.026000000000000002,0.5,0.006,2016,1,25,0,0,0,0,1.0,0.0
2016-01-26,2,147,323075,93.4,2.1,6.6,8.5,-2.8,0.0,68.8,61.0,39.0,0.004,0.049,0.9,0.008,2016,1,26,0,0,0,1,1.0,0.0
2016-01-27,2,234,323075,93.4,2.2,6.0,7.2,0.0,0.0,59.6,49.0,32.0,0.011000000000000001,0.04,0.8,0.006999999999999999,2016,1,27,0,0,0,2,1.0,0.0
2016-01-28,2,282,323075,93.4,1.6,4.9,5.4,0.7,0.0,56.3,45.0,30.0,0.005,0.049,0.9,0.006,2016,1,28,0,0,0,3,1.0,0.0
2016-01-29,2,263,323075,93.4,1.7,5.1,6.7,2.9,0.0,47.7,39.0,26.0,0.009000000000000001,0.04,0.8,0.006999999999999999,2016,1,29,0,0,0,4,1.0,0.0
2016-01-30,2,223,323075,93.4,2.1,5.6,19.9,1.1,0.0,64.9,37.0,27.0,0.009000000000000001,0.04,0.9,0.006,2016,1,30,0,0,0,5,0.0,1.0
2016-01-31,2,112,323075,93.4,3.7,7.3,9.1,-3.2,0.0,39.3,29.0,20.0,0.026000000000000002,0.017,0.4,0.005,2016,1,31,0,0,0,6,0.0,1.0
2016-02-01,2,203,323077,93.6,2.2,5.8,6.1,-4.2,0.0,33.4,29.0,18.0,0.02,0.022000000000000002,0.5,0.006,2016,2,1,0,0,0,0,1.0,0.0
2016-02-02,2,205,323077,93.6,2.1,5.0,5.9,-1.3,0.0,37.3,32.0,21.0,0.016,0.03,0.5,0.006,2016,2,2,0,0,0,1,1.0,0.0
2016-02-03,2,251,323077,93.6,1.6,5.8,7.0,-1.7,0.0,52.4,45.0,32.0,0.009000000000000001,0.049,0.9,0.006999999999999999,2016,2,3,0,0,0,2,1.0,0.0
2016-02-04,2,251,323077,93.6,2.0,6.3,8.8,0.8,0.0,54.1,45.0,33.0,0.013999999999999999,0.038,0.8,0.006999999999999999,2016,2,4,0,0,0,3,1.0,0.0
2016-02-05,2,246,323077,93.6,1.9,6.4,8.6,-0.7,0.0,40.6,33.0,20.0,0.018000000000000002,0.032,0.6,0.006,2016,2,5,0,0,0,4,1.0,0.0
2016-02-06,2,131,323077,93.6,2.0,6.5,8.4,-0.9,0.0,39.9,38.0,24.0,0.024,0.021,0.5,0.006,2016,2,6,0,0,0,5,0.0,1.0
2016-02-07,2,85,323077,93.6,1.7,5.5,6.9,-1.5,0.0,46.5,34.0,23.0,0.016,0.028999999999999998,0.6,0.006,2016,2,7,0,0,0,6,0.0,1.0
2016-02-08,2,70,323077,93.6,2.3,8.8,11.5,2.0,0.0,62.2,63.0,41.0,0.028999999999999998,0.024,0.6,0.008,2016,2,8,0,0,0,0,1.0,0.0
2016-02-09,2,144,323077,93.6,2.7,7.2,9.8,2.2,0.0,51.9,37.0,25.0,0.027000000000000003,0.019,0.5,0.006999999999999999,2016,2,9,0,0,0,1,1.0,0.0
2016-02-10,2,258,323077,93.6,1.4,3.2,4.2,3.3,0.0,45.1,32.0,23.0,0.009000000000000001,0.042,0.8,0.006,2016,2,10,0,0,0,2,1.0,0.0
2016-02-11,2,301,323077,93.6,1.9,3.9,5.8,8.0,0.0,36.8,37.0,25.0,0.009000000000000001,0.043,0.6,0.006,2016,2,11,0,0,0,3,1.0,0.0
2016-02-12,2,91,323077,93.6,1.6,3.8,5.5,9.1,17.0,93.2,34.0,23.0,0.01,0.036000000000000004,0.7,0.005,2016,2,12,0,0,0,4,1.0,0.0
2016-02-13,2,129,323077,93.6,1.8,8.8,11.4,12.1,20.5,95.8,15.0,11.0,0.006,0.028999999999999998,0.6,0.004,2016,2,13,0,0,0,5,0.0,1.0
2016-02-14,2,102,323077,93.6,4.2,8.5,11.9,-0.4,0.5,76.8,26.0,18.0,0.023,0.013999999999999999,0.4,0.004,2016,2,14,0,0,0,6,0.0,1.0
2016-02-15,2,170,323077,93.6,2.8,9.1,12.3,-4.7,0.0,50.3,23.0,12.0,0.025,0.017,0.4,0.004,2016,2,15,0,0,0,0,1.0,0.0
2016-02-16,2,168,323077,93.6,2.1,7.9,10.8,-1.2,1.0,68.0,23.0,16.0,0.016,0.026000000000000002,0.5,0.005,2016,2,16,0,0,0,1,1.0,0.0
2016-02-17,2,248,323077,93.6,1.9,7.5,9.6,1.0,0.0,57.4,28.0,15.0,0.013000000000000001,0.032,0.5,0.005,2016,2,17,0,0,0,2,1.0,0.0
2016-02-18,2,295,323077,93.6,1.9,7.5,10.3,4.8,0.0,68.0,37.0,24.0,0.022000000000000002,0.031,0.6,0.006,2016,2,18,0,0,0,3,1.0,0.0
2016-02-19,2,285,323077,93.6,1.4,5.9,8.0,4.5,0.0,58.9,68.0,42.0,0.006999999999999999,0.040999999999999995,0.9,0.006999999999999999,2016,2,19,0,0,0,4,1.0,0.0
2016-02-20,2,229,323077,93.6,2.2,6.8,9.9,3.3,0.0,40.6,31.0,18.0,0.02,0.027999999999999997,0.5,0.005,2016,2,20,0,0,0,5,0.0,1.0
2016-02-21,2,201,323077,93.6,2.4,8.1,9.9,0.9,0.0,37.6,22.0,13.0,0.027999999999999997,0.017,0.4,0.005,2016,2,21,0,0,0,6,0.0,1.0
2016-02-22,2,268,323077,93.6,1.5,4.6,5.5,2.4,0.0,37.5,32.0,18.0,0.013000000000000001,0.034,0.5,0.005,2016,2,22,0,0,0,0,1.0,0.0
2016-02-23,2,237,323077,93.6,2.3,8.2,12.9,2.2,0.0,58.8,47.0,31.0,0.021,0.024,0.5,0.005,2016,2,23,0,0,0,1,1.0,0.0
2016-02-24,2,218,323077,93.6,2.2,6.4,8.4,-1.4,0.0,43.9,25.0,17.0,0.023,0.021,0.5,0.005,2016,2,24,0,0,0,2,1.0,0.0
