날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-01-01,10,39,103841,95.2,0.8,2.7,3.0,1.5,0.0,67.0,61.0,35.0,0.005,0.065,0.8,0.006999999999999999,2016,1,1,0,0,0,4,1.0,0.0
2016-01-02,10,50,103841,95.2,1.1,2.9,3.3,5.6,0.0,56.33333333,47.0,25.0,0.006999999999999999,0.064,0.6,0.006999999999999999,2016,1,2,0,0,0,5,0.0,1.0
2016-01-03,10,46,103841,95.2,1.3,5.0,5.7,6.4,0.0,64.73333333,86.0,50.0,0.016,0.064,0.5,0.009000000000000001,2016,1,3,0,0,0,6,0.0,1.0
2016-01-04,10,72,103841,95.2,3.2,6.1,7.5,1.2,0.0,58.03333333,70.0,38.0,0.026000000000000002,0.032,0.4,0.006999999999999999,2016,1,4,0,0,0,0,1.0,0.0
2016-01-05,10,58,103841,95.2,2.4,5.5,6.3,-3.6,0.0,39.93333333,30.0,13.0,0.02,0.027999999999999997,0.2,0.006999999999999999,2016,1,5,0,0,0,1,1.0,0.0
2016-01-06,10,60,103841,95.2,2.0,6.0,6.8,-1.7,0.0,65.72499913,63.0,24.0,0.008,0.046,0.5,0.008,2016,1,6,0,0,0,2,1.0,0.0
2016-01-07,10,54,103841,95.2,2.8,5.9,6.9,-3.8,0.0,41.98693133,39.0,19.0,0.016,0.027000000000000003,0.3,0.006999999999999999,2016,1,7,0,0,0,3,1.0,0.0
2016-01-08,10,63,103841,95.2,3.2,7.2,8.2,-2.3,0.0,45.26666667,32.0,14.0,0.017,0.027000000000000003,0.3,0.006999999999999999,2016,1,8,0,0,0,4,1.0,0.0
2016-01-09,10,38,103841,95.2,2.3,5.3,6.9,-2.7,0.0,50.93333333,34.0,17.0,0.016,0.031,0.4,0.006999999999999999,2016,1,9,0,0,0,5,0.0,1.0
2016-01-10,10,35,103841,95.2,2.9,6.9,8.0,-0.1,0.0,47.33333333,30.0,16.0,0.023,0.024,0.4,0.006999999999999999,2016,1,10,0,0,0,6,0.0,1.0
2016-01-11,10,66,103841,95.2,2.6,6.7,7.5,-3.9,0.0,50.43325935,40.0,20.0,0.019,0.027000000000000003,0.4,0.006999999999999999,2016,1,11,0,0,0,0,1.0,0.0
2016-01-12,10,61,103841,95.2,1.9,5.9,6.9,-5.4,0.0,37.76666667,47.0,20.0,0.011000000000000001,0.038,0.5,0.006999999999999999,2016,1,12,0,0,0,1,1.0,0.0
2016-01-13,10,47,103841,95.2,2.2,8.1,9.0,-4.9,0.5,41.0,35.0,16.0,0.015,0.032,0.4,0.006999999999999999,2016,1,13,0,0,0,2,1.0,0.0
2016-01-14,10,52,103841,95.2,1.5,6.8,7.6,-4.3,0.0,44.36666667,42.0,18.0,0.013000000000000001,0.038,0.5,0.008,2016,1,14,0,0,0,3,1.0,0.0
2016-01-15,10,68,103841,95.2,2.1,4.4,4.9,-0.8,0.0,57.7,47.0,24.0,0.008,0.051,0.7,0.008,2016,1,15,0,0,0,4,1.0,0.0
2016-01-16,10,42,103841,95.2,3.9,6.1,6.5,-0.9,0.0,64.66666667,67.0,35.0,0.004,0.055,0.9,0.006999999999999999,2016,1,16,0,0,0,5,0.0,1.0
2016-01-17,10,45,103841,95.2,3.5,7.0,7.4,1.1,0.0,63.56666667,71.0,42.0,0.005,0.055,0.9,0.006999999999999999,2016,1,17,0,0,0,6,0.0,1.0
2016-01-18,10,40,103841,95.2,4.9,11.4,13.8,-6.4,0.0,47.8,57.0,27.0,0.021,0.024,0.6,0.006,2016,1,18,0,0,0,0,1.0,0.0
2016-01-19,10,31,103841,95.2,5.7,11.4,14.6,-13.6,0.0,46.63333333,41.0,12.0,0.024,0.016,0.3,0.006,2016,1,19,0,0,0,1,1.0,0.0
2016-01-20,10,38,103841,95.2,2.0,5.7,7.0,-11.1,0.0,44.0,35.0,18.0,0.018000000000000002,0.026000000000000002,0.4,0.006,2016,1,20,0,0,0,2,1.0,0.0
2016-01-21,10,45,103841,95.2,1.7,5.4,6.0,-7.3,0.0,44.39755212,45.0,23.0,0.013000000000000001,0.037000000000000005,0.6,0.006999999999999999,2016,1,21,0,0,0,3,1.0,0.0
2016-01-22,10,53,103841,95.2,2.5,8.6,10.5,-8.1,0.0,46.8,49.0,25.0,0.016,0.031,0.6,0.006999999999999999,2016,1,22,0,0,0,4,1.0,0.0
2016-01-23,10,12,103841,95.2,4.5,9.8,12.8,-11.9,0.0,42.1608403,32.0,11.0,0.026000000000000002,0.013999999999999999,0.4,0.006999999999999999,2016,1,23,0,0,0,5,0.0,1.0
2016-01-24,10,9,103841,95.2,3.5,7.8,9.2,-15.4,0.0,46.95533082,39.0,18.0,0.024,0.015,0.4,0.006999999999999999,2016,1,24,0,0,0,6,0.0,1.0
2016-01-25,10,41,103841,95.2,2.1,5.4,6.1,-10.1,0.0,41.51250004,50.0,16.0,0.016,0.03,0.5,0.006999999999999999,2016,1,25,0,0,0,0,1.0,0.0
2016-01-26,10,45,103841,95.2,2.0,4.9,6.8,-4.8,0.0,54.57499993,78.0,34.0,0.004,0.061,1.2,0.009000000000000001,2016,1,26,0,0,0,1,1.0,0.0
2016-01-27,10,74,103841,95.2,2.1,5.6,6.1,-1.0,0.0,67.93333333,59.0,27.0,0.012,0.046,0.9,0.009000000000000001,2016,1,27,0,0,0,2,1.0,0.0
2016-01-28,10,74,103841,95.2,2.4,5.7,6.3,-0.8,0.0,50.43333333,52.0,24.0,0.005,0.055999999999999994,1.1,0.006999999999999999,2016,1,28,0,0,0,3,1.0,0.0
2016-01-29,10,62,103841,95.2,3.5,6.1,6.9,1.6,0.0,42.63333333,44.0,22.0,0.01,0.044000000000000004,0.9,0.008,2016,1,29,0,0,0,4,1.0,0.0
2016-01-30,10,43,103841,95.2,2.7,5.5,6.6,0.7,0.0,36.63333333,41.0,22.0,0.01,0.046,1.1,0.006999999999999999,2016,1,30,0,0,0,5,0.0,1.0
2016-01-31,10,23,103841,95.2,3.1,6.3,7.3,-4.4,0.0,42.12753465,38.0,19.0,0.026000000000000002,0.019,0.6,0.006999999999999999,2016,1,31,0,0,0,6,0.0,1.0
2016-02-01,10,47,103743,95.3,2.2,5.8,6.1,-4.2,0.0,33.4,37.0,17.0,0.023,0.023,0.7,0.006999999999999999,2016,2,1,0,0,0,0,1.0,0.0
2016-02-02,10,61,103743,95.3,2.1,5.0,5.9,-1.3,0.0,37.3,42.0,14.0,0.016,0.038,0.7,0.008,2016,2,2,0,0,0,1,1.0,0.0
2016-02-03,10,60,103743,95.3,1.6,5.8,7.0,-1.7,0.0,52.4,54.0,24.0,0.009000000000000001,0.063,1.1,0.009000000000000001,2016,2,3,0,0,0,2,1.0,0.0
