날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-07-18,7,3,190841,94.7,1.3,4.2,5.3,24.6,0.0,77.0,30.0,18.0,0.013999999999999999,0.025,0.3,0.005,2016,7,18,0,0,0,0,1.0,0.0
2016-07-19,7,42,190841,94.7,1.8,4.7,6.1,27.2,0.0,70.4,38.0,23.0,0.037000000000000005,0.025,0.3,0.004,2016,7,19,0,0,0,1,1.0,0.0
2016-07-20,7,105,190841,94.7,2.1,4.8,6.9,28.9,0.0,65.5,35.0,22.0,0.040999999999999995,0.021,0.3,0.004,2016,7,20,0,0,0,2,1.0,0.0
2016-07-21,7,122,190841,94.7,2.1,4.5,6.4,28.4,0.0,66.1,32.0,20.0,0.039,0.022000000000000002,0.3,0.004,2016,7,21,0,0,0,3,1.0,0.0
2016-07-22,7,134,190841,94.7,1.9,5.4,8.1,29.8,0.0,65.4,35.0,23.0,0.037000000000000005,0.024,0.3,0.004,2016,7,22,0,0,0,4,1.0,0.0
2016-07-23,7,145,190841,94.7,1.5,4.4,6.1,29.4,0.0,72.2,45.0,30.0,0.025,0.024,0.3,0.004,2016,7,23,0,0,0,5,0.0,1.0
2016-07-24,7,152,190841,94.7,1.3,4.0,5.1,28.7,1.0,80.6,43.0,27.0,0.015,0.018000000000000002,0.2,0.004,2016,7,24,0,0,0,6,0.0,1.0
2016-07-25,7,199,190841,94.7,1.3,4.4,5.7,29.1,0.0,77.4,47.0,33.0,0.018000000000000002,0.023,0.2,0.005,2016,7,25,0,0,0,0,1.0,0.0
2016-07-26,7,183,190841,94.7,1.9,7.1,8.7,29.0,0.0,72.3,37.0,26.0,0.013000000000000001,0.018000000000000002,0.2,0.004,2016,7,26,0,0,0,1,1.0,0.0
2016-07-27,7,102,190841,94.7,1.3,4.9,8.7,28.4,1.0,77.8,39.0,26.0,0.016,0.018000000000000002,0.2,0.004,2016,7,27,0,0,0,2,1.0,0.0
2016-07-28,7,164,190841,94.7,2.1,7.2,9.5,28.8,0.0,72.7,55.0,40.0,0.036000000000000004,0.022000000000000002,0.4,0.004,2016,7,28,0,0,0,3,1.0,0.0
2016-07-29,7,94,190841,94.7,1.5,4.7,6.2,26.7,40.0,85.9,50.0,37.0,0.017,0.027999999999999997,0.5,0.004,2016,7,29,0,0,0,4,1.0,0.0
2016-07-30,7,184,190841,94.7,1.3,4.7,6.2,29.5,2.0,76.8,50.0,36.0,0.026000000000000002,0.023,0.3,0.004,2016,7,30,0,0,0,5,0.0,1.0
2016-07-31,7,220,190841,94.7,1.9,6.6,9.0,29.7,0.0,73.8,42.0,32.0,0.013999999999999999,0.015,0.3,0.004,2016,7,31,0,0,0,6,0.0,1.0
2016-08-01,7,212,190485,95.0,1.8,5.8,7.2,28.6,0.0,74.3,36.0,25.0,0.011000000000000001,0.022000000000000002,0.3,0.004,2016,8,1,0,0,0,0,1.0,0.0
2016-08-02,7,124,190485,95.0,1.5,6.4,8.8,28.1,0.0,74.3,32.0,20.0,0.009000000000000001,0.023,0.3,0.004,2016,8,2,0,0,0,1,1.0,0.0
2016-08-03,7,187,190485,95.0,1.6,3.8,4.8,29.6,0.0,67.9,31.0,20.0,0.02,0.026000000000000002,0.3,0.004,2016,8,3,0,0,0,2,1.0,0.0
2016-08-04,7,174,190485,95.0,1.9,4.8,6.2,31.3,0.0,64.1,33.0,21.0,0.034,0.018000000000000002,0.3,0.004,2016,8,4,0,0,0,3,1.0,0.0
2016-08-05,7,168,190485,95.0,1.8,4.5,6.1,31.9,0.0,60.3,38.0,26.0,0.040999999999999995,0.027000000000000003,0.4,0.004,2016,8,5,0,0,0,4,1.0,0.0
2016-08-06,7,207,190485,95.0,1.7,4.3,6.1,31.4,0.0,66.5,55.0,42.0,0.052000000000000005,0.028999999999999998,0.5,0.004,2016,8,6,0,0,0,5,0.0,1.0
2016-08-07,7,225,190485,95.0,1.9,5.6,7.1,31.7,0.0,60.2,35.0,26.0,0.037000000000000005,0.022000000000000002,0.4,0.004,2016,8,7,0,0,0,6,0.0,1.0
2016-08-08,7,212,190485,95.0,1.8,4.8,6.5,31.1,0.0,66.1,38.0,27.0,0.028999999999999998,0.022000000000000002,0.4,0.004,2016,8,8,0,0,0,0,1.0,0.0
2016-08-09,7,137,190485,95.0,1.9,5.7,7.9,30.1,0.0,68.5,36.0,26.0,0.037000000000000005,0.021,0.4,0.004,2016,8,9,0,0,0,1,1.0,0.0
2016-08-10,7,189,190485,95.0,1.8,5.8,8.0,30.6,0.0,68.6,79.0,50.0,0.035,0.03,0.5,0.005,2016,8,10,0,0,0,2,1.0,0.0
2016-08-11,7,194,190485,95.0,1.6,4.3,6.0,31.4,0.0,64.3,30.0,22.0,0.025,0.022000000000000002,0.4,0.004,2016,8,11,0,0,0,3,1.0,0.0
2016-08-12,7,222,190485,95.0,1.8,5.3,7.1,31.3,0.0,68.6,41.0,30.0,0.024,0.022000000000000002,0.4,0.004,2016,8,12,0,0,0,4,1.0,0.0
2016-08-13,7,242,190485,95.0,2.3,6.4,8.0,31.0,0.0,69.8,38.0,28.0,0.019,0.016,0.3,0.004,2016,8,13,0,0,0,5,0.0,1.0
2016-08-14,7,257,190485,95.0,1.5,4.3,6.4,29.5,3.0,78.6,37.0,30.0,0.018000000000000002,0.013999999999999999,0.3,0.004,2016,8,14,0,0,0,6,0.0,1.0
2016-08-15,7,301,190485,95.0,1.8,5.1,6.4,30.1,0.0,68.6,37.0,26.0,0.03,0.019,0.4,0.004,2016,8,15,0,0,0,0,1.0,0.0
2016-08-16,7,226,190485,95.0,1.6,5.3,7.1,30.5,0.0,65.4,42.0,29.0,0.037000000000000005,0.024,0.5,0.005,2016,8,16,0,0,0,1,1.0,0.0
2016-08-17,7,229,190485,95.0,1.7,4.3,6.0,30.4,0.0,64.1,38.0,26.0,0.037000000000000005,0.024,0.4,0.004,2016,8,17,0,0,0,2,1.0,0.0
2016-08-18,7,266,190485,95.0,1.5,4.4,6.3,29.4,9.5,70.6,50.0,37.0,0.048,0.031,0.5,0.004,2016,8,18,0,0,0,3,1.0,0.0
2016-08-19,7,192,190485,95.0,1.6,3.7,5.2,29.6,1.5,73.7,56.0,41.0,0.04,0.035,0.5,0.005,2016,8,19,0,0,0,4,1.0,0.0
2016-08-20,7,295,190485,95.0,2.1,4.1,5.5,30.6,0.0,63.6,29.0,22.0,0.04,0.018000000000000002,0.4,0.004,2016,8,20,0,0,0,5,0.0,1.0
2016-08-21,7,254,190485,95.0,2.0,4.4,5.6,30.8,0.0,61.5,28.0,18.0,0.047,0.018000000000000002,0.3,0.004,2016,8,21,0,0,0,6,0.0,1.0
2016-08-22,7,232,190485,95.0,1.8,5.0,6.0,30.5,0.0,63.7,28.0,20.0,0.043,0.021,0.3,0.004,2016,8,22,0,0,0,0,1.0,0.0
