날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-01-01,9,93,128540,94.5,0.3,3.0,4.5,2.8,0.0,66.9,68.0,51.0,0.005,0.047,0.7,0.006,2016,1,1,0,0,0,4,1.0,0.0
2016-01-02,9,125,128540,94.5,0.2,3.6,5.2,7.3,0.0,69.5,53.0,37.0,0.006999999999999999,0.044000000000000004,0.5,0.006,2016,1,2,0,0,0,5,0.0,1.0
2016-01-03,9,129,128540,94.5,0.3,3.0,4.2,8.1,0.0,75.3,98.0,68.0,0.015,0.044000000000000004,0.6,0.006999999999999999,2016,1,3,0,0,0,6,0.0,1.0
2016-01-04,9,174,128540,94.5,1.4,5.2,7.1,3.7,0.0,52.8,84.0,58.0,0.02,0.022000000000000002,0.4,0.006,2016,1,4,0,0,0,0,1.0,0.0
2016-01-05,9,189,128540,94.5,0.9,4.1,5.9,-1.1,0.0,36.9,29.0,18.0,0.006,0.022000000000000002,0.3,0.005,2016,1,5,0,0,0,1,1.0,0.0
2016-01-06,9,181,128540,94.5,0.6,3.8,5.2,0.1,0.0,50.1,50.0,31.0,0.002,0.04,0.5,0.006,2016,1,6,0,0,0,2,1.0,0.0
2016-01-07,9,190,128540,94.5,1.3,4.6,6.9,-1.7,0.0,47.0,37.0,23.0,0.006,0.022000000000000002,0.3,0.005,2016,1,7,0,0,0,3,1.0,0.0
2016-01-08,9,168,128540,94.5,0.9,3.9,6.0,-1.5,0.0,45.5,34.0,22.0,0.006,0.026000000000000002,0.3,0.005,2016,1,8,0,0,0,4,1.0,0.0
2016-01-09,9,114,128540,94.5,1.0,3.9,6.1,-0.5,0.0,52.8,35.0,22.0,0.005,0.027000000000000003,0.3,0.005,2016,1,9,0,0,0,5,0.0,1.0
2016-01-10,9,95,128540,94.5,1.0,5.5,7.4,2.0,0.0,41.4,32.0,23.0,0.009000000000000001,0.02,0.3,0.005,2016,1,10,0,0,0,6,0.0,1.0
2016-01-11,9,183,128540,94.5,1.1,3.4,5.5,-2.2,0.0,34.4,38.0,27.0,0.006999999999999999,0.023,0.3,0.005,2016,1,11,0,0,0,0,1.0,0.0
2016-01-12,9,162,128540,94.5,1.0,3.9,5.8,-3.6,0.0,40.0,46.0,30.0,0.003,0.033,0.4,0.004,2016,1,12,0,0,0,1,1.0,0.0
2016-01-13,9,144,128540,94.5,1.0,4.5,6.4,-3.1,0.0,57.8,38.0,25.0,0.004,0.031,0.4,0.004,2016,1,13,0,0,0,2,1.0,0.0
2016-01-14,9,143,128540,94.5,0.5,4.0,5.8,-2.4,0.0,45.9,43.0,26.0,0.004,0.034,0.4,0.005,2016,1,14,0,0,0,3,1.0,0.0
2016-01-15,9,174,128540,94.5,0.3,3.1,4.0,1.2,0.0,50.5,52.0,40.0,0.005,0.048,0.5,0.006,2016,1,15,0,0,0,4,1.0,0.0
2016-01-16,9,101,128540,94.5,0.6,2.9,4.6,1.6,0.0,60.3,76.0,66.0,0.004,0.051,0.6,0.006,2016,1,16,0,0,0,5,0.0,1.0
2016-01-17,9,97,128540,94.5,0.2,2.4,3.6,3.3,0.0,60.3,77.0,71.0,0.005,0.049,0.7,0.005,2016,1,17,0,0,0,6,0.0,1.0
2016-01-18,9,101,128540,94.5,2.4,6.9,12.0,-4.3,0.0,55.9,54.0,42.0,0.019,0.023,0.4,0.004,2016,1,18,0,0,0,0,1.0,0.0
2016-01-19,9,85,128540,94.5,2.9,6.5,10.9,-11.4,0.0,42.2,32.0,13.0,0.022000000000000002,0.013999999999999999,0.2,0.004,2016,1,19,0,0,0,1,1.0,0.0
2016-01-20,9,93,128540,94.5,1.1,3.4,4.9,-9.1,0.0,39.9,36.0,26.0,0.013999999999999999,0.027000000000000003,0.3,0.004,2016,1,20,0,0,0,2,1.0,0.0
2016-01-21,9,111,128540,94.5,0.9,3.9,5.3,-5.6,0.0,41.0,50.0,38.0,0.01,0.036000000000000004,0.5,0.005,2016,1,21,0,0,0,3,1.0,0.0
2016-01-22,9,118,128540,94.5,1.2,4.3,5.8,-6.0,0.0,37.3,52.0,37.0,0.013000000000000001,0.03,0.4,0.005,2016,1,22,0,0,0,4,1.0,0.0
2016-01-23,9,49,128540,94.5,2.1,5.8,9.8,-9.8,0.0,38.5,30.0,15.0,0.023,0.012,0.2,0.004,2016,1,23,0,0,0,5,0.0,1.0
2016-01-24,9,33,128540,94.5,1.7,4.6,7.2,-13.3,0.0,43.7,39.0,23.0,0.022000000000000002,0.013000000000000001,0.3,0.004,2016,1,24,0,0,0,6,0.0,1.0
2016-01-25,9,95,128540,94.5,0.9,3.9,6.0,-8.3,0.0,43.3,49.0,19.0,0.013999999999999999,0.027000000000000003,0.3,0.004,2016,1,25,0,0,0,0,1.0,0.0
2016-01-26,9,127,128540,94.5,0.5,4.0,6.5,-2.0,0.0,58.0,77.0,50.0,0.004,0.053,0.7,0.006999999999999999,2016,1,26,0,0,0,1,1.0,0.0
2016-01-27,9,153,128540,94.5,0.7,3.7,6.3,0.7,0.0,50.8,54.0,37.0,0.011000000000000001,0.042,0.6,0.006,2016,1,27,0,0,0,2,1.0,0.0
2016-01-28,9,163,128540,94.5,0.2,2.7,4.1,1.1,0.0,48.7,53.0,35.0,0.005,0.053,0.7,0.006,2016,1,28,0,0,0,3,1.0,0.0
2016-01-29,9,160,128540,94.5,0.3,2.8,4.4,4.0,0.0,39.0,49.0,33.0,0.006999999999999999,0.042,0.5,0.006,2016,1,29,0,0,0,4,1.0,0.0
2016-01-30,9,126,128540,94.5,0.9,3.8,5.8,2.5,0.0,55.8,38.0,27.0,0.008,0.038,0.5,0.005,2016,1,30,0,0,0,5,0.0,1.0
