날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-07-18,5,1,410842,93.9,1.3,4.2,5.3,24.6,0.0,77.0,23.0,12.0,0.022000000000000002,0.025,0.4,0.005,2016,7,18,0,0,0,0,1.0,0.0
2016-07-19,5,19,410842,93.9,1.8,4.7,6.1,27.2,0.0,70.4,34.0,18.0,0.048,0.032,0.5,0.003,2016,7,19,0,0,0,1,1.0,0.0
2016-07-20,5,55,410842,93.9,2.1,4.8,6.9,28.9,0.0,65.5,36.0,20.0,0.043,0.04,0.5,0.003,2016,7,20,0,0,0,2,1.0,0.0
2016-07-21,5,54,410842,93.9,2.1,4.5,6.4,28.4,0.0,66.1,26.0,16.0,0.046,0.027999999999999997,0.4,0.003,2016,7,21,0,0,0,3,1.0,0.0
2016-07-22,5,57,410842,93.9,1.9,5.4,8.1,29.8,0.0,65.4,31.0,18.0,0.047,0.025,0.4,0.003,2016,7,22,0,0,0,4,1.0,0.0
2016-07-23,5,52,410842,93.9,1.5,4.4,6.1,29.4,0.0,72.2,37.0,22.0,0.039,0.017,0.4,0.005,2016,7,23,0,0,0,5,0.0,1.0
2016-07-24,5,58,410842,93.9,1.3,4.0,5.1,28.7,1.0,80.6,39.0,22.0,0.026000000000000002,0.013999999999999999,0.3,0.004,2016,7,24,0,0,0,6,0.0,1.0
2016-07-25,5,105,410842,93.9,1.3,4.4,5.7,29.1,0.0,77.4,47.0,28.0,0.027000000000000003,0.019,0.3,0.005,2016,7,25,0,0,0,0,1.0,0.0
2016-07-26,5,89,410842,93.9,1.9,7.1,8.7,29.0,0.0,72.3,37.0,23.0,0.019,0.016,0.2,0.004,2016,7,26,0,0,0,1,1.0,0.0
2016-07-27,5,93,410842,93.9,1.3,4.9,8.7,28.4,1.0,77.8,37.0,22.0,0.022000000000000002,0.016,0.2,0.004,2016,7,27,0,0,0,2,1.0,0.0
2016-07-28,5,101,410842,93.9,2.1,7.2,9.5,28.8,0.0,72.7,56.0,32.0,0.048,0.02,0.3,0.003,2016,7,28,0,0,0,3,1.0,0.0
2016-07-29,5,48,410842,93.9,1.5,4.7,6.2,26.7,40.0,85.9,54.0,29.0,0.025,0.034,0.4,0.003,2016,7,29,0,0,0,4,1.0,0.0
2016-07-30,5,68,410842,93.9,1.3,4.7,6.2,29.5,2.0,76.8,48.0,29.0,0.036000000000000004,0.02,0.4,0.003,2016,7,30,0,0,0,5,0.0,1.0
2016-07-31,5,87,410842,93.9,1.9,6.6,9.0,29.7,0.0,73.8,44.0,27.0,0.019,0.015,0.3,0.003,2016,7,31,0,0,0,6,0.0,1.0
2016-08-01,5,127,410486,94.4,1.8,5.8,7.2,28.6,0.0,74.3,32.0,19.0,0.012,0.017,0.3,0.003,2016,8,1,0,0,0,0,1.0,0.0
