날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-09-06,8,4,408773,95.6,1.6,5.3,7.1,25.6,0.0,71.6,62.0,39.0,0.022000000000000002,0.031,0.4,0.005,2016,9,6,0,0,0,1,1.0,0.0
2016-09-25,8,0,408773,95.6,1.4,4.6,5.9,23.4,0.0,63.6,45.0,32.0,0.03,0.028999999999999998,0.4,0.004,2016,9,25,0,0,0,6,0.0,1.0
2016-09-28,8,59,408773,95.6,1.3,3.4,4.3,20.8,0.5,86.7,34.0,21.0,0.013000000000000001,0.023,0.4,0.005,2016,9,28,0,0,0,2,1.0,0.0
2016-09-29,8,158,408773,95.6,2.8,5.6,8.7,20.8,0.0,66.6,18.0,8.0,0.013999999999999999,0.017,0.3,0.004,2016,9,29,0,0,0,3,1.0,0.0
2016-09-30,8,144,408773,95.6,1.4,3.4,4.1,21.2,0.0,68.3,30.0,14.0,0.013000000000000001,0.028999999999999998,0.4,0.004,2016,9,30,0,0,0,4,1.0,0.0
2016-10-01,8,288,408143,96.0,1.5,3.5,5.2,21.5,0.0,73.2,46.0,27.0,0.012,0.036000000000000004,0.5,0.005,2016,10,1,0,0,0,5,0.0,1.0
2016-10-02,8,48,408143,96.0,1.9,5.1,6.8,19.5,13.0,85.8,27.0,18.0,0.016,0.021,0.4,0.005,2016,10,2,0,0,0,6,0.0,1.0
2016-10-03,8,344,408143,96.0,1.5,7.8,11.0,23.9,6.5,75.4,18.0,8.0,0.017,0.019,0.4,0.004,2016,10,3,0,0,0,0,1.0,0.0
2016-10-04,8,255,408143,96.0,2.5,6.3,7.9,22.3,0.0,65.0,29.0,13.0,0.023,0.019,0.3,0.004,2016,10,4,0,0,0,1,1.0,0.0
2016-10-05,8,238,408143,96.0,2.4,5.6,8.4,21.9,0.0,64.9,32.0,14.0,0.026000000000000002,0.021,0.4,0.004,2016,10,5,0,0,0,2,1.0,0.0
2016-10-06,8,292,408143,96.0,1.6,4.2,5.1,19.3,0.0,62.4,39.0,18.0,0.023,0.021,0.4,0.005,2016,10,6,0,0,0,3,1.0,0.0
2016-10-07,8,148,408143,96.0,2.2,5.4,8.3,20.2,1.0,70.1,25.0,11.0,0.021,0.023,0.3,0.005,2016,10,7,0,0,0,4,1.0,0.0
2016-10-08,8,285,408143,96.0,2.5,7.3,11.8,17.9,6.0,69.7,22.0,12.0,0.026000000000000002,0.019,0.4,0.005,2016,10,8,0,0,0,5,0.0,1.0
2016-10-09,8,301,408143,96.0,2.1,4.8,6.7,12.4,0.0,48.4,18.0,11.0,0.026000000000000002,0.013999999999999999,0.3,0.004,2016,10,9,0,0,0,6,0.0,1.0
2016-10-10,8,218,408143,96.0,1.7,4.2,5.6,14.4,0.0,45.7,29.0,13.0,0.017,0.028999999999999998,0.4,0.005,2016,10,10,0,0,0,0,1.0,0.0
2016-10-11,8,245,408143,96.0,1.8,5.1,7.2,15.7,0.0,62.9,41.0,21.0,0.016,0.038,0.6,0.005,2016,10,11,0,0,0,1,1.0,0.0
2016-10-12,8,302,408143,96.0,1.5,6.7,7.9,16.6,0.0,61.5,55.0,31.0,0.018000000000000002,0.027000000000000003,0.6,0.005,2016,10,12,0,0,0,2,1.0,0.0
2016-10-13,8,340,408143,96.0,1.6,4.9,5.9,15.8,0.0,47.1,40.0,18.0,0.016,0.032,0.5,0.005,2016,10,13,0,0,0,3,1.0,0.0
2016-10-14,8,373,408143,96.0,1.3,3.4,4.4,17.0,0.0,63.9,73.0,40.0,0.012,0.044000000000000004,0.7,0.005,2016,10,14,0,0,0,4,1.0,0.0
2016-10-15,8,492,408143,96.0,1.5,3.4,5.4,19.1,0.0,65.8,85.0,49.0,0.015,0.043,0.7,0.004,2016,10,15,0,0,0,5,0.0,1.0
2016-10-16,8,246,408143,96.0,1.4,3.2,4.0,17.9,1.0,76.0,56.0,35.0,0.017,0.03,0.6,0.004,2016,10,16,0,0,0,6,0.0,1.0
2016-10-17,8,396,408143,96.0,1.4,4.1,6.4,18.1,0.0,78.3,54.0,32.0,0.019,0.027000000000000003,0.6,0.004,2016,10,17,0,0,0,0,1.0,0.0
