날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-01-01,3,41,259015,94.2,1.2,3.3,4.4,2.1,0.0,68.3,69.0,39.0,0.006999999999999999,0.06,0.9,0.005,2016,1,1,0,0,0,4,1.0,0.0
2016-01-02,3,69,259015,94.2,1.3,3.4,4.2,6.5,0.0,48.03333333,55.0,26.0,0.013000000000000001,0.05,0.7,0.005,2016,1,2,0,0,0,5,0.0,1.0
2016-01-03,3,67,259015,94.2,0.7,2.5,3.5,7.1,0.0,58.6,109.0,53.0,0.017,0.059000000000000004,0.8,0.006,2016,1,3,0,0,0,6,0.0,1.0
2016-01-04,3,63,259015,94.2,2.0,5.1,6.5,2.4,0.0,61.36666667,89.0,43.0,0.027000000000000003,0.028999999999999998,0.6,0.006,2016,1,4,0,0,0,0,1.0,0.0
2016-01-05,3,64,259015,94.2,1.3,3.7,5.2,-2.8,0.0,41.27244892,37.0,17.0,0.018000000000000002,0.03,0.6,0.006,2016,1,5,0,0,0,1,1.0,0.0
2016-01-06,3,64,259015,94.2,1.2,3.3,4.3,-0.8,0.0,59.02500004,57.0,27.0,0.008,0.052000000000000005,0.8,0.006,2016,1,6,0,0,0,2,1.0,0.0
2016-01-07,3,60,259015,94.2,1.5,4.0,5.1,-3.0,0.0,49.82640804,43.0,20.0,0.016,0.034,0.7,0.006,2016,1,7,0,0,0,3,1.0,0.0
2016-01-08,3,55,259015,94.2,1.7,4.1,5.6,-1.1,0.0,45.23333333,34.0,16.0,0.017,0.036000000000000004,0.7,0.006,2016,1,8,0,0,0,4,1.0,0.0
2016-01-09,3,56,259015,94.2,1.2,4.3,5.3,-2.0,0.0,51.06247355,39.0,19.0,0.016,0.037000000000000005,0.7,0.006,2016,1,9,0,0,0,5,0.0,1.0
2016-01-10,3,50,259015,94.2,1.6,4.6,5.7,0.9,0.0,45.23333333,34.0,18.0,0.021,0.034,0.6,0.006,2016,1,10,0,0,0,6,0.0,1.0
2016-01-11,3,57,259015,94.2,1.7,4.3,5.0,-3.0,0.0,49.80977874,43.0,20.0,0.02,0.028999999999999998,0.7,0.006,2016,1,11,0,0,0,0,1.0,0.0
2016-01-12,3,58,259015,94.2,1.5,4.5,5.3,-5.0,0.0,45.37850865,52.0,23.0,0.013999999999999999,0.04,0.6,0.005,2016,1,12,0,0,0,1,1.0,0.0
2016-01-13,3,32,259015,94.2,1.3,4.4,5.8,-4.3,0.0,39.35487321,37.0,18.0,0.015,0.039,0.6,0.004,2016,1,13,0,0,0,2,1.0,0.0
2016-01-14,3,68,259015,94.2,0.8,3.4,4.2,-3.8,0.0,49.5661711,44.0,19.0,0.013999999999999999,0.043,0.7,0.006,2016,1,14,0,0,0,3,1.0,0.0
2016-01-15,3,62,259015,94.2,1.2,3.1,4.4,-0.2,0.0,62.1,48.0,26.0,0.01,0.055,0.7,0.006,2016,1,15,0,0,0,4,1.0,0.0
2016-01-16,3,38,259015,94.2,2.1,4.6,6.4,0.6,0.0,55.2,64.0,37.0,0.015,0.043,0.7,0.005,2016,1,16,0,0,0,5,0.0,1.0
2016-01-17,3,56,259015,94.2,1.7,4.8,6.3,2.4,0.0,63.76666667,68.0,43.0,0.02,0.042,0.7,0.006,2016,1,17,0,0,0,6,0.0,1.0
2016-01-18,3,37,259015,94.2,3.0,8.4,10.9,-5.2,0.0,47.6,59.0,31.0,0.023,0.027000000000000003,0.6,0.004,2016,1,18,0,0,0,0,1.0,0.0
2016-01-19,3,31,259015,94.2,3.5,7.4,9.1,-12.1,0.0,42.71585423,36.0,12.0,0.026000000000000002,0.017,0.6,0.005,2016,1,19,0,0,0,1,1.0,0.0
2016-01-20,3,40,259015,94.2,1.3,3.6,4.5,-10.4,0.0,43.6,36.0,20.0,0.018000000000000002,0.035,0.6,0.005,2016,1,20,0,0,0,2,1.0,0.0
2016-01-21,3,35,259015,94.2,1.2,4.0,5.0,-6.6,0.0,61.74199656,48.0,27.0,0.015,0.046,0.7,0.005,2016,1,21,0,0,0,3,1.0,0.0
2016-01-22,3,48,259015,94.2,1.4,4.1,5.3,-7.4,0.0,52.02598969,48.0,25.0,0.019,0.04,0.7,0.006,2016,1,22,0,0,0,4,1.0,0.0
2016-01-23,3,36,259015,94.2,2.6,6.2,8.7,-10.5,0.0,41.56666667,32.0,13.0,0.027000000000000003,0.021,0.6,0.005,2016,1,23,0,0,0,5,0.0,1.0
2016-01-24,3,25,259015,94.2,2.2,4.8,6.3,-13.9,0.0,46.78509643,40.0,18.0,0.024,0.024,0.6,0.006,2016,1,24,0,0,0,6,0.0,1.0
2016-01-25,3,37,259015,94.2,1.2,3.7,4.7,-9.3,0.0,45.99218792,56.0,16.0,0.016,0.042,0.7,0.005,2016,1,25,0,0,0,0,1.0,0.0
2016-01-26,3,45,259015,94.2,1.4,4.1,5.9,-3.6,0.0,61.52499998,84.0,36.0,0.005,0.081,0.9,0.008,2016,1,26,0,0,0,1,1.0,0.0
2016-01-27,3,61,259015,94.2,1.2,4.0,4.7,-0.6,0.0,71.47499739,62.0,27.0,0.013000000000000001,0.062,0.8,0.006999999999999999,2016,1,27,0,0,0,2,1.0,0.0
2016-01-28,3,66,259015,94.2,1.0,3.2,4.9,-0.1,0.0,46.46666667,52.0,25.0,0.008,0.075,0.8,0.006,2016,1,28,0,0,0,3,1.0,0.0
2016-01-29,3,81,259015,94.2,0.9,3.4,4.5,2.2,0.0,43.1,45.0,22.0,0.013999999999999999,0.05,0.8,0.006,2016,1,29,0,0,0,4,1.0,0.0
