³¯Â¥,Æò±ÕÇ³¼Ó,ÃÖ´ëÇ³¼Ó,¼ø°£ÃÖ°íÇ³¼Ó,±â¿ÂÆò±Õ,°­¼öÀÏ°­¼ö,½ÀµµÆò±Õ
2016-01-01,0.6,2.9,3.8,0.4,0.0,NaN
2016-01-02,1.3,3.7,6.0,6.8,0.0,NaN
2016-01-03,0.3,2.3,2.7,5.2,0.0,NaN
2016-01-04,1.0,4.9,5.5,1.0,0.0,NaN
2016-01-05,0.5,3.8,4.5,-4.6,0.0,NaN
2016-01-06,0.3,2.8,3.2,-3.0,0.0,NaN
2016-01-07,0.6,3.6,4.4,-5.1,0.0,NaN
2016-01-08,1.1,4.3,5.5,-2.8,0.0,NaN
2016-01-09,0.6,3.6,5.0,-4.7,0.0,NaN
2016-01-10,0.8,4.6,5.6,-1.2,0.0,NaN
2016-01-11,0.7,3.6,4.7,-5.3,0.0,NaN
2016-01-12,0.5,3.3,3.7,-7.5,0.0,NaN
2016-01-13,0.5,2.9,4.4,-6.2,0.0,NaN
2016-01-14,0.4,2.7,3.3,-5.8,0.0,NaN
2016-01-15,0.3,3.3,3.7,-3.1,0.0,NaN
2016-01-16,0.3,2.0,2.3,-1.9,0.0,NaN
2016-01-17,0.3,2.8,3.0,-0.1,0.0,NaN
2016-01-18,2.0,7.4,9.4,-5.7,0.0,NaN
2016-01-19,2.1,6.1,9.4,-12.7,0.0,NaN
2016-01-20,0.4,3.0,3.5,-12.7,0.0,NaN
2016-01-21,0.5,3.6,4.2,-8.6,0.0,NaN
2016-01-22,0.6,3.8,4.3,-9.5,0.0,NaN
2016-01-23,1.5,6.2,7.8,-11.0,0.0,NaN
2016-01-24,0.8,4.8,5.8,-15.5,0.0,NaN
2016-01-25,0.5,3.5,4.1,-11.8,0.0,NaN
2016-01-26,0.5,3.2,4.0,-5.3,0.0,NaN
2016-01-27,0.6,3.9,4.6,-3.2,0.0,NaN
2016-01-28,0.4,2.9,3.8,-2.7,0.0,NaN
2016-01-29,0.5,3.2,3.7,0.1,0.0,NaN
2016-01-30,0.5,4.1,4.7,-1.6,0.0,NaN
2016-01-31,0.6,3.7,4.3,-5.2,0.0,NaN
2016-02-01,2.2,5.8,6.1,-4.2,0.0,33.4
