날짜,평균풍속,평균풍향,최대풍속,최대풍향,순간최고풍속,순간최고풍향,기온평균,기온최저,기온최고,강수일강수,습도평균,습도최저,습도최고
2016-01-01,0.8,233,2.7,254,3.0,258,1.5,-2.6,4.0,0.0,NaN,NaN,NaN
2016-01-02,1.1,226,2.9,251,3.3,235,5.6,2.4,9.2,0.0,NaN,NaN,NaN
2016-01-03,1.3,255,5.0,290,5.7,306,6.4,4.2,8.8,0.0,NaN,NaN,NaN
2016-01-04,3.2,286,6.1,305,7.5,296,1.2,-3.3,4.3,0.0,NaN,NaN,NaN
2016-01-05,2.4,321,5.5,302,6.3,348,-3.6,-5.1,0.3,0.0,NaN,NaN,NaN
2016-01-06,2.0,294,6.0,304,6.8,300,-1.7,-4.0,0.9,0.0,NaN,NaN,NaN
2016-01-07,2.8,284,5.9,321,6.9,300,-3.8,-6.0,0.2,0.0,NaN,NaN,NaN
2016-01-08,3.2,298,7.2,303,8.2,311,-2.3,-5.3,-0.2,0.0,NaN,NaN,NaN
2016-01-09,2.3,281,5.3,272,6.9,251,-2.7,-5.1,1.1,0.0,NaN,NaN,NaN
2016-01-10,2.9,294,6.9,5,8.0,337,-0.1,-3.0,3.4,0.0,NaN,NaN,NaN
2016-01-11,2.6,293,6.7,332,7.5,350,-3.9,-6.8,-0.1,0.0,NaN,NaN,NaN
2016-01-12,1.9,274,5.9,298,6.9,283,-5.4,-8.6,-0.5,0.0,NaN,NaN,NaN
2016-01-13,2.2,288,8.1,320,9.0,311,-4.9,-8.0,-0.3,0.5,NaN,NaN,NaN
2016-01-14,1.5,279,6.8,348,7.6,3,-4.3,-7.9,0.4,0.0,NaN,NaN,NaN
2016-01-15,2.1,56,4.4,55,4.9,56,-0.8,-3.8,3.6,0.0,NaN,NaN,NaN
2016-01-16,3.9,81,6.1,77,6.5,69,-0.9,-2.5,1.7,0.0,NaN,NaN,NaN
2016-01-17,3.5,75,7.0,75,7.4,75,1.1,-1.3,4.5,0.0,NaN,NaN,NaN
2016-01-18,4.9,279,11.4,287,13.8,290,-6.4,-13.3,2.0,0.0,NaN,NaN,NaN
2016-01-19,5.7,281,11.4,288,14.6,290,-13.6,-16.0,-9.5,0.0,NaN,NaN,NaN
2016-01-20,2.0,294,5.7,340,7.0,346,-11.1,-14.5,-6.3,0.0,NaN,NaN,NaN
2016-01-21,1.7,290,5.4,302,6.0,305,-7.3,-10.0,-3.7,0.0,NaN,NaN,NaN
2016-01-22,2.5,290,8.6,302,10.5,294,-8.1,-10.7,-4.7,0.0,NaN,NaN,NaN
2016-01-23,4.5,299,9.8,288,12.8,304,-11.9,-16.8,-9.0,0.0,NaN,NaN,NaN
2016-01-24,3.5,292,7.8,295,9.2,313,-15.4,-18.9,-11.1,0.0,NaN,NaN,NaN
2016-01-25,2.1,281,5.4,294,6.1,283,-10.1,-14.3,-4.5,0.0,NaN,NaN,NaN
2016-01-26,2.0,146,4.9,260,6.8,259,-4.8,-8.2,0.6,0.0,NaN,NaN,NaN
2016-01-27,2.1,279,5.6,305,6.1,309,-1.0,-3.7,3.5,0.0,NaN,NaN,NaN
2016-01-28,2.4,67,5.7,57,6.3,53,-0.8,-4.9,2.2,0.0,NaN,NaN,NaN
2016-01-29,3.5,60,6.1,65,6.9,83,1.6,-1.3,4.3,0.0,NaN,NaN,NaN
2016-01-30,2.7,315,5.5,290,6.6,272,0.7,-2.7,4.3,0.0,NaN,NaN,NaN
2016-01-31,3.1,277,6.3,295,7.3,303,-4.4,-7.4,-0.1,0.0,NaN,NaN,NaN
2016-02-01,2.2,274,5.8,219,6.1,217,-4.2,-6.9,-1.2,0.0,33.4,20.8,46.0
2016-02-02,2.1,241,5.0,227,5.9,225,-1.3,-8.0,1.1,0.0,37.3,29.0,52.4
2016-02-03,1.6,314,5.8,225,7.0,211,-1.7,-7.1,3.9,0.0,52.4,36.7,66.1
2016-02-04,2.0,282,6.3,224,8.8,228,0.8,-2.8,5.1,0.0,54.1,23.4,74.8
2016-02-05,1.9,274,6.4,222,8.6,217,-0.7,-5.2,3.8,0.0,40.6,22.9,61.6
2016-02-06,2.0,289,6.5,229,8.4,228,-0.9,-3.6,2.0,0.0,39.9,29.9,54.7
2016-02-07,1.7,271,5.5,226,6.9,225,-1.5,-6.9,3.1,0.0,46.5,25.3,65.5
2016-02-08,2.3,285,8.8,235,11.5,231,2.0,-3.4,6.7,0.0,62.2,48.0,70.1
2016-02-09,2.7,243,7.2,285,9.8,267,2.2,-1.3,6.1,0.0,51.9,31.9,66.3
2016-02-10,1.4,3,3.2,21,4.2,3,3.3,-3.0,10.8,0.0,45.1,21.0,66.2
2016-02-11,1.9,23,3.9,102,5.8,93,8.0,1.0,14.2,0.0,36.8,24.3,70.3
2016-02-12,1.6,0,3.8,114,5.5,23,9.1,7.5,10.6,17.0,93.2,64.4,99.9
2016-02-13,1.8,355,8.8,236,11.4,242,12.1,7.2,15.0,20.5,95.8,85.3,99.9
2016-02-14,4.2,242,8.5,230,11.9,217,-0.4,-5.2,7.3,0.5,76.8,57.0,98.3
2016-02-15,2.8,257,9.1,225,12.3,208,-4.7,-8.4,-1.2,0.0,50.3,33.9,78.6
2016-02-16,2.1,248,7.9,226,10.8,225,-1.2,-4.9,2.4,1.0,68.0,52.7,92.6
2016-02-17,1.9,268,7.5,228,9.6,225,1.0,-4.6,5.5,0.0,57.4,35.5,78.3
2016-02-18,1.9,181,7.5,235,10.3,219,4.8,0.0,9.0,0.0,68.0,53.1,78.5
2016-02-19,1.4,261,5.9,228,8.0,211,4.5,2.1,6.3,0.0,58.9,37.0,87.1
2016-02-20,2.2,328,6.8,267,9.9,270,3.3,-0.4,8.0,0.0,40.6,23.3,56.3
2016-02-21,2.4,260,8.1,232,9.9,290,0.9,-1.5,4.5,0.0,37.6,24.7,53.6
2016-02-22,1.5,358,4.6,232,5.5,239,2.4,-0.7,5.4,0.0,37.5,25.4,73.3
2016-02-23,2.3,275,8.2,223,12.9,205,2.2,-2.3,6.1,0.0,58.8,28.8,87.7
2016-02-24,2.2,271,6.4,233,8.4,239,-1.4,-4.2,2.3,0.0,43.9,27.3,53.7
